Year,Month,Export Amount
2012,يناير,"168,161"
2012,فبراير,"283,887"
2012,مارس,"200,219"
2012,إبريل,"531,140"
2012,مايو,"203,126"
2012,يونيو,"261,312"
2012,يوليو,"553,204"
2012,أغسطس,"168,430"
2012,سبتمبر,"1,105,004"
2012,أكتوبر,"725,478"
2012,نوفمبر,"379,511"
2012,ديسمبر,"314,657"
2013,يناير,"341,725"
2013,فبراير,"407,179"
2013,مارس,"476,701"
2013,إبريل,"227,004"
2013,مايو,"331,360"
2013,يونيو,"530,071"
2013,يوليو,"769,114"
2013,أغسطس,"714,926"
2013,سبتمبر,"675,364"
2013,أكتوبر,"214,555"
2013,نوفمبر,"478,282"
2013,ديسمبر,"200,407"
2014,يناير,"221,596"
2014,فبراير,"155,513"
2014,مارس,"432,456"
2014,إبريل,"343,966"
2014,مايو,"316,402"
2014,يونيو,"398,754"
2014,يوليو,"62,225"
2014,أغسطس,"353,084"
2014,سبتمبر,"419,409"
2014,أكتوبر,"567,254"
2014,نوفمبر,"482,853"
2014,ديسمبر,"286,785"
2015,يناير,"229,638"
2015,فبراير,"284,183"
2015,مارس,"246,846"
2015,إبريل,"99,302"
2015,مايو,"399,311"
2015,يونيو,"354,979"
2015,يوليو,"253,732"
2015,أغسطس,"138,260"
2015,سبتمبر,"375,579"
2015,أكتوبر,"240,637"
2015,نوفمبر,"337,275"
2015,ديسمبر,"349,167"
2016,يناير,"460,598"
2016,فبراير,"410,575"
2016,مارس,"360,385"
2016,إبريل,"195,663"
2016,مايو,"413,160"
2016,يونيو,"270,354"
2016,يوليو,"168,407"
2016,أغسطس,"327,091"
2016,سبتمبر,"204,693"
2016,أكتوبر,"252,727"
2016,نوفمبر,"469,198"
2016,ديسمبر,"715,800"
2017,يناير,"1,107,314"
2017,فبراير,"197,780"
2017,مارس,"330,778"
2017,إبريل,"1,064,652"
2017,مايو,"369,311"
2017,يونيو,"192,226"
2017,يوليو,"302,622"
2017,أغسطس,"390,165"
2017,سبتمبر,"307,682"
2017,أكتوبر,"190,850"
2017,نوفمبر,"708,416"
2017,ديسمبر,"1,327,460"
2018,يناير,"227,528"
2018,فبراير,"961,882"
2018,مارس,"381,616"
2018,إبريل,"422,968"
2018,مايو,"318,527"
2018,يونيو,"465,754"
2018,يوليو,"1,071,695"
2018,أغسطس,"814,810"
2018,سبتمبر,"371,618"
2018,أكتوبر,"1,157,037"
2018,نوفمبر,"514,503"
2018,ديسمبر,"1,146,777"
2019,يناير,"780,358"
2019,فبراير,"917,365"
2019,مارس,"698,574"
2019,إبريل,"729,246"
2019,مايو,"194,492"
2019,يونيو,"444,540"
2019,يوليو,"86,883"
2019,أغسطس,"209,405"
2019,سبتمبر,"80,799"
2019,أكتوبر,"358,518"
2019,نوفمبر,"274,871"
2019,ديسمبر,"178,942"
2020,يناير,"282,091"
2020,فبراير,"678,647"
2020,مارس,"145,110"
2020,إبريل,"70,340"
2020,مايو,"178,115"
2020,يونيو,"397,259"
2020,يوليو,"534,181"
2020,أغسطس,"191,867"
2020,سبتمبر,"1,095,820"
2020,أكتوبر,"777,325"
2020,نوفمبر,"1,105,850"
2020,ديسمبر,"955,803"
2021,يناير,"892,197"
2021,فبراير,"689,857"
2021,مارس,"1,299,854"
2021,إبريل,"982,227"
2021,مايو,"1,438,753"
2021,يونيو,"7,888,654"
2021,يوليو,"1,892,644"
2021,أغسطس,"1,097,214"
2021,سبتمبر,"1,735,613"
2021,أكتوبر,"981,087"
2021,نوفمبر,"130,730"
2021,ديسمبر,"2,453,296"
2022,يناير,"1,843,497"
2022,فبراير,"928,319"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
