Item,Amount,Value
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,123.8,ألف دولار
لعزل الحراره ?  الصوت,92.4,ألف دولار
بصل مجفف,78.9,ألف دولار
محضرات واصناف صيدليه اخر,55.5,ألف دولار
بودره كبس فينول,31.6,ألف دولار
بنطلون رجالى من القطن غير مصنره,29.7,ألف دولار
محضرات كيميائيه للتشخيص المعملى,9.1,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,7.1,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,4.1,ألف دولار
بلوزه حريمى من الياف نسجيه أخرى غير مصنره,2.6,ألف دولار
هياكل لوحات توزيع كهربائيه,2.2,ألف دولار
لوحات توزيع كهرباء لفولت يزيد عن 1000 فولت  للمصانع,1.3,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,0.3,ألف دولار
