Year,Month,Export Amount
2012,يناير,"667,170"
2012,فبراير,"113,648"
2012,مارس,"3,427,097"
2012,إبريل,"2,036,828"
2012,مايو,"5,447,709"
2012,يونيو,"854,420"
2012,يوليو,"5,653,034"
2012,أغسطس,"175,744"
2012,سبتمبر,"2,640,000"
2012,أكتوبر,"3,167,092"
2012,نوفمبر,"287,988"
2012,ديسمبر,"135,741"
2013,يناير,"72,452"
2013,فبراير,"1,470,706"
2013,مارس,"771,931"
2013,إبريل,"23,292"
2013,مايو,"62,724"
2013,يونيو,"3,307,531"
2013,يوليو,"279,171"
2013,أغسطس,"105,948"
2013,سبتمبر,"159,450"
2013,أكتوبر,"31,334"
2013,نوفمبر,"119,775"
2013,ديسمبر,"289,591"
2014,يناير,"307,318"
2014,فبراير,"893,831"
2014,مارس,"480,296"
2014,إبريل,"480,859"
2014,مايو,"300,508"
2014,يونيو,"319,830"
2014,يوليو,"56,545"
2014,أغسطس,"19,861"
2014,سبتمبر,"152,110"
2014,أكتوبر,"288,926"
2014,نوفمبر,"96,830"
2014,ديسمبر,"624,736"
2015,يناير,"351,129"
2015,فبراير,"1,030,335"
2015,مارس,"244,123"
2015,إبريل,"144,470"
2015,مايو,"286,880"
2015,يونيو,"171,919"
2015,يوليو,"210,144"
2015,أغسطس,"334,726"
2015,سبتمبر,"58,590"
2015,أكتوبر,"102,189"
2015,نوفمبر,"95,612"
2015,ديسمبر,"269,349"
2016,يناير,"198,006"
2016,فبراير,"191,613"
2016,مارس,"223,720"
2016,إبريل,"447,138"
2016,مايو,"300,508"
2016,يونيو,"2,757,713"
2016,يوليو,"743,454"
2016,أغسطس,"508,211"
2016,سبتمبر,"545,110"
2016,أكتوبر,"337,186"
2016,نوفمبر,"260,155"
2016,ديسمبر,"405,832"
2017,يناير,"15,234,274"
2017,فبراير,"7,831,306"
2017,مارس,"6,768,904"
2017,إبريل,"349,851"
2017,مايو,"182,893"
2017,يونيو,"193,156"
2017,يوليو,"596,389"
2017,أغسطس,"449,845"
2017,سبتمبر,"650,061"
2017,أكتوبر,"980,652"
2017,نوفمبر,"234,173"
2017,ديسمبر,"292,331"
2018,يناير,"588,758"
2018,فبراير,"144,748"
2018,مارس,"26,328,823"
2018,إبريل,"677,029"
2018,مايو,"544,672"
2018,يونيو,"456,203"
2018,يوليو,"859,320"
2018,أغسطس,"879,904"
2018,سبتمبر,"895,777"
2018,أكتوبر,"559,691"
2018,نوفمبر,"1,099,090"
2018,ديسمبر,"1,103,858"
2019,يناير,"547,891"
2019,فبراير,"720,487"
2019,مارس,"2,784,853"
2019,إبريل,"744,585"
2019,مايو,"400,092"
2019,يونيو,"593,969"
2019,يوليو,"773,151"
2019,أغسطس,"565,803"
2019,سبتمبر,"1,066,583"
2019,أكتوبر,"429,356"
2019,نوفمبر,"1,239,816"
2019,ديسمبر,"685,865"
2020,يناير,"473,211"
2020,فبراير,"778,247"
2020,مارس,"586,889"
2020,إبريل,"35,954"
2020,مايو,"241,618"
2020,يونيو,"378,700"
2020,يوليو,"632,977"
2020,أغسطس,"400,649"
2020,سبتمبر,"729,037"
2020,أكتوبر,"942,380"
2020,نوفمبر,"667,986"
2020,ديسمبر,"350,828"
2021,يناير,"317,045"
2021,فبراير,"475,418"
2021,مارس,"1,045,653"
2021,إبريل,"1,072,404"
2021,مايو,"1,204,320"
2021,يونيو,"1,493,791"
2021,يوليو,"545,039"
2021,أغسطس,"661,876"
2021,سبتمبر,"1,045,359"
2021,أكتوبر,"334,625"
2021,نوفمبر,"179,138"
2021,ديسمبر,"342,409"
2022,يناير,"245,229"
2022,فبراير,"249,757"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
