Item,Amount,Value
حبات  (P.P) بولي بروبلين,2.8,مليون دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,2.3,مليون دولار
سلك الومنيوم قطر اقل من 7 ميلليمتر,2.2,مليون دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,2.2,مليون دولار
قدد من الالومنيوم مستطيلة الشكل,1.6,مليون دولار
طماطم محفوظه بكاملها فى مواد أخرى,1.5,مليون دولار
حمامات و بانيوهات و أحواض من البلاستيك,1.1,مليون دولار
خيوط من البوليستر المستمر غير مسرح أو ممشط,1.1,مليون دولار
فراوله محفوظه مؤقتا,992.1,ألف دولار
برتقال طازج أو مجفف,936.1,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,872.1,ألف دولار
يوسفى طازج أو مجفف,864.1,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,746.2,ألف دولار
نباتات طبيه أخرى,744.6,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),718.9,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,718.5,ألف دولار
الواح حديد كروم مسحوبة على البارد فى رولات بعرض اكبر من 600مم وبسمك اكبر من0.5 مم واقل من 1مم,679.0,ألف دولار
بنطلون حريمى من القطن غير مصنره,568.7,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,553.9,ألف دولار
بصل مجفف,528.8,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,458.5,ألف دولار
إطارات السيارات النقل و الشاحنات,444.8,ألف دولار
مصارين ومثانات ومعد حيوانات (غير الاسماك) بكاملهااواجزاء منها,442.6,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",404.3,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),359.4,ألف دولار
جوانات سيارات,330.3,ألف دولار
فيروسيليكون سبيكه 55%,303.2,ألف دولار
قماش الدنيم أو الجينز,289.5,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,277.6,ألف دولار
اسمنت فوندو ..... الخ,273.0,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,256.6,ألف دولار
بطاطس طازجه اومبرده أخرى,245.3,ألف دولار
جاكت رجالى من الصوف غير مصنره,244.6,ألف دولار
الواح حديد كروم مسحوبة على البارد فى رولات بعرض اكبر من 600مم وبسمك اكبر من 1مم واقل من3مم,242.2,ألف دولار
أغطية أرضيات نسجيه أخرى,237.4,ألف دولار
اثاث معدنى اخر,221.0,ألف دولار
نسيج من الياف الزجاج,207.1,ألف دولار
سجادوغيره من اغطيه الارضيات النسجيه من مواد نسجيه تركيبيه اواصطناعيه,200.8,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,185.9,ألف دولار
فراوله طازجه,153.9,ألف دولار
بنطلون رجالى من القطن غير مصنره,139.2,ألف دولار
ألواح حديد زنك مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,128.0,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,120.2,ألف دولار
اسلاك نحاس معزوله بالبلاستيك والقطن أو بالحرير الزجاجى,119.5,ألف دولار
أقمشه تحتوى على 85% بوليستر مستمره أخرى,115.7,ألف دولار
شعر كتان مسرح أو شعر كتان ممشط و ليس مغزول,113.3,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,109.6,ألف دولار
أقمشه تحتوى على 85% ألياف صناعيه مستمره أخرى,107.7,ألف دولار
بصل وكرات بشوشه,106.9,ألف دولار
أقمشه تحتوى على 85% إكليريك مستمره أخرى,104.7,ألف دولار
خضروات مجففه,102.7,ألف دولار
بطاطا طازجه أو مجففه,101.8,ألف دولار
بودره بولي ايثلين P.E.T,98.8,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,93.9,ألف دولار
ورنيشات قاعدتها P.V.A,90.3,ألف دولار
ملابس أخرى من أقمشه نسجيه أخرى رجالى,87.7,ألف دولار
الواح حديد كروم مسحوبة على البارد فى رولات بعرض اكبر من 600مم وبسمك اقل من 0.5مم,86.0,ألف دولار
,85.4,ألف دولار
مجموعات اسلاك الاشعال ومجموعات اسلاك اخرى من النوع المستعمل فى السيارات الطائرات او السفن,84.3,ألف دولار
طرشى),84.1,ألف دولار
بنطلون رجالى من الياف صناعيه غير مصنره,78.8,ألف دولار
أدوات المدارس و المكاتب من أنواع البلاستيك الأخرى,76.1,ألف دولار
غيرها من قوالب المطاط او البلاستيك,72.2,ألف دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,65.9,ألف دولار
ملايات سرير من ألياف نسجيه مخلوطه,65.9,ألف دولار
بهارات اخرى,64.7,ألف دولار
خضروات اخرى مجمده,63.6,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,55.6,ألف دولار
هياكل لوحات توزيع كهربائيه,52.2,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,52.1,ألف دولار
كرنب أفرنجى و بروكلى طازج,51.3,ألف دولار
بوليمرات أكليريك ? سيورنقل الحركه ? علب البلاستيك لشرائط الكاسيت,45.3,ألف دولار
إكسسوارات الأثاث من أنواع البلاستيك الأخرى,43.2,ألف دولار
سدادات معدنيه,40.2,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,38.9,ألف دولار
أحجار طبيعيه للمبانى مصقوله,33.6,ألف دولار
قنينة كانيولا وادوات مماثلة,33.1,ألف دولار
تنر (تنر عضوى عادى او مخصوص),30.5,ألف دولار
جوارب حريمى طويله أخرى من الياف نسجيه أخرى,29.5,ألف دولار
راتنجات عطرية,28.9,ألف دولار
زيتون مخلل,18.1,ألف دولار
ألواح حديد مغلفه مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,16.2,ألف دولار
مجففات محضره,13.7,ألف دولار
ثـــوم طازج أو مثلج,12.6,ألف دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,12.5,ألف دولار
مفاتيح كهربائيه اخرى للأكثر من 1000 فولت,11.9,ألف دولار
ادوات أخرى من الزجاج العادى,11.2,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,8.7,ألف دولار
مضخات تستخدم نظم الضغط الإيجابى الدورى,7.7,ألف دولار
زجاج مسطح عادى سادة غير مسلح,7.7,ألف دولار
أجزاء من مصابيح و إضائه زجاجيه,6.5,ألف دولار
البسه اطفال وملحقاتها مصنرة او كروشيه من قطن مصنره,5.6,ألف دولار
كلف دانتيل ? أقمشه دانتيل من القطن,4.0,ألف دولار
خس ملفوف وكرنبى,2.8,ألف دولار
دفاتر),2.7,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,2.4,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,1.8,ألف دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,1.4,ألف دولار
شباك من خشب,0.8,ألف دولار
ملفات صندوقية /اكلاسيرات صندوقيه,0.5,ألف دولار
زيوت عطرية أخرى,0.2,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,0.1,ألف دولار
مكعبات فسيفساء وسيراميك وما يماثلها مطلية بالمينا,0.1,ألف دولار
محضرات واصناف صيدليه اخر,0.0,ألف دولار
بذار (تقاوى)بطاطس طازجه اومبرده,0.0,ألف دولار
اكسوارات عوازل كهربائيه من بلاستيك,0.0,ألف دولار
