Year,Month,Export Amount
2012,يناير,"2,249,786"
2012,فبراير,"6,379,817"
2012,مارس,"4,948,513"
2012,إبريل,"9,462,578"
2012,مايو,"4,249,545"
2012,يونيو,"6,566,349"
2012,يوليو,"6,846,336"
2012,أغسطس,"7,955,943"
2012,سبتمبر,"9,964,040"
2012,أكتوبر,"12,582,787"
2012,نوفمبر,"7,798,497"
2012,ديسمبر,"4,024,792"
2013,يناير,"5,324,705"
2013,فبراير,"4,961,791"
2013,مارس,"5,310,465"
2013,إبريل,"4,198,365"
2013,مايو,"5,887,473"
2013,يونيو,"7,754,043"
2013,يوليو,"3,509,633"
2013,أغسطس,"4,329,625"
2013,سبتمبر,"5,210,083"
2013,أكتوبر,"7,160,091"
2013,نوفمبر,"4,773,352"
2013,ديسمبر,"5,666,345"
2014,يناير,"4,715,853"
2014,فبراير,"6,759,049"
2014,مارس,"11,184,528"
2014,إبريل,"9,445,265"
2014,مايو,"9,972,738"
2014,يونيو,"9,090,219"
2014,يوليو,"8,868,418"
2014,أغسطس,"9,847,075"
2014,سبتمبر,"6,635,156"
2014,أكتوبر,"5,311,165"
2014,نوفمبر,"5,608,756"
2014,ديسمبر,"9,004,004"
2015,يناير,"6,222,005"
2015,فبراير,"7,092,256"
2015,مارس,"6,727,705"
2015,إبريل,"5,506,606"
2015,مايو,"6,251,632"
2015,يونيو,"7,501,542"
2015,يوليو,"6,209,787"
2015,أغسطس,"6,860,921"
2015,سبتمبر,"5,243,898"
2015,أكتوبر,"9,109,538"
2015,نوفمبر,"6,334,242"
2015,ديسمبر,"7,852,754"
2016,يناير,"8,724,993"
2016,فبراير,"7,043,394"
2016,مارس,"7,705,159"
2016,إبريل,"15,178,844"
2016,مايو,"6,619,389"
2016,يونيو,"9,776,021"
2016,يوليو,"6,723,976"
2016,أغسطس,"7,432,915"
2016,سبتمبر,"4,887,113"
2016,أكتوبر,"6,572,600"
2016,نوفمبر,"7,548,324"
2016,ديسمبر,"8,015,267"
2017,يناير,"24,069,776"
2017,فبراير,"6,677,162"
2017,مارس,"8,206,433"
2017,إبريل,"8,861,674"
2017,مايو,"7,621,603"
2017,يونيو,"6,723,568"
2017,يوليو,"9,195,961"
2017,أغسطس,"10,750,380"
2017,سبتمبر,"8,054,286"
2017,أكتوبر,"8,007,624"
2017,نوفمبر,"8,193,068"
2017,ديسمبر,"6,015,286"
2018,يناير,"9,440,116"
2018,فبراير,"12,234,660"
2018,مارس,"13,075,288"
2018,إبريل,"8,528,380"
2018,مايو,"13,166,543"
2018,يونيو,"10,769,135"
2018,يوليو,"9,467,216"
2018,أغسطس,"9,102,494"
2018,سبتمبر,"8,815,364"
2018,أكتوبر,"9,125,463"
2018,نوفمبر,"7,724,795"
2018,ديسمبر,"9,529,496"
2019,يناير,"9,748,750"
2019,فبراير,"10,883,241"
2019,مارس,"13,313,901"
2019,إبريل,"12,543,649"
2019,مايو,"14,737,379"
2019,يونيو,"11,338,872"
2019,يوليو,"9,717,027"
2019,أغسطس,"7,708,400"
2019,سبتمبر,"10,839,749"
2019,أكتوبر,"12,683,210"
2019,نوفمبر,"8,681,573"
2019,ديسمبر,"10,136,535"
2020,يناير,"10,064,126"
2020,فبراير,"10,307,217"
2020,مارس,"9,532,668"
2020,إبريل,"7,799,559"
2020,مايو,"5,264,090"
2020,يونيو,"9,676,225"
2020,يوليو,"9,005,896"
2020,أغسطس,"12,525,599"
2020,سبتمبر,"13,395,988"
2020,أكتوبر,"8,369,865"
2020,نوفمبر,"9,584,612"
2020,ديسمبر,"9,998,707"
2021,يناير,"14,446,600"
2021,فبراير,"15,634,100"
2021,مارس,"23,654,843"
2021,إبريل,"16,762,445"
2021,مايو,"17,277,630"
2021,يونيو,"19,286,947"
2021,يوليو,"14,540,996"
2021,أغسطس,"20,416,981"
2021,سبتمبر,"11,226,948"
2021,أكتوبر,"12,926,458"
2021,نوفمبر,"4,060,421"
2021,ديسمبر,"22,326,305"
2022,يناير,"20,898,170"
2022,فبراير,"13,532,139"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
