Year,Month,Export Amount
2012,يناير,"15,600"
2012,فبراير,"77,321"
2012,مارس,0
2012,إبريل,"25,734"
2012,مايو,691
2012,يونيو,0
2012,يوليو,"13,995"
2012,أغسطس,0
2012,سبتمبر,"17,125"
2012,أكتوبر,"156,446"
2012,نوفمبر,470
2012,ديسمبر,0
2013,يناير,"9,309"
2013,فبراير,0
2013,مارس,73
2013,إبريل,0
2013,مايو,610
2013,يونيو,0
2013,يوليو,0
2013,أغسطس,0
2013,سبتمبر,0
2013,أكتوبر,0
2013,نوفمبر,"24,469"
2013,ديسمبر,0
2014,يناير,"14,616"
2014,فبراير,0
2014,مارس,"15,482"
2014,إبريل,0
2014,مايو,"2,035"
2014,يونيو,0
2014,يوليو,"96,844"
2014,أغسطس,"110,267"
2014,سبتمبر,"50,380"
2014,أكتوبر,"96,987"
2014,نوفمبر,0
2014,ديسمبر,"28,344"
2015,يناير,"10,197"
2015,فبراير,0
2015,مارس,0
2015,إبريل,0
2015,مايو,"9,951"
2015,يونيو,0
2015,يوليو,0
2015,أغسطس,"9,950"
2015,سبتمبر,0
2015,أكتوبر,0
2015,نوفمبر,"10,131"
2015,ديسمبر,"56,437"
2016,يناير,0
2016,فبراير,"3,360"
2016,مارس,0
2016,إبريل,0
2016,مايو,"10,337"
2016,يونيو,0
2016,يوليو,"16,134"
2016,أغسطس,"15,417"
2016,سبتمبر,"14,578"
2016,أكتوبر,"62,076"
2016,نوفمبر,0
2016,ديسمبر,0
2017,يناير,"95,838"
2017,فبراير,0
2017,مارس,0
2017,إبريل,"280,807"
2017,مايو,0
2017,يونيو,"30,005"
2017,يوليو,"40,446"
2017,أغسطس,0
2017,سبتمبر,"36,058"
2017,أكتوبر,"414,391"
2017,نوفمبر,0
2017,ديسمبر,"11,270"
2018,يناير,"70,047"
2018,فبراير,0
2018,مارس,"14,860"
2018,إبريل,0
2018,مايو,0
2018,يونيو,"24,350"
2018,يوليو,0
2018,أغسطس,"8,536"
2018,سبتمبر,"139,398"
2018,أكتوبر,"9,828"
2018,نوفمبر,"467,392"
2018,ديسمبر,0
2019,يناير,0
2019,فبراير,1
2019,مارس,0
2019,إبريل,"90,025"
2019,مايو,"17,400"
2019,يونيو,"358,587"
2019,يوليو,"48,760"
2019,أغسطس,"73,630"
2019,سبتمبر,"107,942"
2019,أكتوبر,"108,154"
2019,نوفمبر,"89,963"
2019,ديسمبر,"24,859"
2020,يناير,"116,028"
2020,فبراير,"121,393"
2020,مارس,"175,679"
2020,إبريل,0
2020,مايو,"9,063"
2020,يونيو,"293,200"
2020,يوليو,"229,358"
2020,أغسطس,"23,237"
2020,سبتمبر,"396,857"
2020,أكتوبر,"239,700"
2020,نوفمبر,"370,952"
2020,ديسمبر,"169,619"
2021,يناير,"100,033"
2021,فبراير,"541,648"
2021,مارس,"190,949"
2021,إبريل,"217,197"
2021,مايو,"179,459"
2021,يونيو,"171,685"
2021,يوليو,"960,557"
2021,أغسطس,"137,881"
2021,سبتمبر,"222,763"
2021,أكتوبر,"160,938"
2021,نوفمبر,0
2021,ديسمبر,"2,115,197"
2022,يناير,"110,955"
2022,فبراير,"696,134"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
