Item,Amount,Value
سماد يوريا أو اسمده ازوتيه اخرى,13.2,مليون دولار
الواح حديد مسحوبة على الساخن فى رولات بعرض اكبر من 600مم وبسمك اكبر من 4.75 مم,8.9,مليون دولار
حبات  (P.P) بولي بروبلين,3.3,مليون دولار
بودره بولي ايثلين P.E.T,3.0,مليون دولار
ألواح حديد مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم و بسمك أقل من 3 مم,1.5,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,1.2,مليون دولار
غزل قطن متعدد اكثر من 85% قطن ممشط (83.33) (120) غير مهيىء للبيع بالتجزئة,1.0,مليون دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",549.6,ألف دولار
طماطم محفوظه بكاملها فى مواد أخرى,436.2,ألف دولار
,428.3,ألف دولار
سوائل اوعجن من الارالديت المستخدم كعازل كهربائى,415.0,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),330.8,ألف دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,327.3,ألف دولار
قطن غير ممشط أو مسرح,275.5,ألف دولار
قدد من الالومنيوم مستطيلة الشكل,257.1,ألف دولار
بودره بولي فنيل كلوريد  P.V.S,208.0,ألف دولار
إطارات السيارات النقل و الشاحنات,205.2,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,149.6,ألف دولار
أغطية أرضيات نسجيه أخرى,123.7,ألف دولار
سيليكات صوديوم أخر,119.3,ألف دولار
عصير خليط,111.8,ألف دولار
فواكه وثمار اخرى ذات قشره صلبه فى محلول سكرى,111.8,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,108.8,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,106.5,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,102.2,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,97.9,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,94.2,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,83.8,ألف دولار
مرايا زجاجيه بدون اطر,71.3,ألف دولار
نجف و ثرايا كريستال و غيرها,65.2,ألف دولار
فراوله محفوظه مؤقتا,64.1,ألف دولار
ملابس مصنوعه من أنسجه معالجه ضد الرطوبه,59.4,ألف دولار
اطقم حمامات / بياضات متنوعه,47.4,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,43.2,ألف دولار
زجاج مسطح عادى سادة غير مسلح,36.0,ألف دولار
غزل كتان متعدد مسرح,28.4,ألف دولار
بوليمرات الإيثيلين,28.4,ألف دولار
فضلات خيوط من ألياف صناعية أخرى المستمر غير مسرح أو ممشط,25.2,ألف دولار
لعزل الحراره ?  الصوت,25.2,ألف دولار
فواكه ?  اثمار محفوظه مؤقتا,22.9,ألف دولار
زيتون مخلل,20.0,ألف دولار
غزل كتان مفرد,9.1,ألف دولار
اجزاء من الحابكات المسننة,8.7,ألف دولار
شفرات حلاقه فى أطقم,8.5,ألف دولار
أحجار طبيعيه للمبانى مصقوله,8.2,ألف دولار
أصناف زجاجيه أخرى فيما عدا العدسات و المجوهرات المقلده,3.6,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,2.6,ألف دولار
ادوات أخرى من الزجاج العادى,2.0,ألف دولار
قماش الدنيم أو الجينز,0.8,ألف دولار
اكسوارات عوازل كهربائيه من بلاستيك,0.0,ألف دولار
