Year,Month,Export Amount
2012,يناير,"6,086,744"
2012,فبراير,"8,042,512"
2012,مارس,"6,789,957"
2012,إبريل,"9,130,732"
2012,مايو,"7,390,332"
2012,يونيو,"4,706,130"
2012,يوليو,"6,695,937"
2012,أغسطس,"6,869,250"
2012,سبتمبر,"7,496,191"
2012,أكتوبر,"4,735,604"
2012,نوفمبر,"6,047,739"
2012,ديسمبر,"4,208,051"
2013,يناير,"5,890,985"
2013,فبراير,"5,059,941"
2013,مارس,"9,159,033"
2013,إبريل,"5,977,435"
2013,مايو,"8,003,937"
2013,يونيو,"6,486,534"
2013,يوليو,"4,345,512"
2013,أغسطس,"10,490,453"
2013,سبتمبر,"7,429,740"
2013,أكتوبر,"13,411,534"
2013,نوفمبر,"9,024,109"
2013,ديسمبر,"11,016,422"
2014,يناير,"6,758,305"
2014,فبراير,"13,110,009"
2014,مارس,"10,202,851"
2014,إبريل,"10,458,872"
2014,مايو,"10,932,342"
2014,يونيو,"6,696,649"
2014,يوليو,"7,900,706"
2014,أغسطس,"12,395,632"
2014,سبتمبر,"11,249,058"
2014,أكتوبر,"3,733,776"
2014,نوفمبر,"7,924,696"
2014,ديسمبر,"10,986,728"
2015,يناير,"6,889,755"
2015,فبراير,"7,700,814"
2015,مارس,"9,862,605"
2015,إبريل,"10,697,166"
2015,مايو,"14,103,332"
2015,يونيو,"9,011,951"
2015,يوليو,"6,357,493"
2015,أغسطس,"7,319,939"
2015,سبتمبر,"9,844,995"
2015,أكتوبر,"6,826,059"
2015,نوفمبر,"18,681,891"
2015,ديسمبر,"9,761,416"
2016,يناير,"7,287,793"
2016,فبراير,"7,003,841"
2016,مارس,"10,541,188"
2016,إبريل,"7,270,417"
2016,مايو,"9,925,132"
2016,يونيو,"7,418,167"
2016,يوليو,"5,229,000"
2016,أغسطس,"8,364,204"
2016,سبتمبر,"5,944,042"
2016,أكتوبر,"7,293,094"
2016,نوفمبر,"5,140,163"
2016,ديسمبر,"9,920,713"
2017,يناير,"24,326,080"
2017,فبراير,"4,562,949"
2017,مارس,"8,301,055"
2017,إبريل,"12,807,763"
2017,مايو,"6,193,711"
2017,يونيو,"14,214,094"
2017,يوليو,"7,474,710"
2017,أغسطس,"13,150,918"
2017,سبتمبر,"6,848,188"
2017,أكتوبر,"7,009,199"
2017,نوفمبر,"7,869,013"
2017,ديسمبر,"9,338,084"
2018,يناير,"7,158,901"
2018,فبراير,"5,113,703"
2018,مارس,"11,691,534"
2018,إبريل,"8,830,184"
2018,مايو,"11,696,200"
2018,يونيو,"10,192,747"
2018,يوليو,"9,394,639"
2018,أغسطس,"5,957,161"
2018,سبتمبر,"6,602,880"
2018,أكتوبر,"6,357,681"
2018,نوفمبر,"2,603,251"
2018,ديسمبر,"5,445,202"
2019,يناير,"6,248,181"
2019,فبراير,"7,514,979"
2019,مارس,"5,704,575"
2019,إبريل,"5,907,446"
2019,مايو,"4,593,313"
2019,يونيو,"4,322,174"
2019,يوليو,"4,828,267"
2019,أغسطس,"2,650,304"
2019,سبتمبر,"2,562,745"
2019,أكتوبر,"3,520,547"
2019,نوفمبر,"3,146,552"
2019,ديسمبر,"5,817,908"
2020,يناير,"4,483,592"
2020,فبراير,"5,156,078"
2020,مارس,"2,602,804"
2020,إبريل,"2,346,260"
2020,مايو,"3,202,594"
2020,يونيو,"3,393,375"
2020,يوليو,"3,280,895"
2020,أغسطس,"3,639,109"
2020,سبتمبر,"5,870,111"
2020,أكتوبر,"4,141,095"
2020,نوفمبر,"9,516,409"
2020,ديسمبر,"7,048,616"
2021,يناير,"3,818,343"
2021,فبراير,"23,066,535"
2021,مارس,"11,029,067"
2021,إبريل,"10,679,734"
2021,مايو,"16,146,398"
2021,يونيو,"7,026,697"
2021,يوليو,"18,687,644"
2021,أغسطس,"12,465,811"
2021,سبتمبر,"10,963,839"
2021,أكتوبر,"15,265,961"
2021,نوفمبر,"13,209,451"
2021,ديسمبر,"9,830,893"
2022,يناير,"31,170,928"
2022,فبراير,"7,133,863"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
