Item,Amount,Value
فلفل مسحوق او مطحون معبأ,139.5,ألف دولار
نباتات طبيه أخرى,108.2,ألف دولار
ورنيشات قاعدتها P.V.A,49.6,ألف دولار
تنر (تنر عضوى عادى او مخصوص),12.0,ألف دولار
بيكربونات كالسيوم,11.9,ألف دولار
مجففات محضره,9.6,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,5.3,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,3.5,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,1.9,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,0.7,ألف دولار
زيوت عطرية أخرى,0.5,ألف دولار
اكسوارات عوازل كهربائيه من مواد أخرى,0.1,ألف دولار
