Year,Month,Export Amount
2012,يناير,0
2012,فبراير,"21,744"
2012,مارس,"308,277"
2012,إبريل,"66,014"
2012,مايو,0
2012,يونيو,0
2012,يوليو,"117,590"
2012,أغسطس,"356,230"
2012,سبتمبر,"102,198"
2012,أكتوبر,0
2012,نوفمبر,"15,000"
2012,ديسمبر,"101,000"
2013,يناير,"113,643"
2013,فبراير,"130,355"
2013,مارس,"115,244"
2013,إبريل,"49,597"
2013,مايو,"169,453"
2013,يونيو,"1,472,591"
2013,يوليو,0
2013,أغسطس,"20,194"
2013,سبتمبر,"30,837"
2013,أكتوبر,0
2013,نوفمبر,"419,979"
2013,ديسمبر,"6,548"
2014,يناير,0
2014,فبراير,"194,670"
2014,مارس,0
2014,إبريل,"55,470"
2014,مايو,"116,951"
2014,يونيو,"52,521"
2014,يوليو,"6,295"
2014,أغسطس,0
2014,سبتمبر,"1,500"
2014,أكتوبر,"10,793"
2014,نوفمبر,"17,352"
2014,ديسمبر,"191,864"
2015,يناير,"89,939"
2015,فبراير,"175,300"
2015,مارس,"20,127"
2015,إبريل,"7,000"
2015,مايو,"4,750"
2015,يونيو,"4,268"
2015,يوليو,"121,509"
2015,أغسطس,0
2015,سبتمبر,"52,788"
2015,أكتوبر,"8,232"
2015,نوفمبر,"134,195"
2015,ديسمبر,"36,072"
2016,يناير,0
2016,فبراير,"67,086"
2016,مارس,"205,164"
2016,إبريل,"34,684"
2016,مايو,0
2016,يونيو,"10,194"
2016,يوليو,"123,213"
2016,أغسطس,"67,955"
2016,سبتمبر,"22,329"
2016,أكتوبر,"17,826"
2016,نوفمبر,"93,033"
2016,ديسمبر,"42,420"
2017,يناير,"67,205"
2017,فبراير,0
2017,مارس,"37,387"
2017,إبريل,"58,774"
2017,مايو,"73,792"
2017,يونيو,"55,108"
2017,يوليو,"205,647"
2017,أغسطس,"57,327"
2017,سبتمبر,"115,570"
2017,أكتوبر,"52,140"
2017,نوفمبر,0
2017,ديسمبر,"139,844"
2018,يناير,"116,612"
2018,فبراير,"21,585"
2018,مارس,"76,320"
2018,إبريل,"279,213"
2018,مايو,"45,245"
2018,يونيو,"117,968"
2018,يوليو,0
2018,أغسطس,"58,741"
2018,سبتمبر,0
2018,أكتوبر,"4,704"
2018,نوفمبر,"54,485"
2018,ديسمبر,"45,181"
2019,يناير,"67,335"
2019,فبراير,"145,696"
2019,مارس,"51,427"
2019,إبريل,"448,356"
2019,مايو,"10,522"
2019,يونيو,"213,496"
2019,يوليو,"355,553"
2019,أغسطس,"30,350"
2019,سبتمبر,"320,863"
2019,أكتوبر,"540,832"
2019,نوفمبر,"415,654"
2019,ديسمبر,"273,912"
2020,يناير,"2,606,338"
2020,فبراير,"742,521"
2020,مارس,"115,301"
2020,إبريل,"189,835"
2020,مايو,"287,245"
2020,يونيو,"454,041"
2020,يوليو,"646,098"
2020,أغسطس,"121,360"
2020,سبتمبر,"299,288"
2020,أكتوبر,"226,098"
2020,نوفمبر,"1,128,425"
2020,ديسمبر,"4,754,677"
2021,يناير,"11,484"
2021,فبراير,"349,184"
2021,مارس,"662,374"
2021,إبريل,"97,388"
2021,مايو,"100,977"
2021,يونيو,"371,419"
2021,يوليو,"113,146"
2021,أغسطس,"436,025"
2021,سبتمبر,"200,129"
2021,أكتوبر,"2,060"
2021,نوفمبر,0
2021,ديسمبر,"93,678"
2022,يناير,"153,948"
2022,فبراير,"273,960"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
