Item,Amount,Value
سكر بنجر مكرر,5.2,مليون دولار
انواع أخرى من اسمنت بورتلاند (حديدى و مخلوط),2.7,مليون دولار
مراتب بسوست,2.4,مليون دولار
بطاطس غير مجمده محفوظه اومعلبه,2.3,مليون دولار
اعلاف حيوانيه غير تقليديه,1.6,مليون دولار
دقيق ومسحوق لحوم واسماك غير صالحه للاستهلاك البشرى,1.5,مليون دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,963.9,ألف دولار
جبن طازج أبيض بدون أى عمليات لاحقه,935.7,ألف دولار
أحجار طبيعيه للمبانى مصقوله,886.7,ألف دولار
ملابس مصنوعه من أنسجه معالجه ضد الرطوبه,862.4,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,856.7,ألف دولار
سليب رجالى من ألياف صناعيه غير مصنره,850.6,ألف دولار
غيرها من البويات والورنيشات المائيه,844.2,ألف دولار
ثلاجات ومجمدات مشتركه مثبته بأبواب داخليه منفصله,734.0,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,708.4,ألف دولار
لبن فرز(البان تحتوى على نسبةدسم لايزيد عن 1% من اجمالى الوزن),700.9,ألف دولار
دقيق حنطة قمح ودقيق خليط حنطة,692.7,ألف دولار
انواع جبنه اخرى,686.5,ألف دولار
فوليه),681.7,ألف دولار
عجائن اخرى غير محتويه على بيض,675.3,ألف دولار
ضأن للتناسل,650.0,ألف دولار
خلاصات او ارواح او مركزات من بن او على اساس من البن,634.2,ألف دولار
قوالب شيكولاته,623.2,ألف دولار
بسكويت صيدلى,620.4,ألف دولار
خضروات بقليه اخرى,561.8,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",546.9,ألف دولار
زيتون محفوظ مؤقتا وغير صالح للاستهلاك المباشر,541.4,ألف دولار
عصير خليط,491.0,ألف دولار
جبن مطبوخ غير مبشور ولا مسحوق,487.5,ألف دولار
المارجرين أو بديل الزبده ? زبده صناعيه,480.5,ألف دولار
زجاج مسطح عادى سادة غير مسلح,469.4,ألف دولار
سمن نباتى,454.4,ألف دولار
خيار و قثاء مخخله,404.3,ألف دولار
ورق صحى( تواليت) بكر/ تشيو بكر / ورق خفيف,368.8,ألف دولار
خضروات اخرى مجمده,366.9,ألف دولار
غيرها من المربى,353.2,ألف دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,346.0,ألف دولار
بلاطات والاصناف المماثله وان كانت مستطيله بحيث تكون محصوره فى بلاط يقل طول ضلعه عن 7سم,315.4,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),311.6,ألف دولار
شامبو لغسيل الشعر  (دون تحديد),308.5,ألف دولار
مخاليط خضروات مجمده,293.1,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,259.9,ألف دولار
طرشى),259.8,ألف دولار
خلايا اولية وبطاريات من أكسيد رصاص لتشغيل البساتم,259.5,ألف دولار
حساء ومرق ومحضرات (شوربه),259.2,ألف دولار
ورنيشات قاعدتها بولى اكريلك,256.3,ألف دولار
محضرات غذائيه اخرى,254.1,ألف دولار
شحوم نباتيه,249.1,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,229.3,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,222.1,ألف دولار
زيت بذرة عباد الشمس او زيت القرطم بحالة اخرى,217.6,ألف دولار
بذور سمسم,214.1,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,214.0,ألف دولار
دفاتر),202.9,ألف دولار
زيت النخيل بحاله اخرى,194.1,ألف دولار
شـاى أسود و شاي خام معبيء فى أكثر من 3 كج,193.8,ألف دولار
لبن زبادى,192.1,ألف دولار
أعمده من زجاج,186.3,ألف دولار
فول بقلى (فول خيل),173.9,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),173.1,ألف دولار
زجاج ابيض مشطوف,162.2,ألف دولار
بنسلين للبيع بالتجزئه,160.5,ألف دولار
ورق رشح,154.0,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,146.3,ألف دولار
مكعبات فسيفساء وسيراميك وما يماثلها مطلية بالمينا,138.5,ألف دولار
خليط من مكسبات الطعم و الرائحه,133.8,ألف دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,131.2,ألف دولار
شيكولاته ساده,123.8,ألف دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,122.8,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),120.6,ألف دولار
لبان بلـــدى,117.9,ألف دولار
نباتات طبيه أخرى,116.6,ألف دولار
زيت ذره مكرر,116.4,ألف دولار
إطارات السيارات النقل و الشاحنات,114.3,ألف دولار
بطاطس مجمده,113.1,ألف دولار
بطاطس محفوظه بكاملها فى مواد أخرى,105.6,ألف دولار
ذره معبأه للإستهلاك المباشر,104.5,ألف دولار
زجاج سيارات سيكوريت,100.5,ألف دولار
بيض طيور بقشره طازج أو محفوظ أو مطهى,97.2,ألف دولار
ورنيشات قاعدتها P.V.A,95.9,ألف دولار
غاز ثانى اكسيد الكربون,95.0,ألف دولار
وخشب حبيبى بطبقة خارجيه واحدة على الأقل أقل من 6و مم,90.7,ألف دولار
خلاصات او ارواح او مركزات من بن,84.8,ألف دولار
منتجات للتعبئة و التغليف أخرى من أنواع البلاستيك الأخرى,82.9,ألف دولار
تنر (تنر عضوى عادى او مخصوص),82.9,ألف دولار
مياةبما فيهاالمياةالمعدنيةوالغازيةمضاف اليهاسكراومواد تحلية,80.3,ألف دولار
ذرة أخرى,75.6,ألف دولار
حمامات و بانيوهات و أحواض من البلاستيك,75.5,ألف دولار
خميره جافه نشطه,74.7,ألف دولار
مخلوط P.V.C,72.2,ألف دولار
محضرات واصناف صيدليه اخر,69.5,ألف دولار
برتقال طازج أو مجفف,68.4,ألف دولار
برتقال),66.6,ألف دولار
فراوله محفوظه مؤقتا,63.7,ألف دولار
"انابيب ومواسير وخراطيم,صلبة وغير قابلة للثنى من لدائن اصطناعيةاخرى",60.6,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,60.1,ألف دولار
دقيق و مغذيات من حبوب زيتيه أخرى,59.8,ألف دولار
اجولة واكياس من بولياثلين او بوليبروبلين,58.7,ألف دولار
شيكولاتة ومنتجات الكاكاو,55.3,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,51.9,ألف دولار
روب و أطقم للرجال اوالصبيه من القطن غير مصنره,51.5,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,51.4,ألف دولار
