Year,Month,Export Amount
2012,يناير,"5,336,802"
2012,فبراير,"4,026,605"
2012,مارس,"3,909,963"
2012,إبريل,"4,033,064"
2012,مايو,"1,969,675"
2012,يونيو,"4,774,209"
2012,يوليو,"4,185,353"
2012,أغسطس,"3,269,434"
2012,سبتمبر,"5,268,392"
2012,أكتوبر,"6,825,177"
2012,نوفمبر,"5,123,404"
2012,ديسمبر,"5,064,728"
2013,يناير,"4,036,023"
2013,فبراير,"4,478,011"
2013,مارس,"6,420,643"
2013,إبريل,"6,664,594"
2013,مايو,"6,074,938"
2013,يونيو,"6,939,145"
2013,يوليو,"5,703,928"
2013,أغسطس,"3,804,670"
2013,سبتمبر,"8,054,296"
2013,أكتوبر,"12,236,452"
2013,نوفمبر,"10,694,527"
2013,ديسمبر,"12,822,005"
2014,يناير,"11,196,402"
2014,فبراير,"13,353,100"
2014,مارس,"14,074,665"
2014,إبريل,"11,919,021"
2014,مايو,"13,741,501"
2014,يونيو,"13,525,104"
2014,يوليو,"6,851,830"
2014,أغسطس,"9,695,587"
2014,سبتمبر,"14,225,008"
2014,أكتوبر,"7,872,382"
2014,نوفمبر,"12,646,368"
2014,ديسمبر,"13,748,139"
2015,يناير,"8,359,587"
2015,فبراير,"11,652,185"
2015,مارس,"14,346,605"
2015,إبريل,"10,783,328"
2015,مايو,"15,369,404"
2015,يونيو,"17,999,413"
2015,يوليو,"8,881,479"
2015,أغسطس,"10,557,855"
2015,سبتمبر,"5,448,754"
2015,أكتوبر,"18,383,353"
2015,نوفمبر,"9,608,822"
2015,ديسمبر,"10,171,748"
2016,يناير,"7,631,741"
2016,فبراير,"10,407,501"
2016,مارس,"10,629,810"
2016,إبريل,"11,360,781"
2016,مايو,"16,045,233"
2016,يونيو,"12,329,530"
2016,يوليو,"9,366,884"
2016,أغسطس,"10,813,957"
2016,سبتمبر,"9,905,552"
2016,أكتوبر,"8,996,554"
2016,نوفمبر,"10,483,209"
2016,ديسمبر,"14,841,641"
2017,يناير,"42,410,265"
2017,فبراير,"10,071,239"
2017,مارس,"10,560,348"
2017,إبريل,"12,276,825"
2017,مايو,"14,649,777"
2017,يونيو,"7,734,133"
2017,يوليو,"12,870,468"
2017,أغسطس,"12,160,982"
2017,سبتمبر,"9,431,331"
2017,أكتوبر,"11,520,093"
2017,نوفمبر,"11,358,864"
2017,ديسمبر,"10,560,986"
2018,يناير,"11,193,096"
2018,فبراير,"7,438,815"
2018,مارس,"11,225,689"
2018,إبريل,"10,318,914"
2018,مايو,"13,299,807"
2018,يونيو,"7,220,161"
2018,يوليو,"7,070,957"
2018,أغسطس,"7,282,769"
2018,سبتمبر,"8,490,227"
2018,أكتوبر,"9,427,035"
2018,نوفمبر,"9,080,689"
2018,ديسمبر,"9,950,599"
2019,يناير,"9,093,947"
2019,فبراير,"10,102,753"
2019,مارس,"12,641,362"
2019,إبريل,"14,185,150"
2019,مايو,"14,877,181"
2019,يونيو,"7,109,646"
2019,يوليو,"15,163,029"
2019,أغسطس,"10,820,746"
2019,سبتمبر,"16,046,793"
2019,أكتوبر,"12,631,181"
2019,نوفمبر,"13,657,803"
2019,ديسمبر,"13,507,244"
2020,يناير,"11,635,227"
2020,فبراير,"12,422,642"
2020,مارس,"16,715,041"
2020,إبريل,"10,439,195"
2020,مايو,"9,851,577"
2020,يونيو,"12,257,327"
2020,يوليو,"11,690,510"
2020,أغسطس,"13,158,000"
2020,سبتمبر,"14,111,116"
2020,أكتوبر,"15,140,917"
2020,نوفمبر,"16,541,739"
2020,ديسمبر,"17,673,029"
2021,يناير,"22,634,515"
2021,فبراير,"18,176,206"
2021,مارس,"19,811,260"
2021,إبريل,"20,076,037"
2021,مايو,"20,771,629"
2021,يونيو,"21,830,907"
2021,يوليو,"15,458,471"
2021,أغسطس,"24,604,161"
2021,سبتمبر,"20,984,722"
2021,أكتوبر,"26,813,487"
2021,نوفمبر,"17,046,481"
2021,ديسمبر,"36,201,472"
2022,يناير,"22,896,368"
2022,فبراير,"28,530,617"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
