Item,Amount,Value
باب حديد اوشباك حديد بدون تحديد,316.2,ألف دولار
نجف و ثرايا كريستال و غيرها,305.1,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,248.4,ألف دولار
مخلوط P.V.C,233.2,ألف دولار
مغذيات الفالفا,210.2,ألف دولار
أحجار طبيعيه للمبانى مصقوله,152.2,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,62.3,ألف دولار
سيارات ركوب سعة محركها من 1500 سم إلى 3000 سم,51.6,ألف دولار
لوح توزيع فرعيه تقل عن 1000 فولت,46.0,ألف دولار
هرمونات متنوعه للتجزئه,19.6,ألف دولار
أجزاء الات محاسبيه,13.5,ألف دولار
اجزاء الات تكييف الهواء شباك او حائط,11.9,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,6.1,ألف دولار
اجزاء للاثاث,1.9,ألف دولار
مستلزمات المبانى,0.8,ألف دولار
أحذية التزحلق على الماء,0.7,ألف دولار
خضروات مجمدة او مبردة,0.7,ألف دولار
أعمدة من جزوع الأشجار الصلبه,0.5,ألف دولار
كتالوجات تجاريه وماشابه (طباعه اعلانات دعايه وملصقات),0.5,ألف دولار
مخدات وشلت و مرتبة سرير,0.5,ألف دولار
اثاث معدنى من النوع المستخدم فىالمكاتب,0.4,ألف دولار
ملابس كهنه و قديمه,0.4,ألف دولار
,0.4,ألف دولار
اصناف مفروشات اخرى غير مصنره او كروشيه من مواد نسجيه اخرى,0.3,ألف دولار
حلى غواية تقليدية اخرى,0.3,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,0.3,ألف دولار
بدل رجالى من ألياف نسجيه أخرى غير مصنره,0.3,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,0.3,ألف دولار
معاطف ومعاطف ذات قبعه وعبايات من صوف وبر ناعم للرجال والصبيه,0.2,ألف دولار
مخاليط خضروات مجمده,0.1,ألف دولار
ملابس أخرى من أقمشه نسجيه أخرى رجالى,0.1,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.1,ألف دولار
جلباب وبيجامات للرجال اوالصبيه من الياف نسجيه أخرى غير مصنره,0.1,ألف دولار
معاطف ومعاطف ذات قبعه وعبايات من صوف او من وبر ناعم للسيدات والبنات,0.1,ألف دولار
كمأ طازج أو مثلج,0.1,ألف دولار
تابلوه للصور,0.0,ألف دولار
روب حريمى من القطن مصنره,0.0,ألف دولار
مقاعد اخرى,0.0,ألف دولار
روب حريمى من الالياف الاصطناعيه مصنره,0.0,ألف دولار
