Year,Month,Export Amount
2012,يناير,"18,840,442"
2012,فبراير,"17,140,602"
2012,مارس,"12,438,714"
2012,إبريل,"17,915,173"
2012,مايو,"28,879,238"
2012,يونيو,"24,656,749"
2012,يوليو,"29,496,936"
2012,أغسطس,"27,751,940"
2012,سبتمبر,"20,986,399"
2012,أكتوبر,"13,865,119"
2012,نوفمبر,"21,316,002"
2012,ديسمبر,"29,468,775"
2013,يناير,"17,214,769"
2013,فبراير,"12,538,541"
2013,مارس,"16,273,187"
2013,إبريل,"25,910,142"
2013,مايو,"19,301,328"
2013,يونيو,"15,919,373"
2013,يوليو,"17,834,640"
2013,أغسطس,"13,645,998"
2013,سبتمبر,"21,011,213"
2013,أكتوبر,"14,379,247"
2013,نوفمبر,"25,071,995"
2013,ديسمبر,"21,190,927"
2014,يناير,"16,429,929"
2014,فبراير,"23,847,587"
2014,مارس,"22,952,076"
2014,إبريل,"22,386,185"
2014,مايو,"33,838,931"
2014,يونيو,"28,957,573"
2014,يوليو,"24,206,226"
2014,أغسطس,"36,778,063"
2014,سبتمبر,"27,146,804"
2014,أكتوبر,"14,467,596"
2014,نوفمبر,"20,575,038"
2014,ديسمبر,"33,243,685"
2015,يناير,"28,257,921"
2015,فبراير,"21,632,195"
2015,مارس,"27,581,035"
2015,إبريل,"18,675,582"
2015,مايو,"25,812,890"
2015,يونيو,"23,920,107"
2015,يوليو,"23,147,447"
2015,أغسطس,"27,665,893"
2015,سبتمبر,"18,196,018"
2015,أكتوبر,"29,050,243"
2015,نوفمبر,"20,690,960"
2015,ديسمبر,"33,321,350"
2016,يناير,"22,478,471"
2016,فبراير,"16,009,609"
2016,مارس,"30,465,541"
2016,إبريل,"22,671,880"
2016,مايو,"25,348,433"
2016,يونيو,"22,803,336"
2016,يوليو,"19,759,294"
2016,أغسطس,"26,512,992"
2016,سبتمبر,"21,919,333"
2016,أكتوبر,"22,962,956"
2016,نوفمبر,"28,162,206"
2016,ديسمبر,"23,241,764"
2017,يناير,"87,330,692"
2017,فبراير,"14,832,313"
2017,مارس,"33,347,653"
2017,إبريل,"33,520,883"
2017,مايو,"27,595,689"
2017,يونيو,"21,492,745"
2017,يوليو,"64,151,727"
2017,أغسطس,"20,663,708"
2017,سبتمبر,"18,105,187"
2017,أكتوبر,"68,283,463"
2017,نوفمبر,"23,253,235"
2017,ديسمبر,"12,923,165"
2018,يناير,"5,449,328"
2018,فبراير,"638,309"
2018,مارس,"540,457"
2018,إبريل,"96,966"
2018,مايو,669
2018,يونيو,"47,797"
2018,يوليو,"127,429"
2018,أغسطس,"4,105"
2018,سبتمبر,"43,096"
2018,أكتوبر,"23,765"
2018,نوفمبر,"34,010"
2018,ديسمبر,"15,100"
2019,يناير,"49,471"
2019,فبراير,"7,395"
2019,مارس,0
2019,إبريل,866
2019,مايو,"115,431"
2019,يونيو,0
2019,يوليو,358
2019,أغسطس,0
2019,سبتمبر,"2,108"
2019,أكتوبر,"1,185"
2019,نوفمبر,0
2019,ديسمبر,0
2020,يناير,"1,130"
2020,فبراير,"10,372"
2020,مارس,801
2020,إبريل,0
2020,مايو,0
2020,يونيو,"2,000"
2020,يوليو,260
2020,أغسطس,"266,625"
2020,سبتمبر,"75,113"
2020,أكتوبر,"37,093"
2020,نوفمبر,600
2020,ديسمبر,20
2021,يناير,805
2021,فبراير,"91,062"
2021,مارس,"8,905"
2021,إبريل,"20,895"
2021,مايو,"130,977"
2021,يونيو,"996,385"
2021,يوليو,"461,058"
2021,أغسطس,"341,553"
2021,سبتمبر,"374,458"
2021,أكتوبر,"220,551"
2021,نوفمبر,"8,736"
2021,ديسمبر,"1,013,188"
2022,يناير,"781,256"
2022,فبراير,"1,358,680"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
