Year,Month,Export Amount
2012,يناير,"636,730"
2012,فبراير,"121,672"
2012,مارس,"143,562"
2012,إبريل,"204,772"
2012,مايو,"71,400"
2012,يونيو,"153,022"
2012,يوليو,"119,349"
2012,أغسطس,0
2012,سبتمبر,"90,846"
2012,أكتوبر,"95,999"
2012,نوفمبر,"19,200"
2012,ديسمبر,"163,102"
2013,يناير,"209,980"
2013,فبراير,"282,657"
2013,مارس,"254,759"
2013,إبريل,"202,853"
2013,مايو,"175,929"
2013,يونيو,"118,113"
2013,يوليو,"118,397"
2013,أغسطس,"26,775"
2013,سبتمبر,"101,566"
2013,أكتوبر,"45,552"
2013,نوفمبر,"33,680"
2013,ديسمبر,"127,450"
2014,يناير,"195,805"
2014,فبراير,"216,761"
2014,مارس,"297,664"
2014,إبريل,"194,994"
2014,مايو,"44,495"
2014,يونيو,"147,558"
2014,يوليو,"88,101"
2014,أغسطس,"114,417"
2014,سبتمبر,0
2014,أكتوبر,"86,810"
2014,نوفمبر,"50,945"
2014,ديسمبر,"128,605"
2015,يناير,"219,772"
2015,فبراير,"274,120"
2015,مارس,"262,793"
2015,إبريل,"307,035"
2015,مايو,"181,969"
2015,يونيو,"139,930"
2015,يوليو,"77,354"
2015,أغسطس,"45,920"
2015,سبتمبر,0
2015,أكتوبر,"96,244"
2015,نوفمبر,"90,740"
2015,ديسمبر,"283,149"
2016,يناير,"161,910"
2016,فبراير,"303,867"
2016,مارس,"380,341"
2016,إبريل,"141,447"
2016,مايو,"176,865"
2016,يونيو,"135,044"
2016,يوليو,"340,989"
2016,أغسطس,0
2016,سبتمبر,"57,998"
2016,أكتوبر,0
2016,نوفمبر,"66,816"
2016,ديسمبر,"336,153"
2017,يناير,"402,047"
2017,فبراير,"250,794"
2017,مارس,"326,378"
2017,إبريل,"166,868"
2017,مايو,"79,431"
2017,يونيو,"98,322"
2017,يوليو,"125,746"
2017,أغسطس,0
2017,سبتمبر,"146,696"
2017,أكتوبر,"13,884"
2017,نوفمبر,"90,608"
2017,ديسمبر,"330,987"
2018,يناير,"534,086"
2018,فبراير,"428,660"
2018,مارس,"465,707"
2018,إبريل,"349,311"
2018,مايو,"251,060"
2018,يونيو,"162,536"
2018,يوليو,"112,152"
2018,أغسطس,"44,322"
2018,سبتمبر,"55,959"
2018,أكتوبر,"16,281"
2018,نوفمبر,"142,023"
2018,ديسمبر,"412,859"
2019,يناير,"346,054"
2019,فبراير,"422,345"
2019,مارس,"544,101"
2019,إبريل,"280,716"
2019,مايو,"37,434"
2019,يونيو,"277,011"
2019,يوليو,"213,921"
2019,أغسطس,"49,579"
2019,سبتمبر,"34,079"
2019,أكتوبر,"52,333"
2019,نوفمبر,"243,738"
2019,ديسمبر,"468,224"
2020,يناير,"694,569"
2020,فبراير,"566,908"
2020,مارس,"320,379"
2020,إبريل,"705,120"
2020,مايو,"222,263"
2020,يونيو,"93,445"
2020,يوليو,"426,309"
2020,أغسطس,"101,298"
2020,سبتمبر,"177,750"
2020,أكتوبر,"154,303"
2020,نوفمبر,"234,782"
2020,ديسمبر,"378,928"
2021,يناير,"631,356"
2021,فبراير,"861,997"
2021,مارس,"133,359"
2021,إبريل,"270,093"
2021,مايو,"5,244,437"
2021,يونيو,"657,354"
2021,يوليو,"466,279"
2021,أغسطس,"18,900"
2021,سبتمبر,"564,756"
2021,أكتوبر,"1,099,713"
2021,نوفمبر,"243,808"
2021,ديسمبر,"905,899"
2022,يناير,"1,262,242"
2022,فبراير,"735,830"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
