Item,Amount,Value
سماد يوريا أو اسمده ازوتيه اخرى,42.2,مليون دولار
بودره بولي ايثلين P.E.T,8.0,مليون دولار
بودره بولي فنيل كلوريد  P.V.S,4.1,مليون دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,2.9,مليون دولار
سماد سلفات النوشادر (سماد كبريتات النشادر),1.7,مليون دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,1.6,مليون دولار
طماطم محفوظه بكاملها فى مواد أخرى,1.5,مليون دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,1.4,مليون دولار
لوبيا مجففه ومفصصه ومعبأه,1.3,مليون دولار
برتقال طازج أو مجفف,1.3,مليون دولار
فوسفاتات كالسيوم طبيعيه وفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى مطحونه,1.3,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,1.1,مليون دولار
أحجار طبيعيه للمبانى من الألبستر و الرخام,823.2,ألف دولار
أحجار طبيعيه للمبانى مصقوله,768.9,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,484.0,ألف دولار
محضرات واصناف صيدليه اخر,431.9,ألف دولار
بصل وكرات بشوشه,416.7,ألف دولار
يوسفى طازج أو مجفف,392.2,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),342.1,ألف دولار
سقالات معدنيه,337.5,ألف دولار
زجاج مسطح عادى سادة غير مسلح,328.9,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,312.6,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),311.9,ألف دولار
أحجار طبيعيه للمبانى من الجرانيت,280.5,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,265.4,ألف دولار
,265.3,ألف دولار
مصارين ومثانات ومعد حيوانات (غير الاسماك) بكاملهااواجزاء منها,263.1,ألف دولار
ألواح حديد مغلفه مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,262.8,ألف دولار
بطاطس طازجه اومبرده أخرى,254.6,ألف دولار
اثاث معدنى اخر,254.5,ألف دولار
إطارات السيارات النقل و الشاحنات,217.5,ألف دولار
أغطية أرضيات نسجيه أخرى,188.7,ألف دولار
طرشى),185.2,ألف دولار
فوسفاتات كالسيوم طبيعيه ـفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى غير مطحونه فوسفاتات كالسيوم طبيعيه ـفوسفانات طب,161.7,ألف دولار
ملح غير صالح للطعام و ملح طعام,152.5,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,150.7,ألف دولار
نباتات طبيه أخرى,150.4,ألف دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,149.2,ألف دولار
بوليمرات الإيثيلين,147.4,ألف دولار
قرنبيــط,145.6,ألف دولار
ملايات سرير من ألياف نسجيه مخلوطه,144.1,ألف دولار
خيوط مغزوله قطنيه أقل من 85% (بخلاف خيوط الحياكه) مهيأه للبيع بالتجزئة,141.5,ألف دولار
فاصوليا بيضاء مجففه ومفصصه ومعبأه,141.4,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,137.4,ألف دولار
زيتون مخلل,133.5,ألف دولار
بادجات من ورق او ورق مقوى مطبوعه و مطبوعات تيكيت عادى,120.0,ألف دولار
بلاطات والاصناف المماثله وان كانت مستطيله بحيث تكون محصوره فى بلاط يقل طول ضلعه عن 7سم,108.5,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,103.5,ألف دولار
اجولة واكياس من بولياثلين او بوليبروبلين,98.2,ألف دولار
غير مسلح,92.5,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,90.9,ألف دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,88.7,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (فول اتوماتيك),88.0,ألف دولار
حبيبات  P.V.C غير ملدن,85.5,ألف دولار
سيليكات صوديوم أخر,84.7,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,73.0,ألف دولار
ثـــوم طازج أو مثلج,69.0,ألف دولار
سجادوغيره من اغطيه الارضيات النسجيه من مواد نسجيه تركيبيه اواصطناعيه,65.5,ألف دولار
طفــله بدون تحديــد (طينات اخرى),61.8,ألف دولار
غزل كتان متعدد مسرح,61.0,ألف دولار
فوليه),58.9,ألف دولار
فوسفيد الصوديوم,57.5,ألف دولار
املاح فوسفات الزنك,57.5,ألف دولار
,56.1,ألف دولار
"ادوات من خزف زجاجى من النوع المستعمل للمائدة ,للمطبخ التواليت والمكتب وللتزيين داخل المنازل",51.5,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,47.2,ألف دولار
فاصولياخضراء و فول أخضر,46.9,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,45.1,ألف دولار
بطاطا طازجه أو مجففه,43.3,ألف دولار
خس ملفوف وكرنبى,42.8,ألف دولار
جريب فروت طازج أو مجفف,36.6,ألف دولار
قماش الدنيم أو الجينز,36.5,ألف دولار
سوست معدنيه للملابس,36.5,ألف دولار
جـــــزر,36.3,ألف دولار
قنينة كانيولا وادوات مماثلة,36.1,ألف دولار
فراوله محفوظه مؤقتا,29.6,ألف دولار
حقن طبيه من بلاستيك (سرنجه),29.4,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),27.0,ألف دولار
بلاطات والاصناف المماثله وان كانت مستطيله بحيث تكون محصوره فى بلاط يقل طول ضلعه عن 7سم,26.9,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,24.3,ألف دولار
,23.9,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),23.8,ألف دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,23.3,ألف دولار
"اغصان وارقه, اوراق, شجيرات, نباتات اخرى",21.5,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,19.9,ألف دولار
مستحضرات للاستعمال قبل او اثناء او بعد الحلاقة,19.8,ألف دولار
مواد مانعه للرغوه فى درجات الحراره العاليه,18.5,ألف دولار
مجموعات اسلاك الاشعال ومجموعات اسلاك اخرى من النوع المستعمل فى السيارات الطائرات او السفن,11.8,ألف دولار
كرفس طازج أو مثلج,10.0,ألف دولار
باترونات من المنسوجات,9.7,ألف دولار
مخاليط خضروات مجمده,9.7,ألف دولار
خضروات اخرى مجمده,9.4,ألف دولار
زيوت عطرية أخرى,7.8,ألف دولار
الات الحلوى والات صناعة الحلويات و الشيكولاته,7.4,ألف دولار
كبريتات ماغنيسيوم,6.4,ألف دولار
خضروات مجمدة او مبردة,6.3,ألف دولار
محضرات كيميائيه للتشخيص المعملى,4.2,ألف دولار
محضرات قاعدتها من هذه المواد,4.1,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,3.9,ألف دولار
اجزاء من الحابكات المسننة,3.5,ألف دولار
مكسبات طعم ورائحه,3.5,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,3.4,ألف دولار
كرنب أفرنجى و بروكلى طازج,3.1,ألف دولار
نخالة ومخلفات ناتجة عن العمليات التى تجرى على الذرة,2.4,ألف دولار
مفاتيح كهربائيه اخرى للأكثر من 1000 فولت,0.7,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,0.6,ألف دولار
حقائب و شنط من أنواع البلاستيك الأخرى,0.1,ألف دولار
عواشق خشبيه و حليات و مشغولات خشبيه,0.1,ألف دولار
منتجات للتعبئة و التغليف أخرى من أنواع البلاستيك الأخرى,0.1,ألف دولار
اكسوارات عوازل كهربائيه من بلاستيك,0.0,ألف دولار
أجزاء محركات و مولدات أخرى,0.0,ألف دولار
