Year,Month,Export Amount
2012,يناير,"3,171,428"
2012,فبراير,"2,808,981"
2012,مارس,"7,205,893"
2012,إبريل,"7,937,923"
2012,مايو,"5,994,194"
2012,يونيو,"5,908,067"
2012,يوليو,"5,800,990"
2012,أغسطس,"6,782,041"
2012,سبتمبر,"7,990,880"
2012,أكتوبر,"7,025,523"
2012,نوفمبر,"5,148,966"
2012,ديسمبر,"5,946,647"
2013,يناير,"6,390,834"
2013,فبراير,"3,729,938"
2013,مارس,"8,532,351"
2013,إبريل,"7,748,968"
2013,مايو,"7,448,068"
2013,يونيو,"8,829,140"
2013,يوليو,"5,814,483"
2013,أغسطس,"4,782,500"
2013,سبتمبر,"5,791,829"
2013,أكتوبر,"7,988,053"
2013,نوفمبر,"12,531,688"
2013,ديسمبر,"10,635,733"
2014,يناير,"5,801,378"
2014,فبراير,"14,915,872"
2014,مارس,"11,921,439"
2014,إبريل,"9,692,327"
2014,مايو,"10,245,351"
2014,يونيو,"15,614,998"
2014,يوليو,"6,149,122"
2014,أغسطس,"12,235,834"
2014,سبتمبر,"6,421,413"
2014,أكتوبر,"7,400,247"
2014,نوفمبر,"6,898,279"
2014,ديسمبر,"6,806,684"
2015,يناير,"5,235,441"
2015,فبراير,"6,759,435"
2015,مارس,"7,832,750"
2015,إبريل,"7,684,702"
2015,مايو,"7,306,604"
2015,يونيو,"6,574,490"
2015,يوليو,"9,935,302"
2015,أغسطس,"6,563,990"
2015,سبتمبر,"5,323,269"
2015,أكتوبر,"13,112,413"
2015,نوفمبر,"8,920,795"
2015,ديسمبر,"12,625,105"
2016,يناير,"12,768,950"
2016,فبراير,"9,075,456"
2016,مارس,"9,869,019"
2016,إبريل,"7,918,420"
2016,مايو,"6,653,518"
2016,يونيو,"7,967,047"
2016,يوليو,"5,210,010"
2016,أغسطس,"8,485,467"
2016,سبتمبر,"13,720,170"
2016,أكتوبر,"9,915,564"
2016,نوفمبر,"13,284,341"
2016,ديسمبر,"13,219,828"
2017,يناير,"32,166,818"
2017,فبراير,"14,404,634"
2017,مارس,"11,558,560"
2017,إبريل,"9,681,347"
2017,مايو,"11,048,360"
2017,يونيو,"7,176,301"
2017,يوليو,"10,567,208"
2017,أغسطس,"9,835,613"
2017,سبتمبر,"18,343,843"
2017,أكتوبر,"10,165,275"
2017,نوفمبر,"11,227,646"
2017,ديسمبر,"13,528,037"
2018,يناير,"17,947,064"
2018,فبراير,"9,157,598"
2018,مارس,"12,680,453"
2018,إبريل,"10,743,247"
2018,مايو,"9,388,707"
2018,يونيو,"8,211,574"
2018,يوليو,"11,970,334"
2018,أغسطس,"9,878,973"
2018,سبتمبر,"10,338,014"
2018,أكتوبر,"13,608,588"
2018,نوفمبر,"7,698,341"
2018,ديسمبر,"6,897,386"
2019,يناير,"11,860,178"
2019,فبراير,"9,006,880"
2019,مارس,"13,828,944"
2019,إبريل,"14,251,744"
2019,مايو,"11,009,393"
2019,يونيو,"8,894,793"
2019,يوليو,"9,443,518"
2019,أغسطس,"10,731,406"
2019,سبتمبر,"14,184,687"
2019,أكتوبر,"18,304,461"
2019,نوفمبر,"18,484,800"
2019,ديسمبر,"13,028,323"
2020,يناير,"15,322,667"
2020,فبراير,"11,473,439"
2020,مارس,"12,569,117"
2020,إبريل,"5,349,572"
2020,مايو,"5,732,942"
2020,يونيو,"10,210,175"
2020,يوليو,"9,830,835"
2020,أغسطس,"7,225,078"
2020,سبتمبر,"10,009,685"
2020,أكتوبر,"8,195,556"
2020,نوفمبر,"9,605,245"
2020,ديسمبر,"10,822,795"
2021,يناير,"13,163,940"
2021,فبراير,"15,556,207"
2021,مارس,"23,867,884"
2021,إبريل,"10,376,773"
2021,مايو,"20,265,422"
2021,يونيو,"17,216,881"
2021,يوليو,"26,275,583"
2021,أغسطس,"28,548,280"
2021,سبتمبر,"43,327,871"
2021,أكتوبر,"40,110,366"
2021,نوفمبر,"4,458,381"
2021,ديسمبر,"18,755,594"
2022,يناير,"46,430,564"
2022,فبراير,"33,862,359"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
