Item,Amount,Value
برتقال طازج أو مجفف,54.5,مليون دولار
بطاطس طازجه اومبرده أخرى,21.0,مليون دولار
يوسفى طازج أو مجفف,12.0,مليون دولار
خضروات اخرى مجمده,9.1,مليون دولار
فراوله طازجه,3.4,مليون دولار
كرنب أفرنجى و بروكلى طازج,3.2,مليون دولار
فراوله محفوظه مؤقتا,2.7,مليون دولار
جريب فروت طازج أو مجفف,1.9,مليون دولار
,1.9,مليون دولار
مخاليط خضروات مجمده,1.3,مليون دولار
جـــــزر,1.3,مليون دولار
غيرها من دنان وبراميل وصفائح وعلب واوعيه مماثله من الومنيوم,1.2,مليون دولار
نباتات طبيه أخرى,997.3,ألف دولار
خس ملفوف وكرنبى,962.2,ألف دولار
بذار (تقاوى)بطاطس طازجه اومبرده,945.5,ألف دولار
فاصوليا مجمده,840.8,ألف دولار
طفــله بدون تحديــد (طينات اخرى),670.4,ألف دولار
,641.0,ألف دولار
ثـــوم طازج أو مثلج,638.2,ألف دولار
اسمنت فوندو ..... الخ,548.8,ألف دولار
صابون معطر تواليت,488.5,ألف دولار
أغطية أرضيات نسجيه أخرى,433.4,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),431.8,ألف دولار
صابون فى شكل عيدان لاستعمالات غير الزينة مثل(صابون خام),400.5,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,372.3,ألف دولار
خضروات مجمدة او مبردة,343.1,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,329.0,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,298.4,ألف دولار
جبن طازج أبيض بدون أى عمليات لاحقه,284.5,ألف دولار
آلات صب المطاط أو البلاستيك فى قوالب,280.0,ألف دولار
بطاطس مجمده,272.0,ألف دولار
طماطم محفوظه بكاملها فى مواد أخرى,250.2,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),243.4,ألف دولار
بطاطا طازجه أو مجففه,238.2,ألف دولار
عصير برتقال مركز,237.2,ألف دولار
غواسل عضوية بحالة ايونات سالبة,165.6,ألف دولار
محضرات واصناف صيدليه اخر,158.2,ألف دولار
طرشى),155.0,ألف دولار
لوحات توزيع كهرباء لفولت يزيد عن 1000 فولت  للمصانع,130.6,ألف دولار
ستائر مصنرة او كروشيه من الياف نسجيه أخرى,113.9,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),107.9,ألف دولار
بصل وكرات بشوشه,106.7,ألف دولار
انواع جبنه اخرى,104.4,ألف دولار
أسماك موسى النهريه طازجه أو مثلجه,96.6,ألف دولار
اثاث معدنى اخر,94.3,ألف دولار
توســت أو خبز محمص,93.2,ألف دولار
فجل أفرنجى,90.5,ألف دولار
مجموعات اسلاك الاشعال ومجموعات اسلاك اخرى من النوع المستعمل فى السيارات الطائرات او السفن,89.9,ألف دولار
إطارات السيارات النقل و الشاحنات,83.3,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",82.0,ألف دولار
ورنيشات قاعدتها P.V.A,74.5,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,70.8,ألف دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,59.2,ألف دولار
أجزاء راديو و تليفزيون,57.8,ألف دولار
مانجوستين طازجةاو مجففه,55.9,ألف دولار
باترونات من المنسوجات,54.4,ألف دولار
بهارات اخرى,51.5,ألف دولار
خضروات بقليه اخرى,51.1,ألف دولار
خضروات مجففه,46.5,ألف دولار
فلفل  رومى أخضر و ألوان أخرى,41.4,ألف دولار
فاصولياخضراء و فول أخضر,39.7,ألف دولار
شعر كتان مسرح أو شعر كتان ممشط و ليس مغزول,39.0,ألف دولار
ادوية غير مهياة بجرعات معايرة اوباشكال اوعبوات للبيع بالتجزئة,37.6,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,35.5,ألف دولار
فراوله محلاه فى محلول سكرى,34.5,ألف دولار
بوليمرات الإيثيلين,33.8,ألف دولار
غيرها من زيوت ودهون نباتيه ومايتجزأ عنها,31.1,ألف دولار
أحجار طبيعيه للمبانى مصقوله,27.5,ألف دولار
نجف و ثرايا كريستال و غيرها,25.6,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),14.6,ألف دولار
خيوط أو غزل من البوليستر مفرد مزووى 50 لفه متر,14.2,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,14.0,ألف دولار
مجففات محضره,13.2,ألف دولار
ميتا سيليكات الصوديوم,12.0,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,10.9,ألف دولار
أخطبوط مجمده أو مملحه أو مجففه,9.5,ألف دولار
قنينة كانيولا وادوات مماثلة,8.3,ألف دولار
ملح غير صالح للطعام و ملح طعام,6.3,ألف دولار
ثعبان السمك حى,6.1,ألف دولار
اغطيه ارضيات من P.V.C بشكل لفات (مشمعات),5.0,ألف دولار
تماثيل و قطع زخرفيه من أنواع البلاستيك الأخرى,4.9,ألف دولار
بازلياء خضراء,4.7,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,4.0,ألف دولار
قضبان و عيدان حديد مغلفه مسحوبه على الساخن,3.3,ألف دولار
أسماك السردين مجمده,3.2,ألف دولار
أجزاء من مصابيح و إضائه زجاجيه,3.1,ألف دولار
أبو جلمبو بقشر أو بدونه,2.5,ألف دولار
تنر (تنر عضوى عادى او مخصوص),0.8,ألف دولار
اجزاء مقطورات وشبه مقطورات وعربات اخرى بدون دفع ذاتى واجزاؤها,0.7,ألف دولار
لقم المفكات و المخارط و المثاقب,0.2,ألف دولار
خس طازج,0.1,ألف دولار
فواكه ?  اثمار محفوظه مؤقتا,0.0,ألف دولار
مراوح للمكتب أو الجدران أو الأسقف أو الأرضيات,0.0,ألف دولار
سبانخ خضراء طازجه,0.0,ألف دولار
بنطلون حريمى من الياف نسجيه أخرى غير مصنره,0.0,ألف دولار
خميره جافه نشطه,0.0,ألف دولار
موالح أخرى طازج أو مجفف,0.0,ألف دولار
سبانخ مجمده,0.0,ألف دولار
صناديق باليتات وغيرها من الواح التحميل,0.0,ألف دولار
فاكهه أخرى طازجه,0.0,ألف دولار
