Year,Month,Export Amount
2012,يناير,"15,197,109"
2012,فبراير,"29,571,104"
2012,مارس,"29,021,959"
2012,إبريل,"22,632,587"
2012,مايو,"43,531,555"
2012,يونيو,"27,888,795"
2012,يوليو,"9,850,415"
2012,أغسطس,"5,284,101"
2012,سبتمبر,"8,335,003"
2012,أكتوبر,"7,088,739"
2012,نوفمبر,"6,129,308"
2012,ديسمبر,"21,601,981"
2013,يناير,"28,275,845"
2013,فبراير,"45,094,924"
2013,مارس,"44,273,680"
2013,إبريل,"40,586,546"
2013,مايو,"37,067,435"
2013,يونيو,"20,722,594"
2013,يوليو,"6,778,319"
2013,أغسطس,"2,475,273"
2013,سبتمبر,"7,786,779"
2013,أكتوبر,"5,526,420"
2013,نوفمبر,"6,444,853"
2013,ديسمبر,"23,512,180"
2014,يناير,"24,431,009"
2014,فبراير,"65,385,382"
2014,مارس,"53,837,240"
2014,إبريل,"53,137,122"
2014,مايو,"77,024,363"
2014,يونيو,"31,692,465"
2014,يوليو,"3,848,909"
2014,أغسطس,"6,233,412"
2014,سبتمبر,"10,882,831"
2014,أكتوبر,"6,080,426"
2014,نوفمبر,"8,264,604"
2014,ديسمبر,"16,997,520"
2015,يناير,"26,770,840"
2015,فبراير,"48,128,408"
2015,مارس,"47,747,446"
2015,إبريل,"44,675,850"
2015,مايو,"54,069,388"
2015,يونيو,"26,580,198"
2015,يوليو,"11,175,713"
2015,أغسطس,"6,108,801"
2015,سبتمبر,"12,270,849"
2015,أكتوبر,"7,857,324"
2015,نوفمبر,"8,298,865"
2015,ديسمبر,"40,519,054"
2016,يناير,"25,899,796"
2016,فبراير,"39,447,978"
2016,مارس,"40,763,669"
2016,إبريل,"41,193,790"
2016,مايو,"45,124,984"
2016,يونيو,"31,118,966"
2016,يوليو,"9,065,730"
2016,أغسطس,"5,177,507"
2016,سبتمبر,"3,498,330"
2016,أكتوبر,"10,131,413"
2016,نوفمبر,"6,843,279"
2016,ديسمبر,"24,470,360"
2017,يناير,"41,179,446"
2017,فبراير,"34,753,800"
2017,مارس,"51,240,212"
2017,إبريل,"54,096,929"
2017,مايو,"69,733,069"
2017,يونيو,"48,797,443"
2017,يوليو,"21,846,760"
2017,أغسطس,"5,982,269"
2017,سبتمبر,"8,819,375"
2017,أكتوبر,"9,646,351"
2017,نوفمبر,"12,771,607"
2017,ديسمبر,"34,320,999"
2018,يناير,"42,730,055"
2018,فبراير,"73,562,863"
2018,مارس,"81,479,749"
2018,إبريل,"64,801,320"
2018,مايو,"40,399,700"
2018,يونيو,"19,973,144"
2018,يوليو,"7,661,755"
2018,أغسطس,"7,382,692"
2018,سبتمبر,"10,741,368"
2018,أكتوبر,"10,382,551"
2018,نوفمبر,"10,052,664"
2018,ديسمبر,"33,736,041"
2019,يناير,"33,912,373"
2019,فبراير,"63,300,026"
2019,مارس,"61,594,328"
2019,إبريل,"42,267,582"
2019,مايو,"55,093,878"
2019,يونيو,"28,076,821"
2019,يوليو,"13,292,086"
2019,أغسطس,"8,843,184"
2019,سبتمبر,"10,865,399"
2019,أكتوبر,"13,895,260"
2019,نوفمبر,"12,146,297"
2019,ديسمبر,"25,234,387"
2020,يناير,"43,936,986"
2020,فبراير,"68,926,482"
2020,مارس,"55,551,511"
2020,إبريل,"67,516,308"
2020,مايو,"32,748,905"
2020,يونيو,"35,763,792"
2020,يوليو,"13,810,949"
2020,أغسطس,"10,522,988"
2020,سبتمبر,"9,616,046"
2020,أكتوبر,"10,906,377"
2020,نوفمبر,"16,975,069"
2020,ديسمبر,"40,665,583"
2021,يناير,"46,268,679"
2021,فبراير,"68,185,913"
2021,مارس,"73,227,644"
2021,إبريل,"52,677,974"
2021,مايو,"58,037,170"
2021,يونيو,"42,933,830"
2021,يوليو,"21,432,611"
2021,أغسطس,"14,855,111"
2021,سبتمبر,"19,657,273"
2021,أكتوبر,"24,791,504"
2021,نوفمبر,"16,866,526"
2021,ديسمبر,"40,101,047"
2022,يناير,"56,875,948"
2022,فبراير,"76,260,375"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
