Item,Amount,Value
زيت عباد الشمس بصـفة عـامة,1.5,مليون دولار
مكسبات طعم ورائحه,1.2,مليون دولار
سدادات معدنيه,1.1,مليون دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),899.2,ألف دولار
سكر بنجر مكرر,481.7,ألف دولار
خميره جافه نشطه,275.8,ألف دولار
,237.0,ألف دولار
زيت صويا منقى و غير معالج كيمائيا,226.5,ألف دولار
موصلات كهربيه تزيد عن 1000 فولت,216.4,ألف دولار
راتنجات الكيديه,163.1,ألف دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,152.1,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,129.4,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,128.5,ألف دولار
اجولة واكياس من بولياثلين او بوليبروبلين,126.1,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,105.4,ألف دولار
برتقال طازج أو مجفف,94.4,ألف دولار
بولىفينيل اسيتات سائل,91.0,ألف دولار
ملح غير صالح للطعام و ملح طعام,85.8,ألف دولار
مصابيح وتركيبات اضاءه اخرى,82.1,ألف دولار
ورنيشات قاعدتها P.V.A,69.1,ألف دولار
عجائن اخرى غير محتويه على بيض,61.6,ألف دولار
فوليه),57.8,ألف دولار
أدوات و مستلزمات البناء الأخرى من أنواع البلاستيك الأخرى,45.1,ألف دولار
صابون معطر تواليت,43.9,ألف دولار
مجففات محضره,42.1,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,41.4,ألف دولار
اعلاف حيوانيه غير تقليديه,41.2,ألف دولار
محضرات ذات سطح غير محتمل للحراره للارضيات و الجدرات و الواجهات,39.8,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,36.0,ألف دولار
عجائن طباعه شفافه,35.4,ألف دولار
طماطم محفوظه بكاملها فى مواد أخرى,28.5,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,27.5,ألف دولار
ثلاجات ومجمدات مشتركه مثبته بأبواب داخليه منفصله,23.1,ألف دولار
مسحوق كاكاو مضاف الى محتواه سكر,23.0,ألف دولار
مستحضرات لتثبيت تشكيلات الشعر (دون تحديد),19.5,ألف دولار
محضرات واصناف صيدليه اخر,18.7,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,12.7,ألف دولار
اجزاء ولوازم سيارات اخرى,11.7,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),11.3,ألف دولار
يوسفى طازج أو مجفف,11.3,ألف دولار
طعام من حبوب غير محمصة ومحمصة,9.1,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),6.8,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,4.7,ألف دولار
معاملات تجميع الدم,4.1,ألف دولار
غيرها من البويات والورنيشات المائيه,3.9,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,3.0,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,0.7,ألف دولار
كروت ذكية,0.3,ألف دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,0.1,ألف دولار
