Year,Month,Export Amount
2012,يناير,"1,453,999"
2012,فبراير,"424,016"
2012,مارس,"367,763"
2012,إبريل,"2,507,904"
2012,مايو,"1,049,439"
2012,يونيو,"821,061"
2012,يوليو,"3,146,813"
2012,أغسطس,"520,446"
2012,سبتمبر,"951,821"
2012,أكتوبر,"481,748"
2012,نوفمبر,"1,862,667"
2012,ديسمبر,"2,084,876"
2013,يناير,"2,952,725"
2013,فبراير,"210,845"
2013,مارس,"2,511,331"
2013,إبريل,"2,553,803"
2013,مايو,"708,375"
2013,يونيو,"1,499,470"
2013,يوليو,"2,138,165"
2013,أغسطس,"617,553"
2013,سبتمبر,"995,309"
2013,أكتوبر,"2,633,530"
2013,نوفمبر,"711,153"
2013,ديسمبر,"1,618,999"
2014,يناير,"1,762,948"
2014,فبراير,"1,033,070"
2014,مارس,"4,042,147"
2014,إبريل,"1,045,385"
2014,مايو,"1,894,401"
2014,يونيو,"1,071,552"
2014,يوليو,"1,924,673"
2014,أغسطس,"840,113"
2014,سبتمبر,"2,124,659"
2014,أكتوبر,"2,015,728"
2014,نوفمبر,"1,190,797"
2014,ديسمبر,"1,992,018"
2015,يناير,"1,210,995"
2015,فبراير,"1,767,975"
2015,مارس,"1,799,514"
2015,إبريل,"1,999,998"
2015,مايو,"1,906,153"
2015,يونيو,"1,026,108"
2015,يوليو,"709,149"
2015,أغسطس,"3,059,362"
2015,سبتمبر,"2,397,646"
2015,أكتوبر,"3,025,277"
2015,نوفمبر,"1,676,982"
2015,ديسمبر,"1,755,273"
2016,يناير,"1,475,223"
2016,فبراير,"1,334,312"
2016,مارس,"1,116,613"
2016,إبريل,"2,134,114"
2016,مايو,"734,277"
2016,يونيو,"953,772"
2016,يوليو,"1,984,797"
2016,أغسطس,"2,187,970"
2016,سبتمبر,"2,189,862"
2016,أكتوبر,"1,866,815"
2016,نوفمبر,"1,654,201"
2016,ديسمبر,"1,609,727"
2017,يناير,"4,702,985"
2017,فبراير,"614,643"
2017,مارس,"2,043,802"
2017,إبريل,"646,221"
2017,مايو,"1,038,659"
2017,يونيو,"670,418"
2017,يوليو,"1,871,630"
2017,أغسطس,"848,242"
2017,سبتمبر,"1,410,496"
2017,أكتوبر,"3,400,715"
2017,نوفمبر,"934,577"
2017,ديسمبر,"1,847,142"
2018,يناير,"1,564,334"
2018,فبراير,"2,055,438"
2018,مارس,"1,874,682"
2018,إبريل,"1,790,731"
2018,مايو,"1,419,200"
2018,يونيو,"1,354,349"
2018,يوليو,"1,281,334"
2018,أغسطس,"2,154,459"
2018,سبتمبر,"1,830,754"
2018,أكتوبر,"2,801,032"
2018,نوفمبر,"1,443,303"
2018,ديسمبر,"2,427,710"
2019,يناير,"1,510,023"
2019,فبراير,"1,056,562"
2019,مارس,"2,823,645"
2019,إبريل,"1,722,408"
2019,مايو,"2,438,664"
2019,يونيو,"2,222,805"
2019,يوليو,"2,193,973"
2019,أغسطس,"2,528,034"
2019,سبتمبر,"1,992,877"
2019,أكتوبر,"2,829,109"
2019,نوفمبر,"1,021,325"
2019,ديسمبر,"2,535,984"
2020,يناير,"2,361,753"
2020,فبراير,"2,448,958"
2020,مارس,"1,530,203"
2020,إبريل,"2,021,467"
2020,مايو,"877,656"
2020,يونيو,"4,515,357"
2020,يوليو,"5,553,622"
2020,أغسطس,"3,891,591"
2020,سبتمبر,"2,947,217"
2020,أكتوبر,"6,439,894"
2020,نوفمبر,"3,107,417"
2020,ديسمبر,"4,296,163"
2021,يناير,"2,390,101"
2021,فبراير,"3,072,497"
2021,مارس,"3,517,578"
2021,إبريل,"3,875,245"
2021,مايو,"3,170,911"
2021,يونيو,"3,682,456"
2021,يوليو,"4,489,323"
2021,أغسطس,"3,170,495"
2021,سبتمبر,"3,274,458"
2021,أكتوبر,"3,605,925"
2021,نوفمبر,"2,857,711"
2021,ديسمبر,"2,922,621"
2022,يناير,"2,623,407"
2022,فبراير,"6,144,578"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
