Item,Amount,Value
سلك نحاس اصفر,33.5,مليون دولار
برتقال طازج أو مجفف,31.9,مليون دولار
الواح حديد مسحوبة على الساخن فى رولات بعرض اكبر من 600مم وبسمك اكبر من 4.75 مم,19.2,مليون دولار
قضبان وعيدان حديد مغلفة مسحوبة على الساخن فى لفائف غيرمنتظمة (عدا ذات المقطع المستدير قطر اقل من 14مم),14.6,مليون دولار
اثاث اخر من الخشب ? حجره سفره من خشب,10.8,مليون دولار
شيكولاتة ومنتجات الكاكاو,10.3,مليون دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,9.4,مليون دولار
محضرات غذائيه اخرى,9.3,مليون دولار
سجاد نايلون آخر,7.5,مليون دولار
أحجار طبيعيه للمبانى مصقوله,7.2,مليون دولار
سماد نترات النشادر الجيرى,7.1,مليون دولار
يوسفى طازج أو مجفف,6.5,مليون دولار
,6.4,مليون دولار
بصل وكرات بشوشه,5.9,مليون دولار
فراوله طازجه,5.9,مليون دولار
مكسبات طعم ورائحه,5.5,مليون دولار
محضرات منظفة .. وان احتوت عل معامل نشط,4.9,مليون دولار
كوك البترول المكلس,4.3,مليون دولار
ورنيشات قاعدتها P.V.A,4.2,مليون دولار
شامبو لغسيل الشعر  (دون تحديد),3.6,مليون دولار
خضروات اخرى مجمده,3.5,مليون دولار
محضرات واصناف صيدليه اخر,3.1,مليون دولار
خس ملفوف وكرنبى,3.0,مليون دولار
ملابس أخرى من أقمشه نسجيه أخرى مصنره,2.9,مليون دولار
انواع جبنه اخرى,2.8,مليون دولار
قماش بارلون / نايلون,2.7,مليون دولار
الواح حديد كروم مسحوبة على البارد فى رولات بعرض اكبر من 600مم وبسمك اكبر من0.5 مم واقل من 1مم,2.7,مليون دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,2.5,مليون دولار
ألواح و صفائح من نحاس منقى فى رولات بسمك يزيد عن 15و مم,2.4,مليون دولار
خميره جافه نشطه,2.3,مليون دولار
اثاث معدنى اخر,2.2,مليون دولار
قوالب شيكولاته,2.2,مليون دولار
غيرها من مصنوعات اخرى من حديد او صلب,2.1,مليون دولار
فراوله محفوظه مؤقتا,2.0,مليون دولار
فوليه),1.8,مليون دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,1.8,مليون دولار
بذور خضروات اخرى,1.7,مليون دولار
بطاطا طازجه أو مجففه,1.7,مليون دولار
ادوات منزليه من الالومنيوم خاصه بالمطبخ,1.7,مليون دولار
طرشى),1.6,مليون دولار
بطاطس محفوظه بكاملها فى مواد أخرى,1.6,مليون دولار
ألواح حديد مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم و بسمك أقل من 3 مم,1.5,مليون دولار
أغطية أرضيات نسجيه أخرى,1.4,مليون دولار
خلايا اولية وبطاريات من أكسيد رصاص لتشغيل البساتم,1.4,مليون دولار
الواح حديد كروم مسحوبة على البارد فى رولات بعرض اكبر من 600مم وبسمك اكبر من 1مم واقل من3مم,1.3,مليون دولار
جبن طازج أبيض بدون أى عمليات لاحقه,1.3,مليون دولار
ورق صحى( تواليت) بكر/ تشيو بكر / ورق خفيف,1.2,مليون دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,1.2,مليون دولار
مانجوستين طازجةاو مجففه,1.2,مليون دولار
أحجار طبيعيه للمبانى مشقوقه,1.2,مليون دولار
بنطلون رجالى من القطن غير مصنره,1.1,مليون دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,1.1,مليون دولار
جهاز تكييف وتبريد للحوائط أو النوافذ,1.1,مليون دولار
موصلات كهربيه لا تزيد عن 80 فولت,1.1,مليون دولار
مصنوعات اخري من بورسلين او صيني للزينه,1.0,مليون دولار
أحجار طبيعيه للمبانى من الألبستر و الرخام,978.6,ألف دولار
مخاليط خضروات مجمده,973.4,ألف دولار
سليب رجالى قطن مصنره,962.9,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,910.9,ألف دولار
غراء قاعدته نشاء او دكسترين او انواع اخرى من نشويات معدلة,904.1,ألف دولار
غواسل عضوية بحالة ايونات سالبة,894.2,ألف دولار
جبن مطبوخ غير مبشور ولا مسحوق,867.7,ألف دولار
فول بقلى (فول خيل),811.9,ألف دولار
نباتات طبيه أخرى,788.9,ألف دولار
مجففات محضره,785.8,ألف دولار
مواد مانعه للرغوه فى درجات الحراره العاليه,765.0,ألف دولار
سقالات معدنيه,753.5,ألف دولار
ليتوبون والوان سطحية ومحضرات اخرى غير عضويه متنوعه,749.5,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,699.5,ألف دولار
تنر (تنر عضوى عادى او مخصوص),661.4,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,645.6,ألف دولار
اسمنت فوندو ..... الخ,644.4,ألف دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,631.8,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,624.5,ألف دولار
منتجات متنوعه نباتيه للغذاء,619.9,ألف دولار
بيكربونات كالسيوم,617.1,ألف دولار
"لواح , افرخ من البلاستيك",612.4,ألف دولار
اغطيه ارضيات اساسها الورق اوالورق المقوى,606.4,ألف دولار
عجائن اخرى غير محتويه على بيض,597.8,ألف دولار
دقيق حنطة قمح ودقيق خليط حنطة,554.2,ألف دولار
أقمشه تحتوى على 85% بوليستر مطبوعه أو غير مطبوعه أخرى,543.7,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),526.0,ألف دولار
حجاب و شيلان و كوفيات من الياف نسجيه أخرى,520.9,ألف دولار
المارجرين أو بديل الزبده ? زبده صناعيه,519.2,ألف دولار
عســل نحــل,518.8,ألف دولار
فحم حجرى,513.4,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),502.8,ألف دولار
فواكه وثمار اخرى ذات قشره صلبه فى محلول سكرى,499.0,ألف دولار
تنكات وقود,483.8,ألف دولار
مستحضرات لتعطير الغرف او لازاله الروائح الكريهه منها,482.4,ألف دولار
فلفل  رومى أخضر و ألوان أخرى,476.4,ألف دولار
صناديق عرض وماشابه,462.3,ألف دولار
بسكويت صيدلى,441.1,ألف دولار
اجزاء للمصاعد للبكرات الرافعه او السلالم,415.5,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,411.8,ألف دولار
محضرات متجانسه لاغذيه الاطفال,403.7,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,399.0,ألف دولار
"انابيب,مواسير وخراطيم صلبة,غير قابلة للثنى من بوليميرات كلوريدالفينيل",396.0,ألف دولار
فواكه ?  اثمار محفوظه مؤقتا,391.1,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,385.9,ألف دولار
سليب رجالى من ألياف صناعيه غير مصنره,378.4,ألف دولار
فاكهه أخرى طازجه,376.1,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,373.2,ألف دولار
صفائح علب واوعيه مماثله من حديد او صلب     لتعبئه اى مادة سعتها50 لتراواكثر,367.6,ألف دولار
اجزاء للاثاث,364.0,ألف دولار
غيرها من خزانات ودنان وبراميل وصفائح من حديد او صلب سعتها اقل من 50 لتر,360.8,ألف دولار
ملايات قطن مطبوعة,357.9,ألف دولار
زيت ذره مكرر,357.0,ألف دولار
احماض دهنية صناعية مونوكاربوكسيليك,351.3,ألف دولار
مخلفات صناعات البنجر,345.0,ألف دولار
خضروات بقليه اخرى,337.1,ألف دولار
زيوت عطرية مركزة فى شكل عجائن عطرية,336.5,ألف دولار
جريب فروت طازج أو مجفف,331.3,ألف دولار
طقم رجالى من الياف صناعيه غير مصنره,322.1,ألف دولار
لبن بودره غير محلى,305.3,ألف دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,303.2,ألف دولار
عجائن البوليثرين متنوعه,302.7,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,299.5,ألف دولار
اطقم حمامات / بياضات متنوعه,290.7,ألف دولار
قدد من الالومنيوم مستطيلة الشكل,285.7,ألف دولار
ملابس المطر الداخليه حريمى بصفة عامه,279.7,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,278.7,ألف دولار
بياضات المائدة وبياضات المطابخ من المناشف او الاقمشة الوبرية المماثلة من قطن,277.8,ألف دولار
ورنيشات قاعدتها بولى استر,276.0,ألف دولار
انابيب ومواسير سيراميك اقطار صغيرة و متوسطة,273.8,ألف دولار
لوبيا مجففه ومفصصه ومعبأه,272.9,ألف دولار
عصير البرتقال,271.4,ألف دولار
بن محمص اومطحون,271.1,ألف دولار
اسلاك نحاس معزوله بالبلاستيك والقطن أو بالحرير الزجاجى,268.9,ألف دولار
مكعبات فسيفساء وسيراميك وما يماثلها مطلية بالمينا,268.2,ألف دولار
غيرها من المربى,257.4,ألف دولار
حساء ومرق ومحضرات (شوربه),256.4,ألف دولار
ادوات جلى وقفازات من النحاس,255.0,ألف دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,250.2,ألف دولار
قضبان و عيدان حديد صلب,250.0,ألف دولار
الواح حديد كروم مسحوبة على البارد فى رولات بعرض اكبر من 600مم وبسمك اقل من 0.5مم,247.9,ألف دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,247.5,ألف دولار
