Year,Month,Export Amount
2012,يناير,"158,639,855"
2012,فبراير,"162,967,506"
2012,مارس,"170,246,392"
2012,إبريل,"153,830,530"
2012,مايو,"208,563,634"
2012,يونيو,"188,062,123"
2012,يوليو,"179,404,512"
2012,أغسطس,"148,436,767"
2012,سبتمبر,"165,713,963"
2012,أكتوبر,"119,834,134"
2012,نوفمبر,"149,684,567"
2012,ديسمبر,"167,337,193"
2013,يناير,"189,503,882"
2013,فبراير,"172,562,642"
2013,مارس,"230,690,368"
2013,إبريل,"206,508,928"
2013,مايو,"232,476,199"
2013,يونيو,"165,846,367"
2013,يوليو,"142,309,614"
2013,أغسطس,"107,061,794"
2013,سبتمبر,"188,784,664"
2013,أكتوبر,"123,419,982"
2013,نوفمبر,"124,066,269"
2013,ديسمبر,"153,663,457"
2014,يناير,"178,964,129"
2014,فبراير,"182,317,616"
2014,مارس,"182,808,754"
2014,إبريل,"182,331,078"
2014,مايو,"197,681,873"
2014,يونيو,"215,170,720"
2014,يوليو,"151,994,035"
2014,أغسطس,"175,153,044"
2014,سبتمبر,"159,906,873"
2014,أكتوبر,"124,303,030"
2014,نوفمبر,"159,128,783"
2014,ديسمبر,"213,813,871"
2015,يناير,"161,037,381"
2015,فبراير,"155,898,685"
2015,مارس,"213,073,093"
2015,إبريل,"198,697,594"
2015,مايو,"210,025,058"
2015,يونيو,"190,317,760"
2015,يوليو,"147,570,015"
2015,أغسطس,"165,065,800"
2015,سبتمبر,"127,261,961"
2015,أكتوبر,"145,881,659"
2015,نوفمبر,"139,354,351"
2015,ديسمبر,"190,805,687"
2016,يناير,"145,911,068"
2016,فبراير,"153,988,024"
2016,مارس,"163,640,706"
2016,إبريل,"158,374,119"
2016,مايو,"199,140,117"
2016,يونيو,"137,417,756"
2016,يوليو,"100,473,552"
2016,أغسطس,"131,094,922"
2016,سبتمبر,"145,573,119"
2016,أكتوبر,"153,408,580"
2016,نوفمبر,"135,255,956"
2016,ديسمبر,"165,698,336"
2017,يناير,"435,169,291"
2017,فبراير,"120,000,442"
2017,مارس,"143,586,422"
2017,إبريل,"140,048,693"
2017,مايو,"132,761,236"
2017,يونيو,"99,458,928"
2017,يوليو,"102,976,932"
2017,أغسطس,"109,957,693"
2017,سبتمبر,"110,650,066"
2017,أكتوبر,"118,486,856"
2017,نوفمبر,"122,391,190"
2017,ديسمبر,"137,618,190"
2018,يناير,"118,691,330"
2018,فبراير,"116,879,096"
2018,مارس,"122,560,764"
2018,إبريل,"101,793,646"
2018,مايو,"117,157,155"
2018,يونيو,"95,150,845"
2018,يوليو,"118,581,257"
2018,أغسطس,"85,496,453"
2018,سبتمبر,"119,427,310"
2018,أكتوبر,"118,653,547"
2018,نوفمبر,"93,858,160"
2018,ديسمبر,"149,678,650"
2019,يناير,"121,650,944"
2019,فبراير,"134,521,815"
2019,مارس,"128,085,701"
2019,إبريل,"158,189,170"
2019,مايو,"164,316,542"
2019,يونيو,"142,486,029"
2019,يوليو,"138,652,087"
2019,أغسطس,"126,916,313"
2019,سبتمبر,"140,988,229"
2019,أكتوبر,"134,419,111"
2019,نوفمبر,"116,142,241"
2019,ديسمبر,"137,490,673"
2020,يناير,"113,119,171"
2020,فبراير,"135,765,132"
2020,مارس,"146,631,494"
2020,إبريل,"107,420,938"
2020,مايو,"75,256,773"
2020,يونيو,"123,540,690"
2020,يوليو,"118,551,837"
2020,أغسطس,"123,179,401"
2020,سبتمبر,"183,479,483"
2020,أكتوبر,"150,183,948"
2020,نوفمبر,"155,759,106"
2020,ديسمبر,"198,065,774"
2021,يناير,"166,618,270"
2021,فبراير,"155,915,052"
2021,مارس,"155,373,039"
2021,إبريل,"227,059,935"
2021,مايو,"184,904,297"
2021,يونيو,"205,905,447"
2021,يوليو,"149,009,664"
2021,أغسطس,"165,174,932"
2021,سبتمبر,"211,002,683"
2021,أكتوبر,"171,504,524"
2021,نوفمبر,"104,538,183"
2021,ديسمبر,"200,533,989"
2022,يناير,"195,101,561"
2022,فبراير,"188,851,155"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
