Item,Amount,Value
دقيق حنطة قمح ودقيق خليط حنطة,31.6,مليون دولار
سماد يوريا أو اسمده ازوتيه اخرى,24.6,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,7.1,مليون دولار
اجولة واكياس من بولياثلين او بوليبروبلين,6.4,مليون دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,5.7,مليون دولار
ارز نصف مبيض اومبيض بالكامل,5.4,مليون دولار
انواع أخرى من اسمنت بورتلاند (حديدى و مخلوط),4.8,مليون دولار
مكسبات طعم ورائحه,3.6,مليون دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",3.6,مليون دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,3.0,مليون دولار
فوليه),2.9,مليون دولار
راتنجات الكيديه,2.8,مليون دولار
سجاد من ألياف صناعيه أخرى,2.6,مليون دولار
محضرات واصناف صيدليه اخر,2.2,مليون دولار
شيكولاتة ومنتجات الكاكاو,2.1,مليون دولار
عدس اصفر معبأ,2.1,مليون دولار
غيرها من مصنوعات اخرى من حديد او صلب,2.1,مليون دولار
لبان بلـــدى,2.0,مليون دولار
البسه خارجيه للنساء والبنات والاطفال و جاكت أو بالطو من صوف / وبرناعم مصنره,1.9,مليون دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,1.8,مليون دولار
نشا ذره,1.7,مليون دولار
خميره جافه نشطه,1.7,مليون دولار
بسكويت صيدلى,1.6,مليون دولار
اثاث اخر من الخشب ? حجره سفره من خشب,1.5,مليون دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,1.4,مليون دولار
"ادوات من خزف زجاجى من النوع المستعمل للمائدة ,للمطبخ التواليت والمكتب وللتزيين داخل المنازل",1.4,مليون دولار
سلك نحاس اصفر,1.3,مليون دولار
خيوط أو غزل من البوليستر مفرد مزووى 50 لفه متر,1.1,مليون دولار
,1.0,مليون دولار
ادوات منزليه من الالومنيوم خاصه بالمطبخ,996.0,ألف دولار
بودره بولي فنيل كلوريد  P.V.S,955.0,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),912.4,ألف دولار
قضبان وعيدان حديد مغلفة مسحوبة على الساخن فى لفائف منتظمة مقطع مستدير قطر اقل من 14مم,816.4,ألف دولار
صابون معطر تواليت,798.6,ألف دولار
مخلوط P.V.C,778.6,ألف دولار
ثلاجات ومجمدات مشتركه مثبته بأبواب داخليه منفصله,775.3,ألف دولار
جلوكوز و عسل الجلوكوز,757.1,ألف دولار
صابون فى شكل عيدان لاستعمالات غير الزينة مثل(صابون خام),719.7,ألف دولار
طماطم محفوظه بكاملها فى مواد أخرى,661.1,ألف دولار
بوليستر أولى,657.3,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,578.1,ألف دولار
الواح وفرخ ورقائق وشرائط وشرائح من اصناف ذاتية اللصق من لدائن اصطناعية,566.9,ألف دولار
بنطلون حريمى من القطن غير مصنره,540.5,ألف دولار
ثلاجات منزليه تعمل بكمبريسور,526.1,ألف دولار
الومنيوم غير مشغول أو غير هيئة سبائك,513.0,ألف دولار
أعمده من زجاج,484.1,ألف دولار
سلك الومنيوم (اكبر من 7مللى حسب المستلزم),465.4,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),460.2,ألف دولار
دقيق حبوب أخرى,455.0,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,452.4,ألف دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,445.0,ألف دولار
محضرات صبغيه من الالكروم,432.8,ألف دولار
زيتون مخلل,406.6,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,404.7,ألف دولار
سوبرفوسفات فى عبوات أكثر من 10 كج,396.0,ألف دولار
حليات خشبيه بلاستيكيه,385.1,ألف دولار
حبر طباعة الوان متنوعة,368.3,ألف دولار
احذيه بنعال خارجيه من مطاط أو لدائن صناعيه أو جلد تركيبى,366.6,ألف دولار
حبيبات  P.V.C غير ملدن,332.1,ألف دولار
جلوكوز و عسل الجلوكوز,323.9,ألف دولار
زيت النخيل بحاله اخرى,312.0,ألف دولار
اشكال مسطحةاخرى ومن اصناف ذاتية اللصق من لدائن اصطناعية,306.4,ألف دولار
"لواح , افرخ من البلاستيك",291.9,ألف دولار
