Year,Month,Export Amount
2012,يناير,"31,376,525"
2012,فبراير,"36,273,491"
2012,مارس,"42,007,643"
2012,إبريل,"36,200,008"
2012,مايو,"55,517,011"
2012,يونيو,"40,490,024"
2012,يوليو,"46,354,142"
2012,أغسطس,"35,971,868"
2012,سبتمبر,"38,016,284"
2012,أكتوبر,"29,032,114"
2012,نوفمبر,"41,095,307"
2012,ديسمبر,"48,838,534"
2013,يناير,"34,514,777"
2013,فبراير,"40,279,752"
2013,مارس,"55,564,097"
2013,إبريل,"52,993,027"
2013,مايو,"62,061,773"
2013,يونيو,"65,148,851"
2013,يوليو,"41,209,977"
2013,أغسطس,"25,818,935"
2013,سبتمبر,"47,289,202"
2013,أكتوبر,"35,671,142"
2013,نوفمبر,"44,978,205"
2013,ديسمبر,"44,348,643"
2014,يناير,"30,250,972"
2014,فبراير,"33,808,868"
2014,مارس,"36,584,096"
2014,إبريل,"32,936,272"
2014,مايو,"49,246,790"
2014,يونيو,"45,686,945"
2014,يوليو,"34,038,840"
2014,أغسطس,"36,952,878"
2014,سبتمبر,"35,271,278"
2014,أكتوبر,"23,061,263"
2014,نوفمبر,"38,236,835"
2014,ديسمبر,"46,450,666"
2015,يناير,"43,110,879"
2015,فبراير,"41,311,436"
2015,مارس,"49,148,307"
2015,إبريل,"50,514,985"
2015,مايو,"50,045,562"
2015,يونيو,"43,903,143"
2015,يوليو,"34,494,004"
2015,أغسطس,"40,810,701"
2015,سبتمبر,"34,270,981"
2015,أكتوبر,"55,939,876"
2015,نوفمبر,"45,006,203"
2015,ديسمبر,"51,434,674"
2016,يناير,"38,473,235"
2016,فبراير,"38,797,323"
2016,مارس,"62,490,645"
2016,إبريل,"53,619,251"
2016,مايو,"57,004,793"
2016,يونيو,"50,940,200"
2016,يوليو,"63,010,934"
2016,أغسطس,"46,704,927"
2016,سبتمبر,"36,938,780"
2016,أكتوبر,"48,785,908"
2016,نوفمبر,"49,316,336"
2016,ديسمبر,"47,613,000"
2017,يناير,"183,707,428"
2017,فبراير,"37,120,377"
2017,مارس,"36,250,121"
2017,إبريل,"30,977,050"
2017,مايو,"36,220,845"
2017,يونيو,"23,075,886"
2017,يوليو,"26,637,259"
2017,أغسطس,"24,383,314"
2017,سبتمبر,"25,500,207"
2017,أكتوبر,"32,572,612"
2017,نوفمبر,"35,604,142"
2017,ديسمبر,"49,357,247"
2018,يناير,"28,704,686"
2018,فبراير,"25,368,252"
2018,مارس,"32,087,545"
2018,إبريل,"27,120,555"
2018,مايو,"27,494,953"
2018,يونيو,"19,753,613"
2018,يوليو,"38,554,065"
2018,أغسطس,"26,168,930"
2018,سبتمبر,"36,344,878"
2018,أكتوبر,"33,568,725"
2018,نوفمبر,"31,414,623"
2018,ديسمبر,"45,436,596"
2019,يناير,"30,590,400"
2019,فبراير,"27,759,897"
2019,مارس,"36,381,654"
2019,إبريل,"46,381,254"
2019,مايو,"32,368,720"
2019,يونيو,"25,094,524"
2019,يوليو,"41,869,654"
2019,أغسطس,"28,402,492"
2019,سبتمبر,"44,189,059"
2019,أكتوبر,"46,302,032"
2019,نوفمبر,"51,680,506"
2019,ديسمبر,"51,025,762"
2020,يناير,"35,857,276"
2020,فبراير,"51,444,834"
2020,مارس,"29,853,246"
2020,إبريل,"22,979,509"
2020,مايو,"8,146,701"
2020,يونيو,"31,407,985"
2020,يوليو,"29,048,533"
2020,أغسطس,"44,257,744"
2020,سبتمبر,"53,575,833"
2020,أكتوبر,"49,631,795"
2020,نوفمبر,"59,390,633"
2020,ديسمبر,"61,132,632"
2021,يناير,"72,115,629"
2021,فبراير,"75,818,646"
2021,مارس,"52,397,555"
2021,إبريل,"65,585,958"
2021,مايو,"57,771,030"
2021,يونيو,"68,398,159"
2021,يوليو,"49,404,758"
2021,أغسطس,"73,081,371"
2021,سبتمبر,"64,702,772"
2021,أكتوبر,"56,896,961"
2021,نوفمبر,"39,078,011"
2021,ديسمبر,"92,630,933"
2022,يناير,"102,383,637"
2022,فبراير,"73,814,636"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
