Item,Amount,Value
,7.3,مليون دولار
الواح حديد كروم مسحوبة على البارد فى رولات بعرض اكبر من 600مم وبسمك اكبر من0.5 مم واقل من 1مم,1.0,مليون دولار
غيرها من مصنوعات اخرى من حديد او صلب,836.2,ألف دولار
مخلوط P.V.C,731.0,ألف دولار
الواح حديد كروم مسحوبة على البارد فى رولات بعرض اكبر من 600مم وبسمك اكبر من 1مم واقل من3مم,338.1,ألف دولار
سيليكات صوديوم أخر,308.2,ألف دولار
برتقال طازج أو مجفف,303.2,ألف دولار
طماطم محفوظه بكاملها فى مواد أخرى,275.6,ألف دولار
مكسبات طعم ورائحه,216.2,ألف دولار
ورنيشات قاعدتها P.V.A,199.2,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,182.2,ألف دولار
إطارات السيارات النقل و الشاحنات,175.9,ألف دولار
بيرة مصنعة من الشعير الناشظ (مولت) كحوليه,173.9,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",128.5,ألف دولار
ليتوبون والوان سطحية ومحضرات اخرى غير عضويه متنوعه,127.9,ألف دولار
حمض جلوتاميك واملاحه,124.8,ألف دولار
بوليستر أولى,106.4,ألف دولار
صناديق عرض وماشابه,106.1,ألف دولار
,105.6,ألف دولار
ورنيشات قاعدتها بولى استر,101.5,ألف دولار
فواكه وثمار اخرى ذات قشره صلبه فى محلول سكرى,99.9,ألف دولار
محضرات واصناف صيدليه اخر,82.4,ألف دولار
تنر (تنر عضوى عادى او مخصوص),82.0,ألف دولار
لعزل الحراره ?  الصوت,72.0,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,68.8,ألف دولار
حامض ايدروكلوريك ( هيدروجين كلوريد),66.0,ألف دولار
بولى ميثيل أخرى ? لفائف غير حساسه و لدائن صناعيه,62.6,ألف دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,61.4,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,55.8,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),53.1,ألف دولار
نشا ذره,51.9,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),38.1,ألف دولار
اصناف مقولبه او مضغوطه من عجينه الورق,37.2,ألف دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,34.9,ألف دولار
ثلاجات منزليه تعمل بكمبريسور,34.6,ألف دولار
بيكربونات كالسيوم,34.3,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,30.4,ألف دولار
محول كهربائى 650 وات إلى 10000 وات,27.8,ألف دولار
غيرها من البويات والورنيشات المائيه,27.7,ألف دولار
أغطية أرضيات نسجيه أخرى,25.2,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,24.6,ألف دولار
فرش كنس,22.8,ألف دولار
عجائن اخرى غير محتويه على بيض,21.7,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),21.5,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,16.1,ألف دولار
مجففات محضره,14.1,ألف دولار
كتب و كتيبات مطبوعه وان كانت مصوره,12.0,ألف دولار
أطقم من المنسوجات و الغزل لهواة صناعة السجاد,10.0,ألف دولار
"غيرها من اقمشة نصف شفافه , نسيج ومماسح ارجل وحشايا والواح من الفيبر جلاس",9.5,ألف دولار
محضرات ذات سطح غير محتمل للحراره للارضيات و الجدرات و الواجهات,8.8,ألف دولار
معاملات تجميع الدم,7.8,ألف دولار
ورق كرتون فى رولات,7.5,ألف دولار
بلاطات والاصناف المماثله وان كانت مستطيله بحيث تكون محصوره فى بلاط يقل طول ضلعه عن 7سم,7.3,ألف دولار
صناديق و حاويات من البلاستيك,6.2,ألف دولار
بصل مجفف,4.1,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),3.2,ألف دولار
ماكينه تعبئه وتغليف او لف فى وقت واحد دون تحديد للماده المعبأه والمغلفه,2.0,ألف دولار
حقائب و شنط و جوالات واكياس من بوليمرات الإيثلين,1.4,ألف دولار
ورنيشات قاعدتها بولى اكريلك,0.9,ألف دولار
حقائب و شنط من أنواع البلاستيك الأخرى,0.1,ألف دولار
مواسير و أنابيب من الصلب أخرى,0.1,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.1,ألف دولار
