Year,Month,Export Amount
2012,يناير,"2,640,995"
2012,فبراير,"9,661,703"
2012,مارس,"3,075,842"
2012,إبريل,"2,100,146"
2012,مايو,"2,143,453"
2012,يونيو,"1,966,785"
2012,يوليو,"1,423,400"
2012,أغسطس,"2,185,860"
2012,سبتمبر,"2,389,831"
2012,أكتوبر,"2,935,070"
2012,نوفمبر,"2,310,500"
2012,ديسمبر,"4,488,918"
2013,يناير,"3,782,341"
2013,فبراير,"3,835,999"
2013,مارس,"2,946,089"
2013,إبريل,"4,575,719"
2013,مايو,"4,860,573"
2013,يونيو,"1,985,770"
2013,يوليو,"3,235,151"
2013,أغسطس,"2,028,848"
2013,سبتمبر,"3,171,486"
2013,أكتوبر,"3,784,402"
2013,نوفمبر,"2,162,517"
2013,ديسمبر,"3,512,577"
2014,يناير,"3,871,713"
2014,فبراير,"4,823,742"
2014,مارس,"5,169,839"
2014,إبريل,"2,356,793"
2014,مايو,"1,704,482"
2014,يونيو,"2,401,399"
2014,يوليو,"2,798,447"
2014,أغسطس,"2,172,815"
2014,سبتمبر,"3,413,197"
2014,أكتوبر,"2,805,391"
2014,نوفمبر,"3,199,148"
2014,ديسمبر,"1,711,439"
2015,يناير,"824,567"
2015,فبراير,"1,567,873"
2015,مارس,"4,483,101"
2015,إبريل,"2,377,204"
2015,مايو,"1,493,588"
2015,يونيو,"2,111,375"
2015,يوليو,"3,436,407"
2015,أغسطس,"2,009,686"
2015,سبتمبر,"2,701,009"
2015,أكتوبر,"2,282,014"
2015,نوفمبر,"2,752,637"
2015,ديسمبر,"4,476,071"
2016,يناير,"1,854,934"
2016,فبراير,"2,321,272"
2016,مارس,"2,679,441"
2016,إبريل,"3,095,952"
2016,مايو,"3,062,737"
2016,يونيو,"18,120,997"
2016,يوليو,"2,531,222"
2016,أغسطس,"1,708,864"
2016,سبتمبر,"1,990,157"
2016,أكتوبر,"3,962,331"
2016,نوفمبر,"3,200,502"
2016,ديسمبر,"3,021,174"
2017,يناير,"9,741,536"
2017,فبراير,"3,223,472"
2017,مارس,"1,809,751"
2017,إبريل,"2,131,982"
2017,مايو,"2,629,919"
2017,يونيو,"1,645,105"
2017,يوليو,"2,109,838"
2017,أغسطس,"3,076,001"
2017,سبتمبر,"1,808,853"
2017,أكتوبر,"3,687,926"
2017,نوفمبر,"3,532,761"
2017,ديسمبر,"2,386,585"
2018,يناير,"2,405,469"
2018,فبراير,"2,445,875"
2018,مارس,"4,953,421"
2018,إبريل,"2,827,280"
2018,مايو,"2,682,337"
2018,يونيو,"2,011,485"
2018,يوليو,"2,611,227"
2018,أغسطس,"2,944,246"
2018,سبتمبر,"1,864,444"
2018,أكتوبر,"2,805,624"
2018,نوفمبر,"2,472,609"
2018,ديسمبر,"2,862,374"
2019,يناير,"3,771,003"
2019,فبراير,"5,158,705"
2019,مارس,"4,166,513"
2019,إبريل,"5,929,201"
2019,مايو,"6,290,392"
2019,يونيو,"7,344,157"
2019,يوليو,"4,463,187"
2019,أغسطس,"3,832,680"
2019,سبتمبر,"3,419,840"
2019,أكتوبر,"3,708,154"
2019,نوفمبر,"2,601,608"
2019,ديسمبر,"3,909,374"
2020,يناير,"3,622,005"
2020,فبراير,"2,448,709"
2020,مارس,"3,295,130"
2020,إبريل,"11,875,691"
2020,مايو,"7,508,805"
2020,يونيو,"4,037,856"
2020,يوليو,"12,918,951"
2020,أغسطس,"3,743,644"
2020,سبتمبر,"4,026,838"
2020,أكتوبر,"5,252,552"
2020,نوفمبر,"2,130,957"
2020,ديسمبر,"3,391,472"
2021,يناير,"2,924,690"
2021,فبراير,"4,683,749"
2021,مارس,"4,822,518"
2021,إبريل,"9,175,683"
2021,مايو,"4,588,938"
2021,يونيو,"12,389,465"
2021,يوليو,"5,558,440"
2021,أغسطس,"4,825,602"
2021,سبتمبر,"5,442,667"
2021,أكتوبر,"5,021,530"
2021,نوفمبر,"1,699,774"
2021,ديسمبر,"8,030,589"
2022,يناير,"7,877,735"
2022,فبراير,"7,975,552"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
