Item,Amount,Value
برتقال طازج أو مجفف,1.9,مليون دولار
فراوله طازجه,756.7,ألف دولار
يوسفى طازج أو مجفف,141.6,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,132.7,ألف دولار
بلح طازج أو مجفف,109.9,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,100.5,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,54.6,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,47.9,ألف دولار
زيوت عطرية أخرى,37.7,ألف دولار
فراوله محفوظه مؤقتا,34.8,ألف دولار
بنطلون رجالى من القطن غير مصنره,34.6,ألف دولار
املاح حمام معطرة و مستحضرات اخرى للاستعمال اثناء الاستحمام,30.8,ألف دولار
صناديق و حاويات من البلاستيك,26.6,ألف دولار
فوسفاتات كالسيوم طبيعيه وفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى مطحونه,26.5,ألف دولار
عجائن اخرى غير محتويه على بيض,14.3,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,13.8,ألف دولار
زيوت عطريه (من موالح) متعدده,11.1,ألف دولار
حلى غواية تقليدية اخرى,10.7,ألف دولار
وصلات و كيعان و فلانشات لمواسير,8.6,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,8.5,ألف دولار
محضرات واصناف صيدليه اخر,7.8,ألف دولار
عدادات ضبط الآلات,6.0,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,3.9,ألف دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,3.9,ألف دولار
راتنجات عطرية,2.0,ألف دولار
جريب فروت طازج أو مجفف,1.9,ألف دولار
نباتات طبيه أخرى,1.4,ألف دولار
عســل نحــل,1.1,ألف دولار
شيكولاته شرب جافه,1.0,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,0.7,ألف دولار
ألواح و صفائح من نحاس و رصاص أو نحاس و زنك منقى فى غير رولات بسمك يزيد عن 15و مم,0.6,ألف دولار
شحوم نباتيه,0.4,ألف دولار
خــــل,0.2,ألف دولار
بقوة أكبر من 750 وات,0.1,ألف دولار
شـاى أسود و شاي خام معبيء فى أكثر من 3 كج,0.1,ألف دولار
غراء قاعدته نشاء او دكسترين او انواع اخرى من نشويات معدلة,0.1,ألف دولار
فضلات الحديد الزهر,0.1,ألف دولار
البنزول,0.0,ألف دولار
توت طازج,0.0,ألف دولار
توليول,0.0,ألف دولار
أفوكادو طازج أو جاف,0.0,ألف دولار
