Year,Month,Export Amount
2012,يناير,"1,865,821"
2012,فبراير,"1,414,040"
2012,مارس,"1,865,126"
2012,إبريل,"706,721"
2012,مايو,"1,344,960"
2012,يونيو,"3,248,756"
2012,يوليو,"2,293,637"
2012,أغسطس,"461,833"
2012,سبتمبر,"1,045,446"
2012,أكتوبر,"579,235"
2012,نوفمبر,"1,295,013"
2012,ديسمبر,"2,283,350"
2013,يناير,"2,332,934"
2013,فبراير,"1,928,148"
2013,مارس,"3,249,047"
2013,إبريل,"1,749,716"
2013,مايو,"2,605,076"
2013,يونيو,"3,505,859"
2013,يوليو,"2,494,139"
2013,أغسطس,"1,860,535"
2013,سبتمبر,"3,401,041"
2013,أكتوبر,"2,425,126"
2013,نوفمبر,"791,410"
2013,ديسمبر,"2,382,707"
2014,يناير,"1,568,011"
2014,فبراير,"2,082,850"
2014,مارس,"2,712,435"
2014,إبريل,"2,153,016"
2014,مايو,"1,050,301"
2014,يونيو,"3,037,494"
2014,يوليو,"1,881,694"
2014,أغسطس,"2,177,550"
2014,سبتمبر,"1,971,328"
2014,أكتوبر,"1,491,676"
2014,نوفمبر,"517,544"
2014,ديسمبر,"2,385,370"
2015,يناير,"2,001,246"
2015,فبراير,"2,160,326"
2015,مارس,"2,816,509"
2015,إبريل,"2,319,912"
2015,مايو,"2,934,389"
2015,يونيو,"2,805,316"
2015,يوليو,"13,356,234"
2015,أغسطس,"1,832,644"
2015,سبتمبر,"1,655,327"
2015,أكتوبر,"2,240,911"
2015,نوفمبر,"2,449,753"
2015,ديسمبر,"4,245,761"
2016,يناير,"2,099,915"
2016,فبراير,"3,557,444"
2016,مارس,"3,863,260"
2016,إبريل,"28,067,331"
2016,مايو,"2,270,540"
2016,يونيو,"2,310,755"
2016,يوليو,"18,099,864"
2016,أغسطس,"1,635,637"
2016,سبتمبر,"1,125,819"
2016,أكتوبر,"3,986,142"
2016,نوفمبر,"1,298,902"
2016,ديسمبر,"2,545,942"
2017,يناير,"19,256,366"
2017,فبراير,"1,854,536"
2017,مارس,"16,803,042"
2017,إبريل,"1,703,526"
2017,مايو,"1,459,530"
2017,يونيو,"2,035,173"
2017,يوليو,"2,086,978"
2017,أغسطس,"1,195,138"
2017,سبتمبر,"848,810"
2017,أكتوبر,"785,003"
2017,نوفمبر,"846,794"
2017,ديسمبر,"1,236,748"
2018,يناير,"1,988,003"
2018,فبراير,"1,743,835"
2018,مارس,"2,040,018"
2018,إبريل,"1,473,167"
2018,مايو,"2,121,671"
2018,يونيو,"1,253,522"
2018,يوليو,"2,514,236"
2018,أغسطس,"2,428,926"
2018,سبتمبر,"4,900,311"
2018,أكتوبر,"2,687,971"
2018,نوفمبر,"6,767,775"
2018,ديسمبر,"4,342,758"
2019,يناير,"2,418,541"
2019,فبراير,"2,180,972"
2019,مارس,"2,418,393"
2019,إبريل,"1,829,403"
2019,مايو,"1,031,171"
2019,يونيو,"2,659,498"
2019,يوليو,"2,640,569"
2019,أغسطس,"1,589,591"
2019,سبتمبر,"1,003,215"
2019,أكتوبر,"1,034,000"
2019,نوفمبر,"54,582,671"
2019,ديسمبر,"1,504,092"
2020,يناير,"1,759,104"
2020,فبراير,"38,424,327"
2020,مارس,"1,824,514"
2020,إبريل,"682,795"
2020,مايو,"6,723,444"
2020,يونيو,"1,899,682"
2020,يوليو,"2,122,356"
2020,أغسطس,"1,132,835"
2020,سبتمبر,"1,643,866"
2020,أكتوبر,"20,581,169"
2020,نوفمبر,"29,415,469"
2020,ديسمبر,"13,281,983"
2021,يناير,"22,466,883"
2021,فبراير,"57,365,873"
2021,مارس,"49,176,545"
2021,إبريل,"76,967,566"
2021,مايو,"77,939,407"
2021,يونيو,"47,530,829"
2021,يوليو,"69,039,333"
2021,أغسطس,"81,809,316"
2021,سبتمبر,"33,090,394"
2021,أكتوبر,"50,091,944"
2021,نوفمبر,"325,230"
2021,ديسمبر,"1,599,600"
2022,يناير,"1,972,236"
2022,فبراير,"1,998,625"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
