Year,Month,Export Amount
2012,يناير,"543,354"
2012,فبراير,"367,542"
2012,مارس,"330,565"
2012,إبريل,"149,499"
2012,مايو,"283,530"
2012,يونيو,"503,472"
2012,يوليو,"329,847"
2012,أغسطس,"248,833"
2012,سبتمبر,"336,008"
2012,أكتوبر,"35,400"
2012,نوفمبر,"630,325"
2012,ديسمبر,"485,115"
2013,يناير,"182,386"
2013,فبراير,"412,858"
2013,مارس,"604,259"
2013,إبريل,"535,365"
2013,مايو,"112,555"
2013,يونيو,"473,489"
2013,يوليو,0
2013,أغسطس,"393,775"
2013,سبتمبر,"134,117"
2013,أكتوبر,"174,341"
2013,نوفمبر,"402,164"
2013,ديسمبر,"558,110"
2014,يناير,"289,125"
2014,فبراير,"287,994"
2014,مارس,"134,054"
2014,إبريل,"566,784"
2014,مايو,"139,232"
2014,يونيو,"135,223"
2014,يوليو,"532,152"
2014,أغسطس,"422,446"
2014,سبتمبر,0
2014,أكتوبر,"16,230"
2014,نوفمبر,"58,925"
2014,ديسمبر,"55,607"
2015,يناير,"271,507"
2015,فبراير,"150,315"
2015,مارس,"247,684"
2015,إبريل,"186,621"
2015,مايو,"575,285"
2015,يونيو,"380,114"
2015,يوليو,"496,226"
2015,أغسطس,"159,750"
2015,سبتمبر,"62,580"
2015,أكتوبر,"221,703"
2015,نوفمبر,"292,181"
2015,ديسمبر,"433,529"
2016,يناير,"241,155"
2016,فبراير,"171,517"
2016,مارس,"378,607"
2016,إبريل,"24,400"
2016,مايو,"179,238"
2016,يونيو,"109,029"
2016,يوليو,"362,846"
2016,أغسطس,"174,212"
2016,سبتمبر,"175,869"
2016,أكتوبر,"377,325"
2016,نوفمبر,"225,890"
2016,ديسمبر,"104,754"
2017,يناير,"1,430,483"
2017,فبراير,"116,024"
2017,مارس,"265,138"
2017,إبريل,"275,551"
2017,مايو,"52,346"
2017,يونيو,"99,414"
2017,يوليو,"235,348"
2017,أغسطس,"337,724"
2017,سبتمبر,"15,278"
2017,أكتوبر,"104,212"
2017,نوفمبر,"599,918"
2017,ديسمبر,"126,914"
2018,يناير,"129,623"
2018,فبراير,"70,104"
2018,مارس,"243,680"
2018,إبريل,"171,609"
2018,مايو,"443,292"
2018,يونيو,"812,641"
2018,يوليو,"124,960"
2018,أغسطس,"337,502"
2018,سبتمبر,"168,954"
2018,أكتوبر,"847,511"
2018,نوفمبر,"172,407"
2018,ديسمبر,"295,589"
2019,يناير,"708,763"
2019,فبراير,"162,947"
2019,مارس,"278,763"
2019,إبريل,"360,652"
2019,مايو,"987,619"
2019,يونيو,"167,742"
2019,يوليو,"796,868"
2019,أغسطس,"17,929"
2019,سبتمبر,"61,106"
2019,أكتوبر,"1,022,882"
2019,نوفمبر,"839,741"
2019,ديسمبر,"484,018"
2020,يناير,"357,200"
2020,فبراير,"678,465"
2020,مارس,"253,704"
2020,إبريل,"203,350"
2020,مايو,"103,107"
2020,يونيو,"1,232,428"
2020,يوليو,"298,278"
2020,أغسطس,"324,032"
2020,سبتمبر,"544,094"
2020,أكتوبر,"365,105"
2020,نوفمبر,"253,728"
2020,ديسمبر,"466,746"
2021,يناير,"391,604"
2021,فبراير,"292,713"
2021,مارس,"1,369,750"
2021,إبريل,"451,470"
2021,مايو,"1,060,905"
2021,يونيو,"310,109"
2021,يوليو,"491,217"
2021,أغسطس,"218,152"
2021,سبتمبر,"1,894,118"
2021,أكتوبر,"215,728"
2021,نوفمبر,"110,002"
2021,ديسمبر,"89,708"
2022,يناير,"104,162"
2022,فبراير,"170,234"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
