Year,Month,Export Amount
2012,يناير,"7,283"
2012,فبراير,"29,267"
2012,مارس,0
2012,إبريل,"4,426"
2012,مايو,0
2012,يونيو,"34,896"
2012,يوليو,"4,764"
2012,أغسطس,0
2012,سبتمبر,0
2012,أكتوبر,"32,296"
2012,نوفمبر,0
2012,ديسمبر,"8,177"
2013,يناير,0
2013,فبراير,0
2013,مارس,0
2013,إبريل,"11,662"
2013,مايو,0
2013,يونيو,0
2013,يوليو,"3,391"
2013,أغسطس,0
2013,سبتمبر,"3,988"
2013,أكتوبر,"53,597"
2013,نوفمبر,"49,379"
2013,ديسمبر,0
2014,يناير,0
2014,فبراير,"62,995"
2014,مارس,0
2014,إبريل,"26,104"
2014,مايو,0
2014,يونيو,0
2014,يوليو,0
2014,أغسطس,"25,281"
2014,سبتمبر,"9,816"
2014,أكتوبر,"43,666"
2014,نوفمبر,"8,098"
2014,ديسمبر,0
2015,يناير,0
2015,فبراير,0
2015,مارس,"7,501"
2015,إبريل,"45,893"
2015,مايو,"8,125"
2015,يونيو,"43,843"
2015,يوليو,0
2015,أغسطس,"18,421"
2015,سبتمبر,"34,268"
2015,أكتوبر,0
2015,نوفمبر,0
2015,ديسمبر,0
2016,يناير,"86,098"
2016,فبراير,"9,013"
2016,مارس,"5,916"
2016,إبريل,"11,077"
2016,مايو,"36,218"
2016,يونيو,"55,549"
2016,يوليو,0
2016,أغسطس,901
2016,سبتمبر,"35,760"
2016,أكتوبر,0
2016,نوفمبر,"11,060"
2016,ديسمبر,0
2017,يناير,"84,287"
2017,فبراير,"34,790"
2017,مارس,"7,205"
2017,إبريل,0
2017,مايو,0
2017,يونيو,"4,183"
2017,يوليو,0
2017,أغسطس,"28,536"
2017,سبتمبر,0
2017,أكتوبر,0
2017,نوفمبر,0
2017,ديسمبر,"97,106"
2018,يناير,"17,116"
2018,فبراير,"22,620"
2018,مارس,"28,500"
2018,إبريل,"17,950"
2018,مايو,"40,722"
2018,يونيو,"44,935"
2018,يوليو,"115,716"
2018,أغسطس,"44,024"
2018,سبتمبر,"105,622"
2018,أكتوبر,"17,761"
2018,نوفمبر,"55,854"
2018,ديسمبر,0
2019,يناير,"30,499"
2019,فبراير,"52,680"
2019,مارس,"12,960"
2019,إبريل,"37,792"
2019,مايو,"28,549"
2019,يونيو,"43,151"
2019,يوليو,"19,776"
2019,أغسطس,"6,480"
2019,سبتمبر,"31,242"
2019,أكتوبر,"64,457"
2019,نوفمبر,"51,986"
2019,ديسمبر,"97,757"
2020,يناير,"32,400"
2020,فبراير,"14,560"
2020,مارس,"119,152"
2020,إبريل,0
2020,مايو,"54,878"
2020,يونيو,"2,330"
2020,يوليو,"42,341"
2020,أغسطس,"36,162"
2020,سبتمبر,"23,646"
2020,أكتوبر,"58,100"
2020,نوفمبر,"134,916"
2020,ديسمبر,"481,129"
2021,يناير,"1,432,951"
2021,فبراير,"168,307"
2021,مارس,"30,780"
2021,إبريل,"215,341"
2021,مايو,"487,156"
2021,يونيو,"929,927"
2021,يوليو,"182,448"
2021,أغسطس,"251,042"
2021,سبتمبر,"322,074"
2021,أكتوبر,"310,720"
2021,نوفمبر,0
2021,ديسمبر,"198,355"
2022,يناير,"36,650"
2022,فبراير,0
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
