Item,Amount,Value
دقيق حنطة قمح ودقيق خليط حنطة,3.3,مليون دولار
برتقال طازج أو مجفف,397.0,ألف دولار
محضرات واصناف صيدليه اخر,358.3,ألف دولار
مكسبات طعم ورائحه,237.7,ألف دولار
سجاد من أنسجه أخرى طبيعيه ميكانيكى,139.0,ألف دولار
سجاد من ألياف صناعيه أخرى,132.3,ألف دولار
أقمشه تحتوى على 85% بوليستر مصبوغه أو غير مصبوغه أخرى,131.9,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),126.0,ألف دولار
مناديل ورقية (دون تحديد علب او جيب ),118.9,ألف دولار
عصير خليط,107.8,ألف دولار
لبن فرز(البان تحتوى على نسبةدسم لايزيد عن 1% من اجمالى الوزن),78.6,ألف دولار
بلح طازج أو مجفف,68.9,ألف دولار
شامبو لغسيل الشعر  (دون تحديد),58.0,ألف دولار
اثاث خشبى من النوع المستخدم فى المكاتب,52.5,ألف دولار
عجائن اخرى غير محتويه على بيض,49.4,ألف دولار
علب كرتون من كرافت/علب كرتون من كرافت وفلوتنج معا,31.5,ألف دولار
فاصولياخضراء و فول أخضر,31.4,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,27.2,ألف دولار
خضروات بقليه اخرى,25.9,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,25.4,ألف دولار
مياةبما فيهاالمياةالمعدنيةوالغازيةمضاف اليهاسكراومواد تحلية,22.2,ألف دولار
صناديق و حاويات من البلاستيك,16.3,ألف دولار
"غيرها من ضفائر واصناف مماثله من مواد ضفر,وان كانت مجمعه فى شكل اشرطه",13.8,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),11.1,ألف دولار
معاملات تجميع الدم,9.7,ألف دولار
منتجات ورقيه أخرى,8.9,ألف دولار
بصل وكرات بشوشه,7.5,ألف دولار
بطاطس طازجه اومبرده أخرى,6.4,ألف دولار
فوط صحيه من الياف صناعيه,6.0,ألف دولار
برتقال),4.9,ألف دولار
غيرها من مستحضرات للتجميل او للتطريه ومستحضرات للعنايه بالبشره,3.0,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,2.3,ألف دولار
ابواب واطرها واعتابها من خشب و حلق او برور للباب من خشب,1.5,ألف دولار
الات لتحضير اللحوم او الدواجن,1.2,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,1.2,ألف دولار
جريب فروت طازج أو مجفف,0.3,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.3,ألف دولار
زيت زيتون نقى و غير معالج كيميائيا,0.1,ألف دولار
