Year,Month,Export Amount
2012,يناير,"1,841,279"
2012,فبراير,"2,653,881"
2012,مارس,"981,762"
2012,إبريل,"12,555,105"
2012,مايو,"539,935"
2012,يونيو,"2,373,573"
2012,يوليو,"459,929"
2012,أغسطس,"2,542,418"
2012,سبتمبر,"266,510"
2012,أكتوبر,"3,529,884"
2012,نوفمبر,"1,093,997"
2012,ديسمبر,"2,618,331"
2013,يناير,"2,604,926"
2013,فبراير,"2,572,412"
2013,مارس,"1,136,301"
2013,إبريل,"2,939,508"
2013,مايو,"401,729"
2013,يونيو,"2,960,242"
2013,يوليو,"2,942,577"
2013,أغسطس,"2,736,029"
2013,سبتمبر,"2,760,215"
2013,أكتوبر,"2,638,343"
2013,نوفمبر,"824,728"
2013,ديسمبر,"2,649,255"
2014,يناير,"2,706,271"
2014,فبراير,"3,821,725"
2014,مارس,"3,101,546"
2014,إبريل,"2,718,850"
2014,مايو,"4,427,373"
2014,يونيو,"3,159,767"
2014,يوليو,"2,684,700"
2014,أغسطس,"5,837,639"
2014,سبتمبر,"725,885"
2014,أكتوبر,"4,475,728"
2014,نوفمبر,"2,918,417"
2014,ديسمبر,"4,006,387"
2015,يناير,"3,882,358"
2015,فبراير,"889,486"
2015,مارس,"4,062,352"
2015,إبريل,"5,047,680"
2015,مايو,"7,259,352"
2015,يونيو,"5,751,205"
2015,يوليو,"3,783,568"
2015,أغسطس,"3,273,507"
2015,سبتمبر,"3,521,401"
2015,أكتوبر,"5,134,115"
2015,نوفمبر,"5,401,477"
2015,ديسمبر,"6,631,902"
2016,يناير,"3,928,949"
2016,فبراير,"4,136,455"
2016,مارس,"7,364,213"
2016,إبريل,"2,816,931"
2016,مايو,"5,914,227"
2016,يونيو,"1,469,166"
2016,يوليو,"1,003,887"
2016,أغسطس,"6,860,712"
2016,سبتمبر,"5,440,412"
2016,أكتوبر,"5,835,098"
2016,نوفمبر,"4,185,133"
2016,ديسمبر,"4,716,262"
2017,يناير,"21,424,378"
2017,فبراير,"4,071,108"
2017,مارس,"3,022,757"
2017,إبريل,"7,405,794"
2017,مايو,"7,771,304"
2017,يونيو,"5,941,057"
2017,يوليو,"10,270,315"
2017,أغسطس,"6,567,865"
2017,سبتمبر,"4,674,121"
2017,أكتوبر,"5,750,882"
2017,نوفمبر,"7,837,624"
2017,ديسمبر,"8,341,111"
2018,يناير,"3,412,906"
2018,فبراير,"7,083,080"
2018,مارس,"7,024,010"
2018,إبريل,"9,653,665"
2018,مايو,"6,217,333"
2018,يونيو,"3,474,111"
2018,يوليو,"3,167,327"
2018,أغسطس,"10,966,918"
2018,سبتمبر,"6,143,693"
2018,أكتوبر,"7,907,644"
2018,نوفمبر,"9,131,020"
2018,ديسمبر,"5,515,990"
2019,يناير,"4,295,464"
2019,فبراير,"4,838,510"
2019,مارس,"6,889,578"
2019,إبريل,"5,271,757"
2019,مايو,"9,955,637"
2019,يونيو,"3,841,534"
2019,يوليو,"5,750,255"
2019,أغسطس,"6,132,098"
2019,سبتمبر,"4,568,530"
2019,أكتوبر,"7,365,721"
2019,نوفمبر,"3,574,538"
2019,ديسمبر,"6,285,737"
2020,يناير,"4,193,798"
2020,فبراير,"4,047,049"
2020,مارس,"4,266,312"
2020,إبريل,"6,921,114"
2020,مايو,"1,639,039"
2020,يونيو,"3,949,983"
2020,يوليو,"3,041,072"
2020,أغسطس,"6,422,567"
2020,سبتمبر,"8,708,788"
2020,أكتوبر,"6,232,297"
2020,نوفمبر,"5,477,728"
2020,ديسمبر,"4,326,009"
2021,يناير,"8,132,227"
2021,فبراير,"2,420,807"
2021,مارس,"6,573,191"
2021,إبريل,"8,001,715"
2021,مايو,"6,177,961"
2021,يونيو,"2,277,158"
2021,يوليو,"4,524,630"
2021,أغسطس,"7,029,432"
2021,سبتمبر,"8,820,647"
2021,أكتوبر,"5,037,192"
2021,نوفمبر,"4,067,361"
2021,ديسمبر,"2,056,863"
2022,يناير,"1,250,187"
2022,فبراير,"4,914,681"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
