Item,Amount,Value
برتقال طازج أو مجفف,270.8,ألف دولار
لوبيا مجففه ومفصصه ومعبأه,190.1,ألف دولار
فاصولياخضراء و فول أخضر,141.4,ألف دولار
ألواح حديد مغلفه مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,66.1,ألف دولار
يوسفى طازج أو مجفف,56.0,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,54.4,ألف دولار
زجاج مسطح عادى سادة غير مسلح,42.9,ألف دولار
أحجار طبيعيه للمبانى مصقوله,39.7,ألف دولار
مفاتيح كهربائيه اخرى للأكثر من 1000 فولت,36.0,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,31.2,ألف دولار
زيت النخيل بحاله اخرى,29.8,ألف دولار
نباتات طبيه أخرى,27.7,ألف دولار
فراوله محفوظه مؤقتا,26.8,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,24.0,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),19.5,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,15.4,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,14.2,ألف دولار
,12.1,ألف دولار
إكسسوارات الأثاث من أنواع البلاستيك الأخرى,8.4,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,1.2,ألف دولار
