Year,Month,Export Amount
2012,يناير,0
2012,فبراير,0
2012,مارس,0
2012,إبريل,0
2012,مايو,0
2012,يونيو,0
2012,يوليو,0
2012,أغسطس,0
2012,سبتمبر,0
2012,أكتوبر,0
2012,نوفمبر,0
2012,ديسمبر,0
2013,يناير,0
2013,فبراير,0
2013,مارس,0
2013,إبريل,0
2013,مايو,0
2013,يونيو,0
2013,يوليو,0
2013,أغسطس,0
2013,سبتمبر,0
2013,أكتوبر,0
2013,نوفمبر,0
2013,ديسمبر,0
2014,يناير,0
2014,فبراير,0
2014,مارس,0
2014,إبريل,0
2014,مايو,0
2014,يونيو,0
2014,يوليو,0
2014,أغسطس,0
2014,سبتمبر,0
2014,أكتوبر,0
2014,نوفمبر,0
2014,ديسمبر,0
2015,يناير,0
2015,فبراير,0
2015,مارس,0
2015,إبريل,0
2015,مايو,0
2015,يونيو,0
2015,يوليو,0
2015,أغسطس,0
2015,سبتمبر,0
2015,أكتوبر,0
2015,نوفمبر,0
2015,ديسمبر,0
2016,يناير,0
2016,فبراير,0
2016,مارس,0
2016,إبريل,0
2016,مايو,0
2016,يونيو,0
2016,يوليو,0
2016,أغسطس,0
2016,سبتمبر,0
2016,أكتوبر,0
2016,نوفمبر,0
2016,ديسمبر,0
2017,يناير,"1,428,418"
2017,فبراير,"260,275"
2017,مارس,"498,979"
2017,إبريل,"450,952"
2017,مايو,"271,666"
2017,يونيو,"222,707"
2017,يوليو,"553,088"
2017,أغسطس,"230,730"
2017,سبتمبر,"278,660"
2017,أكتوبر,"423,113"
2017,نوفمبر,"291,677"
2017,ديسمبر,"277,248"
2018,يناير,"167,048"
2018,فبراير,"78,196"
2018,مارس,"780,881"
2018,إبريل,"820,014"
2018,مايو,"791,501"
2018,يونيو,"351,359"
2018,يوليو,"514,370"
2018,أغسطس,"196,038"
2018,سبتمبر,"510,963"
2018,أكتوبر,"366,148"
2018,نوفمبر,"311,821"
2018,ديسمبر,"179,801"
2019,يناير,"90,860"
2019,فبراير,"483,962"
2019,مارس,"766,291"
2019,إبريل,"1,273,939"
2019,مايو,"1,308,249"
2019,يونيو,"259,538"
2019,يوليو,"292,122"
2019,أغسطس,"284,849"
2019,سبتمبر,"153,087"
2019,أكتوبر,"276,178"
2019,نوفمبر,"105,463"
2019,ديسمبر,"278,638"
2020,يناير,"404,061"
2020,فبراير,"582,063"
2020,مارس,"1,583,881"
2020,إبريل,"1,277,825"
2020,مايو,"299,567"
2020,يونيو,"433,282"
2020,يوليو,"427,606"
2020,أغسطس,"292,119"
2020,سبتمبر,"452,424"
2020,أكتوبر,"582,178"
2020,نوفمبر,"455,864"
2020,ديسمبر,"573,514"
2021,يناير,"368,854"
2021,فبراير,"1,021,080"
2021,مارس,"1,271,389"
2021,إبريل,"1,204,481"
2021,مايو,"1,060,709"
2021,يونيو,"938,791"
2021,يوليو,"201,541"
2021,أغسطس,"982,552"
2021,سبتمبر,"603,697"
2021,أكتوبر,"603,083"
2021,نوفمبر,"199,241"
2021,ديسمبر,"681,748"
2022,يناير,"342,309"
2022,فبراير,"770,550"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
