Year,Month,Export Amount
2012,يناير,0
2012,فبراير,0
2012,مارس,0
2012,إبريل,0
2012,مايو,0
2012,يونيو,0
2012,يوليو,"46,793"
2012,أغسطس,0
2012,سبتمبر,0
2012,أكتوبر,0
2012,نوفمبر,0
2012,ديسمبر,0
2013,يناير,0
2013,فبراير,0
2013,مارس,0
2013,إبريل,0
2013,مايو,0
2013,يونيو,0
2013,يوليو,0
2013,أغسطس,0
2013,سبتمبر,0
2013,أكتوبر,0
2013,نوفمبر,0
2013,ديسمبر,"94,359"
2014,يناير,0
2014,فبراير,0
2014,مارس,0
2014,إبريل,0
2014,مايو,0
2014,يونيو,0
2014,يوليو,0
2014,أغسطس,0
2014,سبتمبر,0
2014,أكتوبر,0
2014,نوفمبر,0
2014,ديسمبر,0
2015,يناير,0
2015,فبراير,0
2015,مارس,0
2015,إبريل,0
2015,مايو,0
2015,يونيو,0
2015,يوليو,0
2015,أغسطس,0
2015,سبتمبر,0
2015,أكتوبر,0
2015,نوفمبر,0
2015,ديسمبر,0
2016,يناير,0
2016,فبراير,0
2016,مارس,0
2016,إبريل,0
2016,مايو,0
2016,يونيو,0
2016,يوليو,0
2016,أغسطس,0
2016,سبتمبر,0
2016,أكتوبر,0
2016,نوفمبر,0
2016,ديسمبر,0
2017,يناير,0
2017,فبراير,0
2017,مارس,0
2017,إبريل,"9,638"
2017,مايو,"8,757"
2017,يونيو,0
2017,يوليو,"11,752"
2017,أغسطس,"19,459"
2017,سبتمبر,"2,258"
2017,أكتوبر,"1,226"
2017,نوفمبر,"3,218"
2017,ديسمبر,"8,568"
2018,يناير,"138,073"
2018,فبراير,"27,441"
2018,مارس,0
2018,إبريل,"174,345"
2018,مايو,"84,484"
2018,يونيو,0
2018,يوليو,"19,500"
2018,أغسطس,0
2018,سبتمبر,"1,228,315"
2018,أكتوبر,0
2018,نوفمبر,0
2018,ديسمبر,"34,450"
2019,يناير,0
2019,فبراير,"60,585"
2019,مارس,0
2019,إبريل,"6,333"
2019,مايو,0
2019,يونيو,0
2019,يوليو,"3,558"
2019,أغسطس,0
2019,سبتمبر,"38,577"
2019,أكتوبر,"113,458"
2019,نوفمبر,"4,212"
2019,ديسمبر,"38,839"
2020,يناير,"38,839"
2020,فبراير,"45,033"
2020,مارس,"18,209"
2020,إبريل,"113,418"
2020,مايو,0
2020,يونيو,"87,860"
2020,يوليو,0
2020,أغسطس,"20,377"
2020,سبتمبر,0
2020,أكتوبر,"18,552"
2020,نوفمبر,"2,700"
2020,ديسمبر,"30,377"
2021,يناير,"25,929"
2021,فبراير,"12,246"
2021,مارس,"76,888"
2021,إبريل,0
2021,مايو,"53,536"
2021,يونيو,"115,369"
2021,يوليو,0
2021,أغسطس,"57,167"
2021,سبتمبر,"25,528"
2021,أكتوبر,0
2021,نوفمبر,0
2021,ديسمبر,"59,355"
2022,يناير,"3,953"
2022,فبراير,0
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
