Item,Amount,Value
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,10.0,مليون دولار
مجموعات اسلاك الاشعال ومجموعات اسلاك اخرى من النوع المستعمل فى السيارات الطائرات او السفن,8.5,مليون دولار
إطارات السيارات النقل و الشاحنات,553.0,ألف دولار
الومنيوم غير مشغول أو غير هيئة سبائك,238.2,ألف دولار
أجزاء راديو و تليفزيون,142.4,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,127.3,ألف دولار
فاكهه مسكره,103.9,ألف دولار
مفاتيح كهربائيه اخرى للأكثر من 1000 فولت,46.4,ألف دولار
طقم رجالى من القطن مصنره,39.5,ألف دولار
أحجار طبيعيه للمبانى مصقوله,25.7,ألف دولار
نباتات طبيه أخرى,21.9,ألف دولار
يوسفى طازج أو مجفف,9.5,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",8.6,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,8.1,ألف دولار
برتقال طازج أو مجفف,7.8,ألف دولار
شعر كتان مسرح أو شعر كتان ممشط و ليس مغزول,4.4,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,1.4,ألف دولار
اكسوارات عوازل كهربائيه من بلاستيك,0.6,ألف دولار
اكسوارات عوازل كهربائيه من مواد أخرى,0.5,ألف دولار
اكسوارات عوازل كهربائيه من خزف,0.1,ألف دولار
اسطوانات مسجلة لانظمة الليزر للصورة والصوت,0.0,ألف دولار
