Year,Month,Export Amount
2012,يناير,"3,125,671"
2012,فبراير,"3,864,084"
2012,مارس,"2,381,011"
2012,إبريل,"3,249,205"
2012,مايو,"3,176,238"
2012,يونيو,"3,053,532"
2012,يوليو,"3,760,658"
2012,أغسطس,"1,918,351"
2012,سبتمبر,"3,015,897"
2012,أكتوبر,"4,651,540"
2012,نوفمبر,"3,315,317"
2012,ديسمبر,"2,280,341"
2013,يناير,"2,885,391"
2013,فبراير,"4,371,046"
2013,مارس,"4,345,968"
2013,إبريل,"3,983,654"
2013,مايو,"3,498,138"
2013,يونيو,"5,440,970"
2013,يوليو,"4,705,500"
2013,أغسطس,"6,835,597"
2013,سبتمبر,"4,258,213"
2013,أكتوبر,"3,398,752"
2013,نوفمبر,"4,548,992"
2013,ديسمبر,"5,132,837"
2014,يناير,"4,956,136"
2014,فبراير,"3,767,420"
2014,مارس,"4,804,521"
2014,إبريل,"4,068,051"
2014,مايو,"5,104,530"
2014,يونيو,"5,387,320"
2014,يوليو,"4,758,537"
2014,أغسطس,"5,039,462"
2014,سبتمبر,"6,373,590"
2014,أكتوبر,"3,490,618"
2014,نوفمبر,"4,280,704"
2014,ديسمبر,"5,032,039"
2015,يناير,"5,646,248"
2015,فبراير,"4,852,594"
2015,مارس,"4,486,444"
2015,إبريل,"2,590,306"
2015,مايو,"3,687,440"
2015,يونيو,"5,569,887"
2015,يوليو,"3,231,529"
2015,أغسطس,"2,828,752"
2015,سبتمبر,"2,489,478"
2015,أكتوبر,"3,114,057"
2015,نوفمبر,"3,750,082"
2015,ديسمبر,"2,901,403"
2016,يناير,"2,698,617"
2016,فبراير,"3,700,557"
2016,مارس,"7,694,199"
2016,إبريل,"3,893,785"
2016,مايو,"3,555,696"
2016,يونيو,"3,860,692"
2016,يوليو,"3,557,257"
2016,أغسطس,"3,682,113"
2016,سبتمبر,"3,071,888"
2016,أكتوبر,"2,826,775"
2016,نوفمبر,"2,899,807"
2016,ديسمبر,"2,868,459"
2017,يناير,"14,602,447"
2017,فبراير,"3,540,535"
2017,مارس,"4,447,535"
2017,إبريل,"3,042,344"
2017,مايو,"3,740,897"
2017,يونيو,"4,095,681"
2017,يوليو,"5,984,335"
2017,أغسطس,"12,606,618"
2017,سبتمبر,"6,982,403"
2017,أكتوبر,"3,650,146"
2017,نوفمبر,"6,566,012"
2017,ديسمبر,"5,073,064"
2018,يناير,"5,275,173"
2018,فبراير,"5,288,570"
2018,مارس,"5,212,542"
2018,إبريل,"4,405,218"
2018,مايو,"4,582,203"
2018,يونيو,"4,835,367"
2018,يوليو,"5,237,313"
2018,أغسطس,"4,954,955"
2018,سبتمبر,"6,104,786"
2018,أكتوبر,"5,018,954"
2018,نوفمبر,"3,499,510"
2018,ديسمبر,"3,856,634"
2019,يناير,"4,681,778"
2019,فبراير,"4,400,668"
2019,مارس,"4,370,166"
2019,إبريل,"12,323,444"
2019,مايو,"15,143,122"
2019,يونيو,"15,447,177"
2019,يوليو,"25,369,159"
2019,أغسطس,"21,592,481"
2019,سبتمبر,"24,897,475"
2019,أكتوبر,"24,367,980"
2019,نوفمبر,"22,142,299"
2019,ديسمبر,"13,551,235"
2020,يناير,"22,248,208"
2020,فبراير,"24,767,382"
2020,مارس,"11,882,764"
2020,إبريل,"3,895,079"
2020,مايو,"5,731,065"
2020,يونيو,"9,488,297"
2020,يوليو,"16,877,555"
2020,أغسطس,"17,753,813"
2020,سبتمبر,"18,182,031"
2020,أكتوبر,"16,490,036"
2020,نوفمبر,"11,993,709"
2020,ديسمبر,"8,157,658"
2021,يناير,"10,911,779"
2021,فبراير,"17,088,914"
2021,مارس,"18,751,058"
2021,إبريل,"15,901,386"
2021,مايو,"22,475,968"
2021,يونيو,"18,990,584"
2021,يوليو,"15,197,260"
2021,أغسطس,"45,889,547"
2021,سبتمبر,"50,546,495"
2021,أكتوبر,"66,396,405"
2021,نوفمبر,"64,682,702"
2021,ديسمبر,"56,702,910"
2022,يناير,"30,224,943"
2022,فبراير,"33,836,884"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
