Item,Amount,Value
بطاطس طازجه اومبرده أخرى,3.6,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,2.8,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,2.6,مليون دولار
حبات  (P.P) بولي بروبلين,2.4,مليون دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,1.6,مليون دولار
برتقال طازج أو مجفف,1.4,مليون دولار
بصل وكرات بشوشه,1.3,مليون دولار
يوسفى طازج أو مجفف,1.1,مليون دولار
عدادات كهرباء,1.1,مليون دولار
سماد يوريا أو اسمده ازوتيه اخرى,933.9,ألف دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,604.5,ألف دولار
قطن غير ممشط أو مسرح,565.8,ألف دولار
قدد من الالومنيوم مستطيلة الشكل,379.4,ألف دولار
الومنيوم غير مشغول أو غير هيئة سبائك,336.0,ألف دولار
أجزاء آلات صناعة الورق وآلات تشطيب الورق,317.8,ألف دولار
سبائك نحاس و رصاص,233.9,ألف دولار
بودره بولي فنيل كلوريد  P.V.S,212.1,ألف دولار
بياضات المائدة وبياضات المطابخ من المناشف او الاقمشة الوبرية المماثلة من قطن,204.0,ألف دولار
فراوله محفوظه مؤقتا,147.6,ألف دولار
ثـــوم طازج أو مثلج,115.1,ألف دولار
ملح غير صالح للطعام و ملح طعام,112.9,ألف دولار
بطاطا طازجه أو مجففه,101.9,ألف دولار
غزل كتان متعدد مسرح,67.9,ألف دولار
بلح طازج أو مجفف,59.6,ألف دولار
جريب فروت طازج أو مجفف,52.5,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,45.6,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),28.9,ألف دولار
نباتات طبيه أخرى,28.0,ألف دولار
وصلات و كيعان و فلانشات لمواسير,24.9,ألف دولار
فواكه ?  اثمار محفوظه مؤقتا,24.9,ألف دولار
أحجار طبيعيه للمبانى مصقوله,19.9,ألف دولار
خضروات اخرى مجمده,19.4,ألف دولار
,16.7,ألف دولار
فواكه وثمار اخرى ذات قشره صلبه فى محلول سكرى,15.1,ألف دولار
الواح رخام بدون صقل,15.0,ألف دولار
خيار و قثاء مخخله,12.0,ألف دولار
,11.9,ألف دولار
خس ملفوف وكرنبى,11.2,ألف دولار
بهارات اخرى,8.5,ألف دولار
بازلياء خضراء,6.7,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,6.5,ألف دولار
كاولين,5.0,ألف دولار
وحدات تسخين,5.0,ألف دولار
دقيق و مغذيات من حبوب زيتيه أخرى,4.2,ألف دولار
بصـل مخلل,2.8,ألف دولار
فوليه),1.4,ألف دولار
نشا ذره,0.8,ألف دولار
حمض خليك محول وغير صالح للاستهلاك الادمى,0.1,ألف دولار
صناديق و حاويات من البلاستيك,0.0,ألف دولار
