Year,Month,Export Amount
2012,يناير,"2,657,788"
2012,فبراير,"2,133,969"
2012,مارس,"2,938,044"
2012,إبريل,"3,106,237"
2012,مايو,"5,703,082"
2012,يونيو,"8,227,522"
2012,يوليو,"3,806,745"
2012,أغسطس,"1,030,114"
2012,سبتمبر,"3,128,476"
2012,أكتوبر,"1,653,299"
2012,نوفمبر,"4,680,958"
2012,ديسمبر,"4,937,061"
2013,يناير,"3,850,606"
2013,فبراير,"3,891,584"
2013,مارس,"2,507,210"
2013,إبريل,"2,502,618"
2013,مايو,"3,277,666"
2013,يونيو,"1,802,658"
2013,يوليو,"1,930,052"
2013,أغسطس,"3,527,097"
2013,سبتمبر,"3,991,338"
2013,أكتوبر,"1,171,276"
2013,نوفمبر,"5,277,610"
2013,ديسمبر,"32,254,758"
2014,يناير,"29,707,208"
2014,فبراير,"2,603,300"
2014,مارس,"4,780,961"
2014,إبريل,"3,954,439"
2014,مايو,"4,133,770"
2014,يونيو,"5,684,184"
2014,يوليو,"30,751,208"
2014,أغسطس,"5,188,976"
2014,سبتمبر,"1,462,726"
2014,أكتوبر,"4,630,320"
2014,نوفمبر,"4,144,297"
2014,ديسمبر,"3,224,326"
2015,يناير,"1,449,571"
2015,فبراير,"2,255,510"
2015,مارس,"4,044,138"
2015,إبريل,"1,915,631"
2015,مايو,"3,603,087"
2015,يونيو,"5,274,178"
2015,يوليو,"3,126,474"
2015,أغسطس,"14,933,159"
2015,سبتمبر,"1,362,431"
2015,أكتوبر,"1,788,249"
2015,نوفمبر,"2,660,544"
2015,ديسمبر,"13,248,951"
2016,يناير,"1,269,541"
2016,فبراير,"2,209,885"
2016,مارس,"12,900,486"
2016,إبريل,"3,387,552"
2016,مايو,"4,265,443"
2016,يونيو,"4,611,969"
2016,يوليو,"1,955,880"
2016,أغسطس,"1,616,822"
2016,سبتمبر,"787,620"
2016,أكتوبر,"1,731,543"
2016,نوفمبر,"1,575,852"
2016,ديسمبر,"4,184,783"
2017,يناير,"9,158,882"
2017,فبراير,"4,219,967"
2017,مارس,"5,140,863"
2017,إبريل,"4,297,879"
2017,مايو,"4,602,593"
2017,يونيو,"6,527,033"
2017,يوليو,"6,689,052"
2017,أغسطس,"3,650,132"
2017,سبتمبر,"2,868,927"
2017,أكتوبر,"3,483,212"
2017,نوفمبر,"3,856,151"
2017,ديسمبر,"4,502,210"
2018,يناير,"4,480,724"
2018,فبراير,"5,699,251"
2018,مارس,"7,271,078"
2018,إبريل,"5,471,726"
2018,مايو,"8,382,911"
2018,يونيو,"6,969,398"
2018,يوليو,"3,434,149"
2018,أغسطس,"2,532,742"
2018,سبتمبر,"2,183,938"
2018,أكتوبر,"4,142,530"
2018,نوفمبر,"4,260,793"
2018,ديسمبر,"5,924,674"
2019,يناير,"4,557,336"
2019,فبراير,"8,043,717"
2019,مارس,"11,258,936"
2019,إبريل,"9,833,254"
2019,مايو,"10,900,398"
2019,يونيو,"14,023,795"
2019,يوليو,"6,147,644"
2019,أغسطس,"4,042,329"
2019,سبتمبر,"42,199,609"
2019,أكتوبر,"6,543,334"
2019,نوفمبر,"2,825,838"
2019,ديسمبر,"4,170,803"
2020,يناير,"42,077,464"
2020,فبراير,"39,870,754"
2020,مارس,"12,081,076"
2020,إبريل,"6,817,495"
2020,مايو,"7,974,582"
2020,يونيو,"10,036,957"
2020,يوليو,"5,156,381"
2020,أغسطس,"4,271,574"
2020,سبتمبر,"3,946,528"
2020,أكتوبر,"3,528,101"
2020,نوفمبر,"4,028,658"
2020,ديسمبر,"4,771,609"
2021,يناير,"6,145,887"
2021,فبراير,"11,553,022"
2021,مارس,"17,182,638"
2021,إبريل,"26,128,576"
2021,مايو,"11,888,513"
2021,يونيو,"17,172,249"
2021,يوليو,"5,520,189"
2021,أغسطس,"16,923,141"
2021,سبتمبر,"18,123,614"
2021,أكتوبر,"27,183,119"
2021,نوفمبر,"28,044,960"
2021,ديسمبر,"11,908,344"
2022,يناير,"8,641,470"
2022,فبراير,"36,287,172"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
