Item,Amount,Value
بطاطس طازجه اومبرده أخرى,781.5,ألف دولار
أغطية أرضيات نسجيه أخرى,634.6,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,530.7,ألف دولار
برتقال طازج أو مجفف,504.6,ألف دولار
اثاث معدنى اخر,479.3,ألف دولار
فراوله محفوظه مؤقتا,253.4,ألف دولار
,217.0,ألف دولار
مخاليط خضروات مجمده,203.5,ألف دولار
طرشى),164.4,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,125.3,ألف دولار
خضروات اخرى مجمده,97.8,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,92.9,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),77.7,ألف دولار
عصير خليط,59.7,ألف دولار
خيار و قثاء مخخله,50.6,ألف دولار
إطارات السيارات النقل و الشاحنات,39.2,ألف دولار
قواعد مصهرات جهد منخفض (اجهزه اخرى لوقايه الدوائر الكهربائيه),36.3,ألف دولار
بصل مجفف,33.2,ألف دولار
زيت ذره مكرر,30.9,ألف دولار
خميره جافه نشطه,28.2,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",27.5,ألف دولار
أحجار طبيعيه للمبانى مصقوله,25.2,ألف دولار
اصناف مقولبه او مضغوطه من عجينه الورق,21.2,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,20.5,ألف دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,18.0,ألف دولار
زيت عباد الشمس بصـفة عـامة,17.3,ألف دولار
بلوزه حريمى من الياف صناعيه غير مصنره,15.1,ألف دولار
عجائن اخرى غير محتويه على بيض,13.6,ألف دولار
مانجوستين طازجةاو مجففه,12.9,ألف دولار
خضروات بقليه اخرى,12.2,ألف دولار
ادوات أخرى من الزجاج العادى,11.2,ألف دولار
كتل وماشابه ذلك من منتجات الخزف المقاوم  للحراره,10.9,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,10.2,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,8.7,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,8.2,ألف دولار
فرش كنس,7.4,ألف دولار
فوط سفرة / بياضات من الياف صناعيه,6.9,ألف دولار
"اجزاء الات اخرى لعمل عجينةالورق,الورق اوالكرتون,بما فيهاالات القطع من جميع الانواع",5.7,ألف دولار
ملايات قطن مطبوعة,4.3,ألف دولار
ملابس المطر الداخليه حريمى بصفة عامه,4.1,ألف دولار
خضروات مجففه,3.7,ألف دولار
لوحات توزيع كهرباء بدون تحديد,1.3,ألف دولار
حقائب بسطح خارجى من مواد اخرى,1.2,ألف دولار
موصلات كهربيه لا تزيد عن 80 فولت,0.5,ألف دولار
سجاد من أقمشه قديمه أو كهنه جديده,0.4,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.3,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,0.2,ألف دولار
حلى غواية تقليدية اخرى,0.1,ألف دولار
غيرها من منشات واجزاوءها من حديد او صلب,0.1,ألف دولار
تابلوه للصور,0.0,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من صوف او شعر الحيوانات عقدى,0.0,ألف دولار
محضرات واصناف صيدليه اخر,0.0,ألف دولار
قطع غيار متنوعه من الكاوتشوك,0.0,ألف دولار
