Year,Month,Export Amount
2012,يناير,"2,344,852"
2012,فبراير,"3,889,549"
2012,مارس,"3,460,777"
2012,إبريل,"4,126,059"
2012,مايو,"3,467,747"
2012,يونيو,"3,011,612"
2012,يوليو,"2,657,003"
2012,أغسطس,"3,339,184"
2012,سبتمبر,"3,599,570"
2012,أكتوبر,"2,420,771"
2012,نوفمبر,"2,267,053"
2012,ديسمبر,"2,870,831"
2013,يناير,"2,427,750"
2013,فبراير,"3,530,596"
2013,مارس,"3,661,272"
2013,إبريل,"3,286,874"
2013,مايو,"2,316,027"
2013,يونيو,"1,969,458"
2013,يوليو,"2,147,857"
2013,أغسطس,"1,757,231"
2013,سبتمبر,"3,351,658"
2013,أكتوبر,"2,179,267"
2013,نوفمبر,"3,238,211"
2013,ديسمبر,"3,220,920"
2014,يناير,"3,819,177"
2014,فبراير,"3,764,282"
2014,مارس,"3,861,947"
2014,إبريل,"4,891,727"
2014,مايو,"2,500,774"
2014,يونيو,"2,780,068"
2014,يوليو,"2,910,296"
2014,أغسطس,"2,895,421"
2014,سبتمبر,"4,110,428"
2014,أكتوبر,"2,482,983"
2014,نوفمبر,"1,736,736"
2014,ديسمبر,"2,688,911"
2015,يناير,"1,836,172"
2015,فبراير,"1,882,699"
2015,مارس,"2,596,596"
2015,إبريل,"2,148,844"
2015,مايو,"2,248,966"
2015,يونيو,"2,645,123"
2015,يوليو,"2,659,517"
2015,أغسطس,"1,931,174"
2015,سبتمبر,"1,746,985"
2015,أكتوبر,"1,886,543"
2015,نوفمبر,"1,466,294"
2015,ديسمبر,"2,270,559"
2016,يناير,"1,929,830"
2016,فبراير,"2,493,961"
2016,مارس,"2,349,589"
2016,إبريل,"2,890,117"
2016,مايو,"1,979,728"
2016,يونيو,"2,151,205"
2016,يوليو,"2,161,588"
2016,أغسطس,"1,794,088"
2016,سبتمبر,"1,271,594"
2016,أكتوبر,"1,332,468"
2016,نوفمبر,"1,769,733"
2016,ديسمبر,"2,586,892"
2017,يناير,"6,853,336"
2017,فبراير,"1,395,314"
2017,مارس,"2,526,557"
2017,إبريل,"1,736,805"
2017,مايو,"2,500,395"
2017,يونيو,"1,656,565"
2017,يوليو,"2,384,618"
2017,أغسطس,"3,226,291"
2017,سبتمبر,"2,531,162"
2017,أكتوبر,"1,770,707"
2017,نوفمبر,"2,417,214"
2017,ديسمبر,"3,219,651"
2018,يناير,"2,775,766"
2018,فبراير,"2,149,564"
2018,مارس,"3,480,380"
2018,إبريل,"2,847,302"
2018,مايو,"2,395,284"
2018,يونيو,"1,270,101"
2018,يوليو,"2,477,013"
2018,أغسطس,"2,185,630"
2018,سبتمبر,"1,622,904"
2018,أكتوبر,"2,736,663"
2018,نوفمبر,"2,489,206"
2018,ديسمبر,"2,085,827"
2019,يناير,"2,755,740"
2019,فبراير,"3,220,827"
2019,مارس,"3,531,131"
2019,إبريل,"3,871,172"
2019,مايو,"3,049,382"
2019,يونيو,"3,237,815"
2019,يوليو,"3,336,646"
2019,أغسطس,"1,796,944"
2019,سبتمبر,"3,937,793"
2019,أكتوبر,"1,723,729"
2019,نوفمبر,"2,863,832"
2019,ديسمبر,"2,494,911"
2020,يناير,"1,853,902"
2020,فبراير,"2,947,664"
2020,مارس,"3,726,478"
2020,إبريل,"1,661,215"
2020,مايو,"1,615,746"
2020,يونيو,"1,984,217"
2020,يوليو,"1,850,777"
2020,أغسطس,"2,305,243"
2020,سبتمبر,"2,554,452"
2020,أكتوبر,"2,627,033"
2020,نوفمبر,"1,914,118"
2020,ديسمبر,"2,396,613"
2021,يناير,"3,648,139"
2021,فبراير,"3,495,264"
2021,مارس,"4,107,179"
2021,إبريل,"2,903,704"
2021,مايو,"2,752,161"
2021,يونيو,"10,589,675"
2021,يوليو,"2,117,935"
2021,أغسطس,"2,984,953"
2021,سبتمبر,"2,502,886"
2021,أكتوبر,"2,750,669"
2021,نوفمبر,"405,589"
2021,ديسمبر,"3,556,200"
2022,يناير,"2,357,620"
2022,فبراير,"2,365,072"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
