Year,Month,Export Amount
2012,يناير,"84,032"
2012,فبراير,0
2012,مارس,"26,483"
2012,إبريل,0
2012,مايو,106
2012,يونيو,0
2012,يوليو,0
2012,أغسطس,0
2012,سبتمبر,0
2012,أكتوبر,0
2012,نوفمبر,"974,000"
2012,ديسمبر,"72,340"
2013,يناير,0
2013,فبراير,"625,021"
2013,مارس,"648,676"
2013,إبريل,"855,050"
2013,مايو,"677,880"
2013,يونيو,"798,560"
2013,يوليو,"701,120"
2013,أغسطس,"14,085"
2013,سبتمبر,"1,029,000"
2013,أكتوبر,"686,007"
2013,نوفمبر,"1,348,200"
2013,ديسمبر,"701,120"
2014,يناير,"517,843"
2014,فبراير,"784,000"
2014,مارس,0
2014,إبريل,0
2014,مايو,"43,799"
2014,يونيو,0
2014,يوليو,0
2014,أغسطس,"24,851"
2014,سبتمبر,"16,274"
2014,أكتوبر,"442,275"
2014,نوفمبر,"392,000"
2014,ديسمبر,"652,120"
2015,يناير,"493,370"
2015,فبراير,"446,040"
2015,مارس,"244,384"
2015,إبريل,"568,792"
2015,مايو,"149,862"
2015,يونيو,"898,820"
2015,يوليو,"432,683"
2015,أغسطس,"842,757"
2015,سبتمبر,"176,300"
2015,أكتوبر,"352,600"
2015,نوفمبر,"396,675"
2015,ديسمبر,"224,911"
2016,يناير,"401,211"
2016,فبراير,"185,361"
2016,مارس,"990,855"
2016,إبريل,"92,025"
2016,مايو,"415,155"
2016,يونيو,0
2016,يوليو,"1,231,560"
2016,أغسطس,"551,830"
2016,سبتمبر,0
2016,أكتوبر,30
2016,نوفمبر,"460,910"
2016,ديسمبر,"2,648"
2017,يناير,0
2017,فبراير,"454,900"
2017,مارس,"414,914"
2017,إبريل,"2,028"
2017,مايو,"828,860"
2017,يونيو,"552,420"
2017,يوليو,"457,550"
2017,أغسطس,"273,710"
2017,سبتمبر,"555,780"
2017,أكتوبر,0
2017,نوفمبر,"227,711"
2017,ديسمبر,"223,368"
2018,يناير,0
2018,فبراير,0
2018,مارس,0
2018,إبريل,0
2018,مايو,0
2018,يونيو,0
2018,يوليو,0
2018,أغسطس,0
2018,سبتمبر,0
2018,أكتوبر,0
2018,نوفمبر,0
2018,ديسمبر,0
2019,يناير,0
2019,فبراير,0
2019,مارس,0
2019,إبريل,"173,242"
2019,مايو,"259,862"
2019,يونيو,"428,616"
2019,يوليو,"335,957"
2019,أغسطس,"7,215"
2019,سبتمبر,"508,032"
2019,أكتوبر,"630,538"
2019,نوفمبر,"249,051"
2019,ديسمبر,"405,921"
2020,يناير,0
2020,فبراير,"791,280"
2020,مارس,"633,971"
2020,إبريل,"982,817"
2020,مايو,"502,824"
2020,يونيو,0
2020,يوليو,0
2020,أغسطس,"8,588"
2020,سبتمبر,"154,728"
2020,أكتوبر,0
2020,نوفمبر,"206,304"
2020,ديسمبر,"226,390"
2021,يناير,"348,096"
2021,فبراير,"829,992"
2021,مارس,"700,973"
2021,إبريل,"353,808"
2021,مايو,"737,520"
2021,يونيو,"438,480"
2021,يوليو,20
2021,أغسطس,"504,972"
2021,سبتمبر,"215,532"
2021,أكتوبر,"524,076"
2021,نوفمبر,"470,484"
2021,ديسمبر,"240,660"
2022,يناير,"57,456"
2022,فبراير,"565,488"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
