Item,Amount,Value
بطاطس طازجه اومبرده أخرى,137.7,ألف دولار
عصير خليط,109.0,ألف دولار
برتقال طازج أو مجفف,101.4,ألف دولار
يوسفى طازج أو مجفف,82.1,ألف دولار
بصل وكرات بشوشه,50.9,ألف دولار
فجل أفرنجى,50.7,ألف دولار
فلفل  رومى أخضر و ألوان أخرى,47.9,ألف دولار
بطاطس غير مجمده محفوظه اومعلبه,38.9,ألف دولار
بطيخ طازج,38.4,ألف دولار
جـــــزر,35.1,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,30.4,ألف دولار
قرنبيــط,16.4,ألف دولار
كرنب أفرنجى و بروكلى طازج,15.5,ألف دولار
محضرات غذائيه اخرى,13.1,ألف دولار
شمام طازج ما عدا البطيخ,12.7,ألف دولار
مخاليط خضروات مجمده,11.3,ألف دولار
فراوله طازجه,10.8,ألف دولار
خضروات مجمدة او مبردة,10.3,ألف دولار
ملح غير صالح للطعام و ملح طعام,10.1,ألف دولار
بطاطا طازجه أو مجففه,9.7,ألف دولار
فاصولياخضراء و فول أخضر,8.1,ألف دولار
خس ملفوف وكرنبى,5.8,ألف دولار
كيوى طازج,5.4,ألف دولار
برقوق طازج,5.1,ألف دولار
جريب فروت طازج أو مجفف,3.8,ألف دولار
عنب طازج,3.2,ألف دولار
صلصه كتش اب و صلصه حريفه (هوت صوص),2.9,ألف دولار
,2.3,ألف دولار
بنجر السكر,2.3,ألف دولار
فاكهه أخرى طازجه,2.1,ألف دولار
ذرة أخرى,2.0,ألف دولار
سحلب مطحون,1.9,ألف دولار
,1.7,ألف دولار
خيـــــار و قثه طازجه,1.7,ألف دولار
كرفس طازج أو مثلج,1.0,ألف دولار
بهارات اخرى,0.7,ألف دولار
,0.7,ألف دولار
أناناس طازج أو جاف,0.7,ألف دولار
أفوكادو طازج أو جاف,0.7,ألف دولار
,0.6,ألف دولار
بازلياء خضراء,0.5,ألف دولار
كرات طازج,0.3,ألف دولار
عش الغراب محفوظه بكاملها فى الخل,0.2,ألف دولار
بلح طازج أو مجفف,0.2,ألف دولار
عش الغراب طازج أو مثلج,0.2,ألف دولار
تفاح طازج,0.2,ألف دولار
سكر بنجر خام,0.2,ألف دولار
نباتات طبيه أخرى,0.1,ألف دولار
أسبرجس طازج,0.0,ألف دولار
سكر قصب مكرر,0.0,ألف دولار
"اغصان وارقه, اوراق, شجيرات, نباتات اخرى",0.0,ألف دولار
