Year,Month,Export Amount
2012,يناير,"108,682"
2012,فبراير,"17,356"
2012,مارس,"265,212"
2012,إبريل,"230,131"
2012,مايو,"292,049"
2012,يونيو,"148,967"
2012,يوليو,"200,716"
2012,أغسطس,"243,664"
2012,سبتمبر,"190,000"
2012,أكتوبر,"238,618"
2012,نوفمبر,"224,887"
2012,ديسمبر,"319,761"
2013,يناير,"67,886"
2013,فبراير,"223,917"
2013,مارس,"284,963"
2013,إبريل,"233,752"
2013,مايو,"636,616"
2013,يونيو,"338,561"
2013,يوليو,"498,354"
2013,أغسطس,"472,526"
2013,سبتمبر,"293,007"
2013,أكتوبر,"178,711"
2013,نوفمبر,"160,312"
2013,ديسمبر,"258,949"
2014,يناير,"177,640"
2014,فبراير,"268,785"
2014,مارس,"344,340"
2014,إبريل,"217,350"
2014,مايو,"367,687"
2014,يونيو,"355,790"
2014,يوليو,"363,582"
2014,أغسطس,"328,203"
2014,سبتمبر,"233,311"
2014,أكتوبر,"156,169"
2014,نوفمبر,"227,501"
2014,ديسمبر,"230,917"
2015,يناير,"233,643"
2015,فبراير,"235,637"
2015,مارس,"251,207"
2015,إبريل,"211,173"
2015,مايو,"238,797"
2015,يونيو,"399,754"
2015,يوليو,"399,193"
2015,أغسطس,"239,861"
2015,سبتمبر,"230,715"
2015,أكتوبر,"347,709"
2015,نوفمبر,"315,610"
2015,ديسمبر,"335,869"
2016,يناير,"280,453"
2016,فبراير,"333,689"
2016,مارس,"408,532"
2016,إبريل,"542,787"
2016,مايو,"386,116"
2016,يونيو,"474,974"
2016,يوليو,"422,020"
2016,أغسطس,"213,500"
2016,سبتمبر,"206,694"
2016,أكتوبر,"221,928"
2016,نوفمبر,"210,911"
2016,ديسمبر,"243,218"
2017,يناير,"808,205"
2017,فبراير,"250,160"
2017,مارس,"333,564"
2017,إبريل,"342,592"
2017,مايو,"387,908"
2017,يونيو,"268,820"
2017,يوليو,"264,264"
2017,أغسطس,"424,688"
2017,سبتمبر,"258,088"
2017,أكتوبر,"397,450"
2017,نوفمبر,"218,120"
2017,ديسمبر,"561,495"
2018,يناير,"281,169"
2018,فبراير,"278,511"
2018,مارس,"289,638"
2018,إبريل,"312,831"
2018,مايو,"342,232"
2018,يونيو,"416,305"
2018,يوليو,"275,495"
2018,أغسطس,"112,927"
2018,سبتمبر,"273,466"
2018,أكتوبر,"402,278"
2018,نوفمبر,"202,648"
2018,ديسمبر,"500,112"
2019,يناير,"287,087"
2019,فبراير,"368,278"
2019,مارس,"319,184"
2019,إبريل,"273,497"
2019,مايو,"281,345"
2019,يونيو,"303,191"
2019,يوليو,"293,350"
2019,أغسطس,"267,266"
2019,سبتمبر,"305,920"
2019,أكتوبر,"400,685"
2019,نوفمبر,"286,156"
2019,ديسمبر,"300,197"
2020,يناير,"414,573"
2020,فبراير,"336,316"
2020,مارس,"252,875"
2020,إبريل,"68,888"
2020,مايو,"125,518"
2020,يونيو,"538,078"
2020,يوليو,"209,530"
2020,أغسطس,"209,162"
2020,سبتمبر,"180,321"
2020,أكتوبر,"185,026"
2020,نوفمبر,"167,398"
2020,ديسمبر,"274,333"
2021,يناير,"126,622"
2021,فبراير,"166,234"
2021,مارس,"206,257"
2021,إبريل,"190,627"
2021,مايو,"280,751"
2021,يونيو,"138,481"
2021,يوليو,"252,153"
2021,أغسطس,"449,216"
2021,سبتمبر,"566,650"
2021,أكتوبر,"262,158"
2021,نوفمبر,"314,725"
2021,ديسمبر,"448,982"
2022,يناير,"404,065"
2022,فبراير,"501,618"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
