Item,Amount,Value
زيت عباد الشمس بصـفة عـامة,11.8,مليون دولار
فراوله طازجه,3.6,مليون دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",2.9,مليون دولار
يوسفى طازج أو مجفف,2.7,مليون دولار
سكر بنجر مكرر,2.5,مليون دولار
شحوم نباتيه,1.8,مليون دولار
برتقال طازج أو مجفف,973.4,ألف دولار
جلوكوز و عسل الجلوكوز,826.2,ألف دولار
زيت النخيل بحاله اخرى,730.1,ألف دولار
بودره بولي فنيل كلوريد  P.V.S,706.9,ألف دولار
بطاطس طازجه اومبرده أخرى,702.0,ألف دولار
محضرات غذائيه اخرى,542.2,ألف دولار
غزل صناعى متعدد تحتوى على 85% من ألياف الإكليريك المستمر غير مهيئه للبيع بالتجزئه,522.8,ألف دولار
زيت بذرة عباد الشمس او زيت القرطم بحالة اخرى,481.5,ألف دولار
جلوكوز و عسل الجلوكوز,443.3,ألف دولار
خلايا اولية وبطاريات من أكسيد رصاص لتشغيل البساتم,354.9,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,301.3,ألف دولار
قماش الدنيم أو الجينز,288.9,ألف دولار
غواسل عضوية بحالة ايونات سالبة,284.2,ألف دولار
انواع اخرى من السكر بما فى ذلك سكر مخلوط 50% جلوكوز و50% فركتوز,242.7,ألف دولار
بذور سمسم,224.6,ألف دولار
خميره جافه نشطه,209.2,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,173.6,ألف دولار
الاسمنت ?  الملاط ?  المحضرات المماثله المتحمله للحرارة,172.0,ألف دولار
ورق ناسخ ذاتيا مطبوع .. على هيئة لفات او افرخ,161.7,ألف دولار
خيوط أو غزل ليست للحياكه من النايلون أو البولميدات مطاطى أو غيره أكثر من 50 تيكس,152.1,ألف دولار
بيكربونات كالسيوم,150.7,ألف دولار
سماد بوتاسى أو فوسفاتى معبىء فى أقراص فى عبوات أقل من 10 كج,148.3,ألف دولار
غيرها من زيوت ودهون نباتيه ومايتجزأ عنها,144.6,ألف دولار
لبن بودره غير محلى,143.8,ألف دولار
بولىفينيل اسيتات سائل,143.2,ألف دولار
محضرات غذائيه للاطفال,137.3,ألف دولار
بوليمرات اسيتات الفينيل (محلول مائى),134.9,ألف دولار
راتنجات يوريا,130.2,ألف دولار
فاكهه أخرى طازجه,130.1,ألف دولار
ليتوبون والوان سطحية ومحضرات اخرى غير عضويه متنوعه,124.2,ألف دولار
"لواح , افرخ من البلاستيك",123.3,ألف دولار
مستخلصات جذوع النباتات,108.8,ألف دولار
بوليستر أولى,108.0,ألف دولار
غزل صناعى مفرد تحتوى على 85% من ألياف الإكليريك المستمر غير مهيئه للبيع بالتجزئه,102.3,ألف دولار
مكسبات طعم ورائحه,87.3,ألف دولار
فخار معالج بالحراره,85.1,ألف دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,82.2,ألف دولار
"غيرها من الواح , افرخ , رقائق,شرائط,شرائح من البلاستيك",78.0,ألف دولار
قنينة كانيولا وادوات مماثلة,70.4,ألف دولار
سيليكات صوديوم أخر,70.4,ألف دولار
خيوط من البوليستر المستمر غير مسرح أو ممشط,70.3,ألف دولار
بوليمرات أكليريك ? سيورنقل الحركه ? علب البلاستيك لشرائط الكاسيت,70.2,ألف دولار
اجزاء من اجهزة اخرى من مدافىء ومواقد طهى,68.1,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,62.0,ألف دولار
فحم حجرى,60.5,ألف دولار
"غيرها من الواح , افرخ , رقائق,شرائط,شرائح من بوليمرات الإستيرين",60.4,ألف دولار
امواس و شفرات للحلاقه,54.5,ألف دولار
اسلاك حديدية فى لفائف مغلفة او مطلية بالزنك,54.0,ألف دولار
بولى ميثيل أخرى ? لفائف غير حساسه و لدائن صناعيه,50.4,ألف دولار
"غيرها من اقمشة نصف شفافه , نسيج ومماسح ارجل وحشايا والواح من الفيبر جلاس",49.3,ألف دولار
,47.2,ألف دولار
قوالب السباكه,45.0,ألف دولار
زجاج سيارات سيكوريت,43.6,ألف دولار
إطارات السيارات النقل و الشاحنات,42.2,ألف دولار
خيوط مطاط مغلفه بالنسيج ? أستيك مغلف بالنسيج,39.6,ألف دولار
شمام طازج ما عدا البطيخ,38.7,ألف دولار
راتنجات الكيديه,38.1,ألف دولار
اقمشة قطن خام أكثر من 85% قطن أكثر من100 جرام غير مبيضه,34.8,ألف دولار
اشكال مسطحةاخرى ومن اصناف ذاتية اللصق من لدائن اصطناعية,32.0,ألف دولار
,30.0,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,22.5,ألف دولار
استياتيت طبيعى مجروش او مطحون,21.0,ألف دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,19.3,ألف دولار
مرايا الرؤيه الخلفيه للسيارات,14.2,ألف دولار
رمال السيليس (السيليكا) ورمال الكوارتز,13.2,ألف دولار
زيوت عطريه (من موالح) متعدده,11.9,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,10.4,ألف دولار
اجزاء ولوازم سيارات اخرى,6.8,ألف دولار
خيط حياكه من ألياف صناعيه,4.1,ألف دولار
بيض طيور بقشره طازج أو محفوظ أو مطهى,2.8,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),2.5,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,0.1,ألف دولار
اصناف مماثله غير مزخرفه اساسها الجبس,0.0,ألف دولار
