Year,Month,Export Amount
2012,يناير,"27,123,717"
2012,فبراير,"30,348,691"
2012,مارس,"19,263,609"
2012,إبريل,"25,741,361"
2012,مايو,"42,579,652"
2012,يونيو,"34,878,936"
2012,يوليو,"22,124,746"
2012,أغسطس,"14,302,351"
2012,سبتمبر,"24,161,777"
2012,أكتوبر,"38,642,416"
2012,نوفمبر,"38,045,536"
2012,ديسمبر,"37,028,628"
2013,يناير,"32,319,153"
2013,فبراير,"28,667,864"
2013,مارس,"30,467,916"
2013,إبريل,"35,423,548"
2013,مايو,"36,225,986"
2013,يونيو,"29,623,748"
2013,يوليو,"30,933,705"
2013,أغسطس,"13,253,320"
2013,سبتمبر,"23,903,840"
2013,أكتوبر,"25,262,619"
2013,نوفمبر,"39,012,132"
2013,ديسمبر,"54,093,345"
2014,يناير,"35,691,644"
2014,فبراير,"30,408,721"
2014,مارس,"36,601,430"
2014,إبريل,"31,306,135"
2014,مايو,"27,737,542"
2014,يونيو,"21,822,732"
2014,يوليو,"25,599,862"
2014,أغسطس,"28,791,765"
2014,سبتمبر,"22,473,432"
2014,أكتوبر,"20,999,203"
2014,نوفمبر,"38,606,970"
2014,ديسمبر,"30,951,568"
2015,يناير,"19,114,909"
2015,فبراير,"19,202,528"
2015,مارس,"30,626,146"
2015,إبريل,"23,671,025"
2015,مايو,"14,053,368"
2015,يونيو,"17,313,487"
2015,يوليو,"20,226,807"
2015,أغسطس,"18,457,197"
2015,سبتمبر,"14,744,519"
2015,أكتوبر,"16,691,411"
2015,نوفمبر,"20,807,868"
2015,ديسمبر,"17,960,477"
2016,يناير,"8,224,169"
2016,فبراير,"16,003,553"
2016,مارس,"21,477,357"
2016,إبريل,"9,349,974"
2016,مايو,"11,206,856"
2016,يونيو,"11,178,459"
2016,يوليو,"9,982,767"
2016,أغسطس,"8,157,450"
2016,سبتمبر,"9,023,025"
2016,أكتوبر,"20,598,552"
2016,نوفمبر,"24,343,871"
2016,ديسمبر,"16,952,917"
2017,يناير,"60,538,921"
2017,فبراير,"15,795,138"
2017,مارس,"16,693,258"
2017,إبريل,"14,798,130"
2017,مايو,"24,000,347"
2017,يونيو,"11,802,358"
2017,يوليو,"16,153,361"
2017,أغسطس,"22,421,727"
2017,سبتمبر,"25,211,224"
2017,أكتوبر,"29,423,840"
2017,نوفمبر,"20,359,784"
2017,ديسمبر,"23,443,774"
2018,يناير,"25,336,108"
2018,فبراير,"25,737,623"
2018,مارس,"47,795,666"
2018,إبريل,"23,237,678"
2018,مايو,"23,883,023"
2018,يونيو,"26,811,223"
2018,يوليو,"38,927,019"
2018,أغسطس,"20,326,090"
2018,سبتمبر,"49,676,946"
2018,أكتوبر,"31,918,125"
2018,نوفمبر,"28,038,349"
2018,ديسمبر,"24,950,247"
2019,يناير,"22,323,050"
2019,فبراير,"28,441,368"
2019,مارس,"26,949,934"
2019,إبريل,"21,699,601"
2019,مايو,"21,945,131"
2019,يونيو,"13,861,497"
2019,يوليو,"25,169,306"
2019,أغسطس,"18,302,329"
2019,سبتمبر,"34,690,405"
2019,أكتوبر,"27,954,397"
2019,نوفمبر,"18,204,655"
2019,ديسمبر,"27,549,262"
2020,يناير,"13,162,291"
2020,فبراير,"23,462,523"
2020,مارس,"32,655,300"
2020,إبريل,"15,690,497"
2020,مايو,"12,463,921"
2020,يونيو,"23,882,233"
2020,يوليو,"16,310,280"
2020,أغسطس,"26,411,114"
2020,سبتمبر,"26,347,674"
2020,أكتوبر,"30,986,123"
2020,نوفمبر,"21,900,911"
2020,ديسمبر,"42,030,478"
2021,يناير,"31,378,161"
2021,فبراير,"18,032,971"
2021,مارس,"22,058,120"
2021,إبريل,"33,679,194"
2021,مايو,"26,858,740"
2021,يونيو,"20,485,344"
2021,يوليو,"23,197,508"
2021,أغسطس,"28,745,826"
2021,سبتمبر,"37,351,300"
2021,أكتوبر,"24,407,511"
2021,نوفمبر,"16,592,833"
2021,ديسمبر,"27,581,729"
2022,يناير,"16,205,429"
2022,فبراير,"24,253,141"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
