Item,Amount,Value
عصير خليط,215.2,ألف دولار
مكسبات طعم ورائحه,199.3,ألف دولار
شريط كلف ستان وحرير,121.2,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,108.6,ألف دولار
محضرات ذات سطح غير محتمل للحراره للارضيات و الجدرات و الواجهات,67.2,ألف دولار
ورنيشات قاعدتها P.V.A,61.5,ألف دولار
"انابيب,مواسير وخراطيم صلبة,غير قابلة للثنى من بوليميرات كلوريدالفينيل",25.8,ألف دولار
برتقال طازج أو مجفف,23.7,ألف دولار
ملح غير صالح للطعام و ملح طعام,22.5,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,16.0,ألف دولار
تنر (تنر عضوى عادى او مخصوص),11.5,ألف دولار
كروت ذكية,10.8,ألف دولار
مجففات محضره,9.8,ألف دولار
بيكربونات كالسيوم,5.0,ألف دولار
عصير برتقال مركز,0.6,ألف دولار
اثاث معدنى من النوع المستخدم فىالمكاتب,0.3,ألف دولار
محضرات واصناف صيدليه اخر,0.2,ألف دولار
اصناف مفروشات اخرى غير مصنره او كروشيه من مواد نسجيه اخرى,0.2,ألف دولار
تابلوه للصور,0.1,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.1,ألف دولار
كتالوجات تجاريه وماشابه (طباعه اعلانات دعايه وملصقات),0.1,ألف دولار
مفجرات المعالجات و التفاعلات الوسيطه,0.1,ألف دولار
غيرها من الاحذيه الوجه جلد صناعى والنعل جلد,0.1,ألف دولار
بلوزه حريمى من القطن غير مصنره,0.0,ألف دولار
الوان سطحيه بشكل عجينه فى وسط لامائى,0.0,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,0.0,ألف دولار
أجزاء آلات حاسبه الكترونيه أخرى,0.0,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,0.0,ألف دولار
اثاث معدنى اخر,0.0,ألف دولار
اجزاء الات كهربائيه حراريه,0.0,ألف دولار
