Year,Month,Export Amount
2012,يناير,"1,465,602"
2012,فبراير,"501,852"
2012,مارس,"802,278"
2012,إبريل,"271,711"
2012,مايو,"304,608"
2012,يونيو,"578,381"
2012,يوليو,"591,643"
2012,أغسطس,"155,099"
2012,سبتمبر,"326,862"
2012,أكتوبر,"198,308"
2012,نوفمبر,"894,892"
2012,ديسمبر,"763,254"
2013,يناير,"542,855"
2013,فبراير,"948,844"
2013,مارس,"229,099"
2013,إبريل,"638,749"
2013,مايو,"799,164"
2013,يونيو,"129,393"
2013,يوليو,"311,412"
2013,أغسطس,"143,000"
2013,سبتمبر,"664,140"
2013,أكتوبر,"472,266"
2013,نوفمبر,"749,769"
2013,ديسمبر,"815,854"
2014,يناير,"307,150"
2014,فبراير,"577,594"
2014,مارس,"589,037"
2014,إبريل,"378,142"
2014,مايو,"580,006"
2014,يونيو,"396,570"
2014,يوليو,"370,943"
2014,أغسطس,"955,616"
2014,سبتمبر,"809,276"
2014,أكتوبر,"771,073"
2014,نوفمبر,"1,012,882"
2014,ديسمبر,"1,015,679"
2015,يناير,"634,425"
2015,فبراير,"885,806"
2015,مارس,"297,848"
2015,إبريل,"1,205,673"
2015,مايو,"55,899"
2015,يونيو,"798,958"
2015,يوليو,"1,063,088"
2015,أغسطس,"636,162"
2015,سبتمبر,"1,161,307"
2015,أكتوبر,"571,423"
2015,نوفمبر,"593,654"
2015,ديسمبر,"570,471"
2016,يناير,"138,658"
2016,فبراير,"544,191"
2016,مارس,"478,737"
2016,إبريل,"389,054"
2016,مايو,"319,706"
2016,يونيو,"510,934"
2016,يوليو,"93,805"
2016,أغسطس,"517,021"
2016,سبتمبر,"287,878"
2016,أكتوبر,"1,072,526"
2016,نوفمبر,"885,714"
2016,ديسمبر,"205,188"
2017,يناير,"1,193,416"
2017,فبراير,"211,133"
2017,مارس,"63,544"
2017,إبريل,"219,689"
2017,مايو,"240,928"
2017,يونيو,"440,216"
2017,يوليو,"253,885"
2017,أغسطس,"1,370,084"
2017,سبتمبر,"719,799"
2017,أكتوبر,"497,521"
2017,نوفمبر,"832,225"
2017,ديسمبر,"262,503"
2018,يناير,"214,783"
2018,فبراير,"183,312"
2018,مارس,"136,114"
2018,إبريل,"166,907"
2018,مايو,"163,261"
2018,يونيو,"448,499"
2018,يوليو,"211,678"
2018,أغسطس,"231,868"
2018,سبتمبر,"423,706"
2018,أكتوبر,"206,629"
2018,نوفمبر,"245,267"
2018,ديسمبر,"400,802"
2019,يناير,"14,673"
2019,فبراير,"758,601"
2019,مارس,"67,795"
2019,إبريل,"42,970"
2019,مايو,"355,155"
2019,يونيو,"470,718"
2019,يوليو,"509,748"
2019,أغسطس,"520,078"
2019,سبتمبر,"695,279"
2019,أكتوبر,"437,955"
2019,نوفمبر,"373,024"
2019,ديسمبر,"503,268"
2020,يناير,"818,992"
2020,فبراير,"455,100"
2020,مارس,"399,972"
2020,إبريل,"350,007"
2020,مايو,"227,734"
2020,يونيو,"532,202"
2020,يوليو,"606,602"
2020,أغسطس,"715,857"
2020,سبتمبر,"361,500"
2020,أكتوبر,"1,004,098"
2020,نوفمبر,"787,542"
2020,ديسمبر,"319,102"
2021,يناير,"689,411"
2021,فبراير,"400,448"
2021,مارس,"289,720"
2021,إبريل,"698,906"
2021,مايو,"591,984"
2021,يونيو,"571,220"
2021,يوليو,"83,836"
2021,أغسطس,"570,378"
2021,سبتمبر,"1,265,413"
2021,أكتوبر,"581,469"
2021,نوفمبر,"603,955"
2021,ديسمبر,"1,210,234"
2022,يناير,"654,352"
2022,فبراير,"510,280"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
