Item,Amount,Value
,7.0,مليون دولار
سلك نحاس اصفر,743.8,ألف دولار
ليتوبون والوان سطحية ومحضرات اخرى غير عضويه متنوعه,273.1,ألف دولار
اقمشة قطن خام أخرى أكثر من 85% قطن أكثر من200 جرام مطبوعه,79.9,ألف دولار
منصهرات كهربيه داتيه لا يزيد عن 1000 فولت,73.8,ألف دولار
جلوكوز و عسل الجلوكوز,70.2,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,36.5,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),28.1,ألف دولار
ورق ناسخ ذاتيا مطبوع .. على هيئة لفات او افرخ,28.0,ألف دولار
أحجار طبيعيه للمبانى مصقوله,19.5,ألف دولار
,19.0,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,17.9,ألف دولار
بيكربونات كالسيوم,13.9,ألف دولار
لعزل الحراره ?  الصوت,13.6,ألف دولار
عصير خليط,12.2,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,10.0,ألف دولار
كتب و كتيبات مطبوعه وان كانت مصوره,4.8,ألف دولار
ملح غير صالح للطعام و ملح طعام,2.1,ألف دولار
محضرات واصناف صيدليه اخر,0.9,ألف دولار
