Year,Month,Export Amount
2012,يناير,"432,543"
2012,فبراير,"985,110"
2012,مارس,"366,998"
2012,إبريل,"513,245"
2012,مايو,"1,240,553"
2012,يونيو,"462,112"
2012,يوليو,"409,781"
2012,أغسطس,"817,047"
2012,سبتمبر,"266,216"
2012,أكتوبر,"133,831"
2012,نوفمبر,"376,038"
2012,ديسمبر,"582,281"
2013,يناير,"496,170"
2013,فبراير,"951,976"
2013,مارس,"336,191"
2013,إبريل,"1,186,128"
2013,مايو,"1,826,881"
2013,يونيو,"162,916"
2013,يوليو,"628,944"
2013,أغسطس,"610,788"
2013,سبتمبر,"289,722"
2013,أكتوبر,"402,293"
2013,نوفمبر,"194,437"
2013,ديسمبر,"593,268"
2014,يناير,"451,476"
2014,فبراير,"2,837,806"
2014,مارس,"99,040"
2014,إبريل,"431,063"
2014,مايو,"402,624"
2014,يونيو,"202,121"
2014,يوليو,"409,701"
2014,أغسطس,"285,498"
2014,سبتمبر,"633,627"
2014,أكتوبر,"1,158,340"
2014,نوفمبر,"466,865"
2014,ديسمبر,"1,292,114"
2015,يناير,"544,546"
2015,فبراير,"363,432"
2015,مارس,"397,078"
2015,إبريل,"173,184"
2015,مايو,"913,517"
2015,يونيو,"1,020,014"
2015,يوليو,"401,951"
2015,أغسطس,"1,132,148"
2015,سبتمبر,"459,795"
2015,أكتوبر,"886,707"
2015,نوفمبر,"480,468"
2015,ديسمبر,"510,062"
2016,يناير,"538,427"
2016,فبراير,"4,579,857"
2016,مارس,"209,639"
2016,إبريل,"182,594"
2016,مايو,"700,442"
2016,يونيو,"505,666"
2016,يوليو,"1,852,629"
2016,أغسطس,"839,986"
2016,سبتمبر,"14,793,553"
2016,أكتوبر,"959,288"
2016,نوفمبر,"451,659"
2016,ديسمبر,"428,092"
2017,يناير,"2,623,929"
2017,فبراير,"34,131"
2017,مارس,"684,474"
2017,إبريل,"610,523"
2017,مايو,"644,055"
2017,يونيو,"743,390"
2017,يوليو,"1,829,296"
2017,أغسطس,"1,465,440"
2017,سبتمبر,"5,500"
2017,أكتوبر,"476,411"
2017,نوفمبر,"13,545,873"
2017,ديسمبر,"6,506,500"
2018,يناير,"2,251,858"
2018,فبراير,"1,206,972"
2018,مارس,"270,264"
2018,إبريل,"550,411"
2018,مايو,"481,060"
2018,يونيو,"901,245"
2018,يوليو,"576,177"
2018,أغسطس,"1,434,467"
2018,سبتمبر,"934,902"
2018,أكتوبر,"1,434,725"
2018,نوفمبر,"830,375"
2018,ديسمبر,"457,161"
2019,يناير,"52,585"
2019,فبراير,"591,038"
2019,مارس,"733,145"
2019,إبريل,"55,182"
2019,مايو,"1,303,976"
2019,يونيو,"63,556"
2019,يوليو,"8,665,020"
2019,أغسطس,"151,445"
2019,سبتمبر,"1,488,267"
2019,أكتوبر,"239,381"
2019,نوفمبر,"6,947,303"
2019,ديسمبر,"367,059"
2020,يناير,"630,494"
2020,فبراير,"1,149,531"
2020,مارس,"632,540"
2020,إبريل,"647,627"
2020,مايو,"6,638,117"
2020,يونيو,"2,156,113"
2020,يوليو,"1,170,597"
2020,أغسطس,"1,301,612"
2020,سبتمبر,"833,063"
2020,أكتوبر,"2,632,926"
2020,نوفمبر,"3,146,808"
2020,ديسمبر,"8,099,713"
2021,يناير,"2,573,017"
2021,فبراير,"478,080"
2021,مارس,"8,480,869"
2021,إبريل,"2,046,564"
2021,مايو,"2,663,788"
2021,يونيو,"6,875,382"
2021,يوليو,"2,429,706"
2021,أغسطس,"1,490,246"
2021,سبتمبر,"5,415,188"
2021,أكتوبر,"845,780"
2021,نوفمبر,"263,451"
2021,ديسمبر,"1,466,333"
2022,يناير,"3,241,611"
2022,فبراير,"5,582,201"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
