Item,Amount,Value
غاز طبيعى فى صوره سائله,80.6,مليون دولار
صفائح علب واوعيه مماثله من حديد او صلب     لتعبئه اى مادة سعتها50 لتراواكثر,33.1,مليون دولار
بلح طازج أو مجفف,378.5,ألف دولار
فوسفاتات كالسيوم طبيعيه وفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى مطحونه,155.2,ألف دولار
فوسفاتات كالسيوم طبيعيه ـفوسفانات طبيعيه مزدوجه من الومنيوم وكالسيوم وطباشير فوسفاتى غير مطحونه فوسفاتات كالسيوم طبيعيه ـفوسفانات طب,149.8,ألف دولار
بنطلون رجالى من القطن غير مصنره,134.0,ألف دولار
قطن غير ممشط أو مسرح,116.3,ألف دولار
غيرها من خزانات ودنان وبراميل وصفائح من حديد او صلب سعتها اقل من 50 لتر,84.5,ألف دولار
نجف و ثرايا كريستال و غيرها,68.0,ألف دولار
اجزاء الات كهربائيه حراريه,64.4,ألف دولار
بما فى ذلك الفحم الحيوانى الخام,56.0,ألف دولار
مخلفات صناعات البنجر,49.2,ألف دولار
بوليمرات أكليريك ? سيورنقل الحركه ? علب البلاستيك لشرائط الكاسيت,33.5,ألف دولار
كلف دانتيل ? أقمشه دانتيل من القطن,31.4,ألف دولار
طرشى),18.0,ألف دولار
لوحات توزيع كهرباء لفولت يزيد عن 1000 فولت  للمصانع,16.7,ألف دولار
أحجار طبيعيه للمبانى مصقوله,13.1,ألف دولار
غيرها من الادوات والاجهزة المستخدمة فى الطب او الجراحة او لطب الاسنان  او للطب البيطرى,8.9,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,8.4,ألف دولار
مواسير و أنابيب من الصلب أخرى,5.8,ألف دولار
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام غير مبيضه,5.5,ألف دولار
نباتات طبيه أخرى,2.5,ألف دولار
قمصان رجالى من الياف صناعيه غير مصنره,2.3,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,1.3,ألف دولار
ملابس المطر الداخليه رجالى بصفة عامه,1.0,ألف دولار
جبن مطبوخ غير مبشور ولا مسحوق,0.8,ألف دولار
اجزاء ولوازم سيارات اخرى,0.2,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,0.1,ألف دولار
سليب رجالى قطن مصنره,0.0,ألف دولار
