Year,Month,Export Amount
2012,يناير,"19,560,700"
2012,فبراير,"573,815"
2012,مارس,"8,508,904"
2012,إبريل,"781,260"
2012,مايو,"6,667,806"
2012,يونيو,"1,005,630"
2012,يوليو,"998,157"
2012,أغسطس,"1,329,118"
2012,سبتمبر,"3,153,689"
2012,أكتوبر,"1,016,193"
2012,نوفمبر,"1,734,942"
2012,ديسمبر,"894,619"
2013,يناير,"1,421,594"
2013,فبراير,"1,314,344"
2013,مارس,"1,761,704"
2013,إبريل,"952,965"
2013,مايو,"1,656,237"
2013,يونيو,"1,718,921"
2013,يوليو,"606,325"
2013,أغسطس,"418,512"
2013,سبتمبر,"830,909"
2013,أكتوبر,"597,354"
2013,نوفمبر,"980,481"
2013,ديسمبر,"785,345"
2014,يناير,"300,217"
2014,فبراير,"367,961"
2014,مارس,"832,555"
2014,إبريل,"964,427"
2014,مايو,"964,332"
2014,يونيو,"570,283"
2014,يوليو,"850,041"
2014,أغسطس,"2,577,266"
2014,سبتمبر,"1,230,468"
2014,أكتوبر,"833,477"
2014,نوفمبر,"12,924,832"
2014,ديسمبر,"950,431"
2015,يناير,"836,200"
2015,فبراير,"655,636"
2015,مارس,"537,216"
2015,إبريل,"5,752,837"
2015,مايو,"5,128,832"
2015,يونيو,"4,136,811"
2015,يوليو,"6,418,527"
2015,أغسطس,"464,376"
2015,سبتمبر,"10,061,641"
2015,أكتوبر,"355,845"
2015,نوفمبر,"558,784"
2015,ديسمبر,"690,202"
2016,يناير,"555,059"
2016,فبراير,"4,167,777"
2016,مارس,"11,009,551"
2016,إبريل,"5,388,501"
2016,مايو,"392,978"
2016,يونيو,"352,956"
2016,يوليو,"8,071,258"
2016,أغسطس,"5,765,869"
2016,سبتمبر,"8,345,575"
2016,أكتوبر,"3,910,336"
2016,نوفمبر,"13,525,593"
2016,ديسمبر,"307,061"
2017,يناير,"36,548,727"
2017,فبراير,"14,373,822"
2017,مارس,"9,639,359"
2017,إبريل,"12,038,220"
2017,مايو,"4,188,701"
2017,يونيو,"675,415"
2017,يوليو,"7,370,006"
2017,أغسطس,"1,030,767"
2017,سبتمبر,"611,024"
2017,أكتوبر,"842,201"
2017,نوفمبر,"365,969"
2017,ديسمبر,"10,572,742"
2018,يناير,"385,146"
2018,فبراير,"755,633"
2018,مارس,"718,897"
2018,إبريل,"802,893"
2018,مايو,"773,552"
2018,يونيو,"781,981"
2018,يوليو,"1,251,921"
2018,أغسطس,"1,220,405"
2018,سبتمبر,"1,831,627"
2018,أكتوبر,"1,256,402"
2018,نوفمبر,"1,027,110"
2018,ديسمبر,"561,924"
2019,يناير,"744,253"
2019,فبراير,"624,081"
2019,مارس,"945,888"
2019,إبريل,"1,123,225"
2019,مايو,"20,549,197"
2019,يونيو,"313,051"
2019,يوليو,"567,855"
2019,أغسطس,"12,724,379"
2019,سبتمبر,"326,387"
2019,أكتوبر,"557,372"
2019,نوفمبر,"532,132"
2019,ديسمبر,"35,333,287"
2020,يناير,"536,520"
2020,فبراير,"628,134"
2020,مارس,"917,488"
2020,إبريل,"686,789"
2020,مايو,"189,498"
2020,يونيو,"290,281"
2020,يوليو,"296,250"
2020,أغسطس,"953,640"
2020,سبتمبر,"16,257,646"
2020,أكتوبر,"1,443,234"
2020,نوفمبر,"1,278,959"
2020,ديسمبر,"1,460,922"
2021,يناير,"1,218,005"
2021,فبراير,"823,722"
2021,مارس,"743,312"
2021,إبريل,"1,814,762"
2021,مايو,"962,874"
2021,يونيو,"1,715,030"
2021,يوليو,"906,291"
2021,أغسطس,"1,222,904"
2021,سبتمبر,"3,702,598"
2021,أكتوبر,"1,741,827"
2021,نوفمبر,"209,414"
2021,ديسمبر,"23,175,761"
2022,يناير,"832,423"
2022,فبراير,"114,345,868"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
