Year,Month,Export Amount
2012,يناير,"7,760"
2012,فبراير,0
2012,مارس,0
2012,إبريل,0
2012,مايو,0
2012,يونيو,0
2012,يوليو,"57,116"
2012,أغسطس,0
2012,سبتمبر,0
2012,أكتوبر,"57,729"
2012,نوفمبر,0
2012,ديسمبر,0
2013,يناير,0
2013,فبراير,"3,505"
2013,مارس,"96,655"
2013,إبريل,"5,405"
2013,مايو,0
2013,يونيو,"48,430"
2013,يوليو,"2,750"
2013,أغسطس,0
2013,سبتمبر,0
2013,أكتوبر,"219,851"
2013,نوفمبر,"34,679"
2013,ديسمبر,0
2014,يناير,0
2014,فبراير,0
2014,مارس,"315,000"
2014,إبريل,"37,366"
2014,مايو,"74,953"
2014,يونيو,0
2014,يوليو,0
2014,أغسطس,0
2014,سبتمبر,"2,360"
2014,أكتوبر,100
2014,نوفمبر,0
2014,ديسمبر,"41,101"
2015,يناير,"313,668"
2015,فبراير,0
2015,مارس,0
2015,إبريل,0
2015,مايو,0
2015,يونيو,0
2015,يوليو,0
2015,أغسطس,0
2015,سبتمبر,0
2015,أكتوبر,0
2015,نوفمبر,0
2015,ديسمبر,"53,620"
2016,يناير,0
2016,فبراير,0
2016,مارس,0
2016,إبريل,0
2016,مايو,0
2016,يونيو,0
2016,يوليو,0
2016,أغسطس,50
2016,سبتمبر,0
2016,أكتوبر,"2,294,633"
2016,نوفمبر,0
2016,ديسمبر,"16,596"
2017,يناير,"146,442"
2017,فبراير,"89,534"
2017,مارس,0
2017,إبريل,"89,671"
2017,مايو,0
2017,يونيو,0
2017,يوليو,0
2017,أغسطس,787
2017,سبتمبر,0
2017,أكتوبر,0
2017,نوفمبر,0
2017,ديسمبر,0
2018,يناير,"103,998"
2018,فبراير,0
2018,مارس,0
2018,إبريل,0
2018,مايو,0
2018,يونيو,0
2018,يوليو,0
2018,أغسطس,0
2018,سبتمبر,0
2018,أكتوبر,0
2018,نوفمبر,0
2018,ديسمبر,"39,143"
2019,يناير,0
2019,فبراير,"33,120"
2019,مارس,0
2019,إبريل,0
2019,مايو,0
2019,يونيو,"84,338"
2019,يوليو,"41,457"
2019,أغسطس,0
2019,سبتمبر,0
2019,أكتوبر,"54,897"
2019,نوفمبر,0
2019,ديسمبر,"37,540"
2020,يناير,"112,557"
2020,فبراير,"56,880"
2020,مارس,0
2020,إبريل,0
2020,مايو,0
2020,يونيو,"143,064"
2020,يوليو,0
2020,أغسطس,0
2020,سبتمبر,0
2020,أكتوبر,"91,416"
2020,نوفمبر,0
2020,ديسمبر,0
2021,يناير,0
2021,فبراير,0
2021,مارس,"49,050"
2021,إبريل,"24,525"
2021,مايو,"106,238"
2021,يونيو,0
2021,يوليو,0
2021,أغسطس,"205,913"
2021,سبتمبر,"278,588"
2021,أكتوبر,"245,058"
2021,نوفمبر,0
2021,ديسمبر,0
2022,يناير,"94,656"
2022,فبراير,0
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
