Year,Month,Export Amount
2012,يناير,"216,559"
2012,فبراير,"29,984"
2012,مارس,"69,132"
2012,إبريل,"20,031"
2012,مايو,"39,353"
2012,يونيو,"79,645"
2012,يوليو,"51,017"
2012,أغسطس,"73,216"
2012,سبتمبر,"110,407"
2012,أكتوبر,"44,788"
2012,نوفمبر,0
2012,ديسمبر,"135,511"
2013,يناير,"13,152"
2013,فبراير,"26,909"
2013,مارس,"83,831"
2013,إبريل,"49,840"
2013,مايو,"29,708"
2013,يونيو,"110,924"
2013,يوليو,"91,356"
2013,أغسطس,"100,178"
2013,سبتمبر,"34,740"
2013,أكتوبر,"24,756"
2013,نوفمبر,"110,264"
2013,ديسمبر,"28,604"
2014,يناير,"16,263"
2014,فبراير,"41,108"
2014,مارس,"79,508"
2014,إبريل,"337,700"
2014,مايو,"356,554"
2014,يونيو,"413,121"
2014,يوليو,"18,960"
2014,أغسطس,"8,791"
2014,سبتمبر,"232,411"
2014,أكتوبر,"15,985"
2014,نوفمبر,"22,737"
2014,ديسمبر,"134,455"
2015,يناير,"25,864"
2015,فبراير,"117,755"
2015,مارس,"31,722"
2015,إبريل,"131,999"
2015,مايو,"71,605"
2015,يونيو,"116,196"
2015,يوليو,"99,386"
2015,أغسطس,"185,223"
2015,سبتمبر,"260,394"
2015,أكتوبر,"117,729"
2015,نوفمبر,"91,776"
2015,ديسمبر,"84,025"
2016,يناير,"104,560"
2016,فبراير,"214,938"
2016,مارس,"51,909"
2016,إبريل,"57,161"
2016,مايو,"22,175"
2016,يونيو,"49,095"
2016,يوليو,"64,467"
2016,أغسطس,"162,609"
2016,سبتمبر,"100,826"
2016,أكتوبر,"97,723"
2016,نوفمبر,"51,540"
2016,ديسمبر,"30,893"
2017,يناير,"76,091"
2017,فبراير,"16,838"
2017,مارس,"94,850"
2017,إبريل,"24,502"
2017,مايو,"123,477"
2017,يونيو,"216,156"
2017,يوليو,"40,326"
2017,أغسطس,"204,185"
2017,سبتمبر,"13,165"
2017,أكتوبر,"26,376"
2017,نوفمبر,"40,381"
2017,ديسمبر,"92,225"
2018,يناير,"51,151"
2018,فبراير,"19,796"
2018,مارس,"25,495"
2018,إبريل,"5,094"
2018,مايو,"141,887"
2018,يونيو,"145,479"
2018,يوليو,"208,315"
2018,أغسطس,"127,437"
2018,سبتمبر,"115,327"
2018,أكتوبر,"75,933"
2018,نوفمبر,"113,044"
2018,ديسمبر,"76,493"
2019,يناير,"165,003"
2019,فبراير,"322,228"
2019,مارس,"220,665"
2019,إبريل,"49,037"
2019,مايو,"60,463"
2019,يونيو,0
2019,يوليو,"66,819"
2019,أغسطس,"105,518"
2019,سبتمبر,"141,269"
2019,أكتوبر,"14,459"
2019,نوفمبر,"121,670"
2019,ديسمبر,"92,234"
2020,يناير,"4,665"
2020,فبراير,"70,543"
2020,مارس,"117,885"
2020,إبريل,"197,641"
2020,مايو,0
2020,يونيو,"69,123"
2020,يوليو,"87,772"
2020,أغسطس,"72,124"
2020,سبتمبر,"87,213"
2020,أكتوبر,"19,724"
2020,نوفمبر,"82,858"
2020,ديسمبر,"145,742"
2021,يناير,"102,289"
2021,فبراير,"187,419"
2021,مارس,"75,916"
2021,إبريل,"337,480"
2021,مايو,"252,137"
2021,يونيو,"365,771"
2021,يوليو,"611,713"
2021,أغسطس,"119,672"
2021,سبتمبر,"295,687"
2021,أكتوبر,"80,069"
2021,نوفمبر,0
2021,ديسمبر,"448,056"
2022,يناير,"22,712"
2022,فبراير,"164,123"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
