Item,Amount,Value
قماش الدنيم أو الجينز,8.5,مليون دولار
مكسبات طعم ورائحه,5.1,مليون دولار
محضرات منظفة .. وان احتوت عل معامل نشط,874.6,ألف دولار
منظفات صناعية سائلة للمراحيض والاحواض والبالوعات(للاستخدام المنزلى),826.8,ألف دولار
بيكربونات كالسيوم,513.5,ألف دولار
بذور سمسم,501.7,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,493.5,ألف دولار
بودره بولي ايثلين P.E.T,478.7,ألف دولار
مواسير او انابيب البحث عن الغاز والبترول من الحديد او الصلب عدا الحديد الزهر,454.2,ألف دولار
اجولة واكياس من بولياثلين او بوليبروبلين,413.8,ألف دولار
نشا ذره,404.0,ألف دولار
خميره جافه نشطه,382.7,ألف دولار
جلوكوز و عسل الجلوكوز,373.0,ألف دولار
غواسل عضوية بحالة ايونات سالبة,354.3,ألف دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,328.2,ألف دولار
عدس اصفر معبأ,312.4,ألف دولار
عجائن البوليثرين متنوعه,301.0,ألف دولار
قضبان ?  زوايا و اشكال خاصه اخرى من المونيوم,283.4,ألف دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,277.7,ألف دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,265.2,ألف دولار
ثلاجات ومجمدات مشتركه مثبته بأبواب داخليه منفصله,251.9,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",238.0,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),232.1,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),231.7,ألف دولار
سجاد من ألياف صناعيه أخرى,217.7,ألف دولار
اقمشة تويل قطن خام أكثر من 85% قطن من200 جرام غير مبيضه,202.9,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),196.3,ألف دولار
فحم حجرى,194.2,ألف دولار
خيوط من البوليستر المستمر غير مسرح أو ممشط,192.1,ألف دولار
زجاج بللور وزجاج عاكس أو زجاج مسطح عادى سادة غير مسلح,191.0,ألف دولار
شامبو لغسيل الشعر  (دون تحديد),190.4,ألف دولار
جلوكوز و عسل الجلوكوز,190.3,ألف دولار
غراء قاعدته نشاء او دكسترين او انواع اخرى من نشويات معدلة,167.0,ألف دولار
شامبو وصبغات للشعر),162.2,ألف دولار
زجاج مسطح عادى سادة غير مسلح,160.6,ألف دولار
اقمشة قطن خام أكثر من 85% قطن من100 إلى 200 جرام من غزل مصبوغ,143.4,ألف دولار
أغطية الزجاجات و مغاليق من أنواع البلاستيك الأخرى,140.7,ألف دولار
اشكال مسطحةاخرى ومن اصناف ذاتية اللصق من لدائن اصطناعية,140.2,ألف دولار
مستلزمات معدنيه للاثاث,133.2,ألف دولار
انابيب ومواسير من المونيوم بسبائكه,131.6,ألف دولار
حمص مجفف ومعبأ,125.4,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,112.2,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,106.4,ألف دولار
بطاطين من الصوف أو شعر الحيوانات,105.9,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من بوليمرات الاكريليك,103.9,ألف دولار
شريط كلف ستان وحرير من ألياف أخرى,103.8,ألف دولار
إطارات السيارات النقل و الشاحنات,101.0,ألف دولار
استيك مشرب او مغطى او مغلف من الياف صناعية اكثر من 25 جم,95.4,ألف دولار
فوليه),93.7,ألف دولار
ألواح حديد زنك مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,90.6,ألف دولار
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام غير مبيضه,88.7,ألف دولار
جهاز تكييف وتبريد للحوائط أو النوافذ,81.3,ألف دولار
شرائح غير خلويه ولامتحده مع مواد اخرى من بوليميرات الايثيلين,79.0,ألف دولار
اصناف مقولبه او مضغوطه من عجينه الورق,78.3,ألف دولار
زيت الفيتيس و الفرامل,75.2,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,74.4,ألف دولار
بطاطس غير مجمده محفوظه اومعلبه,72.2,ألف دولار
صابون فى شكل عيدان لاستعمالات غير الزينة مثل(صابون خام),68.6,ألف دولار
ليتوبون والوان سطحية ومحضرات اخرى غير عضويه متنوعه,68.3,ألف دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,64.3,ألف دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,63.9,ألف دولار
قماش دوتر بروش,63.2,ألف دولار
عجائن اخرى غير محتويه على بيض,58.1,ألف دولار
أجزاء راديو و تليفزيون,56.4,ألف دولار
غيرها من المربى,53.8,ألف دولار
إطارات السيارات,52.9,ألف دولار
اطارات موتوسيكلات,52.8,ألف دولار
,51.8,ألف دولار
خضروات أخرى محفوظه مؤقتا وغير صالحه للاستهلاك المباشر,51.2,ألف دولار
ادوات منزليه من الالومنيوم خاصه بالمطبخ,50.9,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,49.9,ألف دولار
لعزل الحراره ?  الصوت,49.4,ألف دولار
ورق أزوريه,45.9,ألف دولار
استياتيت طبيعى مجروش او مطحون,45.7,ألف دولار
أدوات المائدة و المطبخ  من أنواع البلاستيك الأخرى,45.7,ألف دولار
مرايا زجاجيه بدون اطر,45.1,ألف دولار
أنواع مختلفه من النشا,43.0,ألف دولار
خضروات بقليه اخرى,42.3,ألف دولار
قوارير وزجاجات واوانى وجرار وامبولات وغيرها من الاوعية من الزجاج من النوع المستعمل فى نقل اوتعبئة السلع,39.4,ألف دولار
"غيرها من اقمشة نصف شفافه , نسيج ومماسح ارجل وحشايا والواح من الفيبر جلاس",38.5,ألف دولار
حمامات و بانيوهات و أحواض من البلاستيك,38.2,ألف دولار
لولبية,37.5,ألف دولار
الاجهزةالكهربائية للانارة والاشارة أخرى,36.7,ألف دولار
