Year,Month,Export Amount
2012,يناير,"11,553,338"
2012,فبراير,"12,041,282"
2012,مارس,"16,328,782"
2012,إبريل,"19,917,199"
2012,مايو,"20,157,512"
2012,يونيو,"35,181,690"
2012,يوليو,"48,074,415"
2012,أغسطس,"12,200,459"
2012,سبتمبر,"32,612,295"
2012,أكتوبر,"30,816,187"
2012,نوفمبر,"22,295,656"
2012,ديسمبر,"25,445,663"
2013,يناير,"20,050,855"
2013,فبراير,"14,380,090"
2013,مارس,"26,063,494"
2013,إبريل,"11,337,256"
2013,مايو,"17,213,415"
2013,يونيو,"35,114,168"
2013,يوليو,"10,921,219"
2013,أغسطس,"10,304,220"
2013,سبتمبر,"28,121,560"
2013,أكتوبر,"30,216,446"
2013,نوفمبر,"12,473,376"
2013,ديسمبر,"12,962,378"
2014,يناير,"15,022,971"
2014,فبراير,"9,649,944"
2014,مارس,"16,868,330"
2014,إبريل,"13,256,330"
2014,مايو,"12,548,763"
2014,يونيو,"33,254,489"
2014,يوليو,"10,939,403"
2014,أغسطس,"41,503,055"
2014,سبتمبر,"13,000,347"
2014,أكتوبر,"10,164,969"
2014,نوفمبر,"13,506,473"
2014,ديسمبر,"13,271,480"
2015,يناير,"10,629,481"
2015,فبراير,"13,221,670"
2015,مارس,"26,880,470"
2015,إبريل,"16,018,131"
2015,مايو,"12,332,171"
2015,يونيو,"13,661,341"
2015,يوليو,"12,886,981"
2015,أغسطس,"12,127,156"
2015,سبتمبر,"10,689,538"
2015,أكتوبر,"10,538,292"
2015,نوفمبر,"8,378,720"
2015,ديسمبر,"10,759,894"
2016,يناير,"7,367,445"
2016,فبراير,"12,694,332"
2016,مارس,"20,996,850"
2016,إبريل,"9,738,136"
2016,مايو,"17,895,244"
2016,يونيو,"20,449,050"
2016,يوليو,"9,366,005"
2016,أغسطس,"15,452,226"
2016,سبتمبر,"18,069,015"
2016,أكتوبر,"13,205,751"
2016,نوفمبر,"13,412,820"
2016,ديسمبر,"16,952,159"
2017,يناير,"65,782,011"
2017,فبراير,"19,707,502"
2017,مارس,"15,594,318"
2017,إبريل,"12,718,701"
2017,مايو,"12,420,475"
2017,يونيو,"12,930,091"
2017,يوليو,"13,622,859"
2017,أغسطس,"9,902,214"
2017,سبتمبر,"11,823,600"
2017,أكتوبر,"12,707,833"
2017,نوفمبر,"14,571,771"
2017,ديسمبر,"11,451,696"
2018,يناير,"11,378,849"
2018,فبراير,"16,281,902"
2018,مارس,"27,568,863"
2018,إبريل,"23,256,827"
2018,مايو,"17,594,016"
2018,يونيو,"14,761,902"
2018,يوليو,"14,493,894"
2018,أغسطس,"11,341,493"
2018,سبتمبر,"11,814,058"
2018,أكتوبر,"17,829,143"
2018,نوفمبر,"10,270,624"
2018,ديسمبر,"11,116,404"
2019,يناير,"8,994,222"
2019,فبراير,"14,101,637"
2019,مارس,"12,494,885"
2019,إبريل,"13,480,429"
2019,مايو,"51,862,117"
2019,يونيو,"46,115,930"
2019,يوليو,"48,571,863"
2019,أغسطس,"60,613,542"
2019,سبتمبر,"129,292,004"
2019,أكتوبر,"102,969,561"
2019,نوفمبر,"61,932,000"
2019,ديسمبر,"63,391,358"
2020,يناير,"47,903,533"
2020,فبراير,"13,381,074"
2020,مارس,"13,071,233"
2020,إبريل,"7,956,016"
2020,مايو,"9,859,698"
2020,يونيو,"54,514,363"
2020,يوليو,"19,327,945"
2020,أغسطس,"30,418,410"
2020,سبتمبر,"23,744,476"
2020,أكتوبر,"13,771,673"
2020,نوفمبر,"14,798,915"
2020,ديسمبر,"15,194,037"
2021,يناير,"20,590,794"
2021,فبراير,"22,858,376"
2021,مارس,"22,488,285"
2021,إبريل,"18,213,779"
2021,مايو,"15,388,031"
2021,يونيو,"35,493,876"
2021,يوليو,"14,641,147"
2021,أغسطس,"16,690,294"
2021,سبتمبر,"34,609,750"
2021,أكتوبر,"16,718,999"
2021,نوفمبر,"5,588,973"
2021,ديسمبر,"20,113,820"
2022,يناير,"16,873,027"
2022,فبراير,"17,119,633"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
