Item,Amount,Value
غاز طبيعى فى صوره سائله,617.3,مليون دولار
حبات  (P.P) بولي بروبلين,41.3,مليون دولار
سماد يوريا أو اسمده ازوتيه اخرى,29.2,مليون دولار
كحول الميثيل,21.0,مليون دولار
بودره بولي فنيل كلوريد  P.V.S,17.9,مليون دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,13.0,مليون دولار
,12.9,مليون دولار
صودا كاويه سائله,9.9,مليون دولار
قماش بارلون / نايلون,9.2,مليون دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",8.6,مليون دولار
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,8.2,مليون دولار
قماش الدنيم أو الجينز,7.6,مليون دولار
اقمشة تحتوى على 85% بوليستر غير مزخرف,6.6,مليون دولار
مجموعات اسلاك الاشعال ومجموعات اسلاك اخرى من النوع المستعمل فى السيارات الطائرات او السفن,6.1,مليون دولار
غاز نوشادر(نوشادر لامائى),5.0,مليون دولار
أجزاء راديو و تليفزيون,4.7,مليون دولار
بنطلون حريمى من القطن غير مصنره,4.4,مليون دولار
إطارات السيارات النقل و الشاحنات,4.3,مليون دولار
بنطلون رجالى من القطن غير مصنره,4.1,مليون دولار
خيوط الخياطه من ألياف صناعيه المستمر,3.8,مليون دولار
نسيج من الياف الزجاج,3.5,مليون دولار
اقمشة تويل قطن خام أكثر من 85% قطن من200 جرام غير مبيضه,3.1,مليون دولار
أقمشه تحتوى على 85% بوليستر مستمره أخرى,3.0,مليون دولار
خيط حياكه من ألياف صناعيه,3.0,مليون دولار
غراء قاعدته نشاء او دكسترين او انواع اخرى من نشويات معدلة,3.0,مليون دولار
غواسل عضوية بحالة ايونات سالبة,2.9,مليون دولار
أقمشه تحتوى على 85% بوليستر مصبوغه أو غير مصبوغه أخرى,2.9,مليون دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,2.6,مليون دولار
أجزاء خلايا اولية وبطاريات أخرى,1.9,مليون دولار
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام مصبوغه,1.9,مليون دولار
محول كهربائى أكبر من 500كيلوفولت أمبير,1.8,مليون دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,1.8,مليون دولار
الرمال الطبيعيه ?  كوارتزيت,1.7,مليون دولار
تى شيرت وفانلات بنصف اكمام من القطن مصنره,1.7,مليون دولار
خيوط من البوليستر المستمر غير مسرح أو ممشط,1.6,مليون دولار
أجزاء كاميرات,1.6,مليون دولار
موصلات كهربيه لا تزيد عن 80 فولت,1.6,مليون دولار
قضبان و عيدان من الصلب أخرى,1.6,مليون دولار
قدد من الالومنيوم مستطيلة الشكل,1.4,مليون دولار
غزل صناعى أكثر من 85% ألياف صناعيه غير خيوط الخياطه مهيئه للبيع بالتجزئه,1.3,مليون دولار
سماد كبريتات البوتاسيوم فى عبوات أكثر من 10 كج,1.3,مليون دولار
أحجار طبيعيه للمبانى مشقوقه,1.1,مليون دولار
خيوط مغزوله قطنيه أقل من 85% (بخلاف خيوط الحياكه) مهيأه للبيع بالتجزئة,1.1,مليون دولار
غزل قطن متعدد أكثر من 85% قطن ممشط (31و192) ( 125)غير مهييء للبيع بالتجزئه,1.1,مليون دولار
حجاب و شيلان و كوفيات من الياف صناعيه,1.0,مليون دولار
كابلات كوكشال نحاسية ضغط عالى ومنخفض ومتوسط دون تحديد لخامه التغليف او الضغوط,1.0,مليون دولار
سلك نحاس اصفر,993.2,ألف دولار
فاصوليا حمراء مجففه ومفصصه ومعبأه,991.6,ألف دولار
رمال السيليس (السيليكا) ورمال الكوارتز,915.8,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,886.8,ألف دولار
محضرات واصناف صيدليه اخر,869.0,ألف دولار
غزل قطن متعدد اكثر من 85% قطن ممشط (83.33) (120) غير مهيىء للبيع بالتجزئة,862.6,ألف دولار
سماد أحادى معبىء فى أقراص فى عبوات أقل من 10 كج,747.5,ألف دولار
بويات وورنيشات  مذابه فى وسط لامائى,729.8,ألف دولار
خيوط حياكة قطن مهيء للبيع بالتجزئة,721.1,ألف دولار
بلح طازج أو مجفف,714.7,ألف دولار
اقمشة قطن خام أكثر من 85% قطن من100 إلى 200 جرام من غزل مصبوغ,695.3,ألف دولار
عجائن طباعه شفافه,664.7,ألف دولار
بنطلون رجالى من الياف صناعيه غير مصنره,643.5,ألف دولار
امواس و شفرات للحلاقه,637.5,ألف دولار
مخاليط خضروات مجمده,613.7,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,582.7,ألف دولار
خيوط أو غزل ليست للحياكه من البوليستر مطاطى أو غيره ليست للتجزأه,580.3,ألف دولار
خيوط أو غزل ليست للحياكه من النايلون أو البولميدات مطاطى أو غيره أكثر من 50 تيكس,576.5,ألف دولار
فلسبار,562.7,ألف دولار
باترونات من المنسوجات,555.9,ألف دولار
نباتات طبيه أخرى,547.0,ألف دولار
اقمشة أخرىقطن خام أكثر من 85% قطن من200 جرام مطبوع,537.2,ألف دولار
بوليمرات اسيتات الفينيل (محلول مائى),527.1,ألف دولار
خيوط أو غزل ليست للحياكه من البوليستر مطاطى أو غيره,484.6,ألف دولار
غزل قطن مفرد اكثر من 85% غير ممشط (83.33) (106.38) (94)  غير مهيىء للبيع بالتجزئة,448.3,ألف دولار
ادوات للمائدة والمطبخ بورسلين,441.1,ألف دولار
كلف دانتيل ? أقمشه دانتيل من القطن,437.6,ألف دولار
سكر بنجر مكرر,424.4,ألف دولار
فيروسيليكون سبيكه 55%,412.5,ألف دولار
غزل صناعى متعدد تحتوى على 85% من ألياف البوليستر المستمر غير مهيئه للبيع بالتجزئه,396.6,ألف دولار
بودرة صلب,389.9,ألف دولار
دقيق و مغذيات من حبوب زيتيه أخرى,388.2,ألف دولار
بولى اثيلين ذات ثقل نوعى 94ر او يزيد,357.6,ألف دولار
صوف توبس غير منزوع الرائحه,332.3,ألف دولار
غزل قطن مفرد أكثر من 85% قطن غير ممشط (29و714) غير مهييء للبيع بالتجزئه,325.6,ألف دولار
بوليستر أولى,316.7,ألف دولار
مساحيق محضره للخبيز (بيكنج بودر),302.7,ألف دولار
الومنيوم غير مشغول أو غير هيئة سبائك,280.0,ألف دولار
منظف اسنان  .. بشكل بودرة او مسحوق بكافه انواعه,270.7,ألف دولار
