Year,Month,Export Amount
2012,يناير,"85,579,946"
2012,فبراير,"139,210,568"
2012,مارس,"85,283,685"
2012,إبريل,"96,451,342"
2012,مايو,"103,041,906"
2012,يونيو,"88,131,521"
2012,يوليو,"85,864,381"
2012,أغسطس,"157,401,717"
2012,سبتمبر,"133,100,520"
2012,أكتوبر,"87,575,417"
2012,نوفمبر,"135,311,158"
2012,ديسمبر,"173,511,688"
2013,يناير,"106,121,515"
2013,فبراير,"105,713,276"
2013,مارس,"114,814,570"
2013,إبريل,"134,665,359"
2013,مايو,"133,426,949"
2013,يونيو,"126,125,351"
2013,يوليو,"130,886,926"
2013,أغسطس,"144,602,344"
2013,سبتمبر,"153,538,330"
2013,أكتوبر,"112,594,454"
2013,نوفمبر,"134,108,206"
2013,ديسمبر,"155,428,544"
2014,يناير,"124,822,396"
2014,فبراير,"105,055,255"
2014,مارس,"126,075,557"
2014,إبريل,"100,673,843"
2014,مايو,"121,925,329"
2014,يونيو,"123,524,383"
2014,يوليو,"80,212,812"
2014,أغسطس,"119,856,102"
2014,سبتمبر,"103,554,333"
2014,أكتوبر,"101,399,977"
2014,نوفمبر,"125,409,445"
2014,ديسمبر,"137,185,682"
2015,يناير,"95,391,486"
2015,فبراير,"90,669,220"
2015,مارس,"110,722,160"
2015,إبريل,"100,028,876"
2015,مايو,"112,918,659"
2015,يونيو,"93,935,790"
2015,يوليو,"102,415,969"
2015,أغسطس,"99,493,854"
2015,سبتمبر,"87,953,066"
2015,أكتوبر,"99,396,892"
2015,نوفمبر,"103,501,028"
2015,ديسمبر,"104,877,360"
2016,يناير,"104,726,410"
2016,فبراير,"90,077,222"
2016,مارس,"101,036,284"
2016,إبريل,"98,861,228"
2016,مايو,"118,151,769"
2016,يونيو,"115,422,659"
2016,يوليو,"133,536,389"
2016,أغسطس,"108,966,708"
2016,سبتمبر,"89,884,772"
2016,أكتوبر,"130,582,127"
2016,نوفمبر,"153,535,801"
2016,ديسمبر,"145,213,074"
2017,يناير,"562,568,791"
2017,فبراير,"145,705,776"
2017,مارس,"205,692,446"
2017,إبريل,"154,444,735"
2017,مايو,"170,934,961"
2017,يونيو,"153,636,284"
2017,يوليو,"179,004,121"
2017,أغسطس,"178,200,415"
2017,سبتمبر,"123,491,833"
2017,أكتوبر,"147,007,254"
2017,نوفمبر,"157,732,356"
2017,ديسمبر,"217,504,801"
2018,يناير,"184,157,214"
2018,فبراير,"183,016,513"
2018,مارس,"204,583,210"
2018,إبريل,"212,685,832"
2018,مايو,"185,075,002"
2018,يونيو,"142,178,062"
2018,يوليو,"138,220,354"
2018,أغسطس,"100,933,588"
2018,سبتمبر,"113,300,763"
2018,أكتوبر,"143,762,235"
2018,نوفمبر,"122,526,727"
2018,ديسمبر,"143,109,184"
2019,يناير,"137,830,756"
2019,فبراير,"153,647,981"
2019,مارس,"176,285,973"
2019,إبريل,"161,629,384"
2019,مايو,"147,098,379"
2019,يونيو,"112,054,150"
2019,يوليو,"132,833,304"
2019,أغسطس,"88,858,108"
2019,سبتمبر,"125,280,158"
2019,أكتوبر,"138,361,270"
2019,نوفمبر,"128,876,735"
2019,ديسمبر,"155,329,362"
2020,يناير,"137,807,271"
2020,فبراير,"147,054,560"
2020,مارس,"144,386,443"
2020,إبريل,"108,407,503"
2020,مايو,"72,590,183"
2020,يونيو,"124,977,941"
2020,يوليو,"120,235,246"
2020,أغسطس,"118,154,301"
2020,سبتمبر,"143,545,090"
2020,أكتوبر,"164,835,727"
2020,نوفمبر,"170,021,614"
2020,ديسمبر,"189,015,905"
2021,يناير,"171,589,135"
2021,فبراير,"183,299,146"
2021,مارس,"183,167,891"
2021,إبريل,"151,192,297"
2021,مايو,"132,558,383"
2021,يونيو,"176,029,017"
2021,يوليو,"116,703,389"
2021,أغسطس,"186,468,124"
2021,سبتمبر,"256,152,797"
2021,أكتوبر,"438,436,226"
2021,نوفمبر,"396,467,440"
2021,ديسمبر,"399,137,589"
2022,يناير,"480,535,878"
2022,فبراير,"491,594,529"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
