Item,Amount,Value
غيرها من الياف زجاجيه (بما فيها الصوف الزجاجى) واصناف منها,124.3,ألف دولار
لعزل الحراره ?  الصوت,114.1,ألف دولار
مخلفات صناعات البنجر,106.5,ألف دولار
,82.0,ألف دولار
نباتات طبيه أخرى,59.8,ألف دولار
تى شيرت وفانلات بنصف اكمام من الياف أخرى مصنره,49.1,ألف دولار
اجهزة كهربائيه للتسخين الفورى للمياه ومقاومات تسخين كهربائيه (سخانات مغموره بداخل الغسالات),41.3,ألف دولار
زيوت عطرية أخرى,40.9,ألف دولار
ضمادات لاصقة واصناف اخرى ذات طبقة لاصقة,36.8,ألف دولار
راتنجات عطرية,23.4,ألف دولار
سرج الخيل والجمل,22.6,ألف دولار
بنطلون رجالى من القطن غير مصنره,21.5,ألف دولار
بذور عباد الشمس وان كانت مفتته,18.6,ألف دولار
رمال السيليس (السيليكا) ورمال الكوارتز,12.8,ألف دولار
أقمشه تحتوى على 85% بوليستر مصبوغه أو غير مصبوغه أخرى,11.8,ألف دولار
خبث على شكل آخر غيرحبيبات رمليه(متخلف من صناعه الحديد والصلب),6.1,ألف دولار
أجزاء راديو و تليفزيون,5.9,ألف دولار
بنطلون رجالى من الياف نسجيه أخرى غير مصنره,5.9,ألف دولار
قمصان رجالى من الياف أخرى غير مصنره,5.4,ألف دولار
بلوزه حريمى من الياف نسجيه أخرى مصنره,3.2,ألف دولار
ألواح و صفائح من نحاس و رصاص أو نحاس و زنك منقى فى غير رولات بسمك يزيد عن 15و مم,1.2,ألف دولار
