Year,Month,Export Amount
2012,يناير,"372,314"
2012,فبراير,"427,463"
2012,مارس,"378,634"
2012,إبريل,"627,031"
2012,مايو,"779,506"
2012,يونيو,"430,018"
2012,يوليو,"458,559"
2012,أغسطس,"374,251"
2012,سبتمبر,"453,246"
2012,أكتوبر,"552,225"
2012,نوفمبر,"729,249"
2012,ديسمبر,"653,224"
2013,يناير,"1,318,616"
2013,فبراير,"864,145"
2013,مارس,"994,546"
2013,إبريل,"605,346"
2013,مايو,"813,899"
2013,يونيو,"1,329,480"
2013,يوليو,"662,972"
2013,أغسطس,"799,433"
2013,سبتمبر,"1,234,407"
2013,أكتوبر,"775,130"
2013,نوفمبر,"625,115"
2013,ديسمبر,"1,527,130"
2014,يناير,"931,506"
2014,فبراير,"857,697"
2014,مارس,"895,677"
2014,إبريل,"959,170"
2014,مايو,"660,236"
2014,يونيو,"1,230,705"
2014,يوليو,"661,435"
2014,أغسطس,"872,265"
2014,سبتمبر,"665,837"
2014,أكتوبر,"668,848"
2014,نوفمبر,"626,628"
2014,ديسمبر,"1,528,308"
2015,يناير,"1,167,731"
2015,فبراير,"1,188,172"
2015,مارس,"1,500,205"
2015,إبريل,"1,942,762"
2015,مايو,"771,744"
2015,يونيو,"563,941"
2015,يوليو,"756,578"
2015,أغسطس,"587,658"
2015,سبتمبر,"526,728"
2015,أكتوبر,"672,395"
2015,نوفمبر,"724,766"
2015,ديسمبر,"576,713"
2016,يناير,"441,664"
2016,فبراير,"241,415"
2016,مارس,"602,211"
2016,إبريل,"368,551"
2016,مايو,"1,119,981"
2016,يونيو,"390,216"
2016,يوليو,"1,275,138"
2016,أغسطس,"370,797"
2016,سبتمبر,"493,141"
2016,أكتوبر,"856,108"
2016,نوفمبر,"555,297"
2016,ديسمبر,"386,618"
2017,يناير,"2,168,390"
2017,فبراير,"365,902"
2017,مارس,"922,864"
2017,إبريل,"847,399"
2017,مايو,"2,170,201"
2017,يونيو,"1,486,459"
2017,يوليو,"908,924"
2017,أغسطس,"972,977"
2017,سبتمبر,"495,619"
2017,أكتوبر,"504,752"
2017,نوفمبر,"343,277"
2017,ديسمبر,"640,180"
2018,يناير,"305,539"
2018,فبراير,"385,862"
2018,مارس,"586,264"
2018,إبريل,"467,658"
2018,مايو,"689,976"
2018,يونيو,"706,634"
2018,يوليو,"1,028,864"
2018,أغسطس,"327,486"
2018,سبتمبر,"358,837"
2018,أكتوبر,"586,060"
2018,نوفمبر,"460,468"
2018,ديسمبر,"547,540"
2019,يناير,"389,438"
2019,فبراير,"368,331"
2019,مارس,"365,525"
2019,إبريل,"2,238,291"
2019,مايو,"4,106,572"
2019,يونيو,"981,630"
2019,يوليو,"990,981"
2019,أغسطس,"722,584"
2019,سبتمبر,"904,512"
2019,أكتوبر,"550,020"
2019,نوفمبر,"18,998,727"
2019,ديسمبر,"17,165,677"
2020,يناير,"704,341"
2020,فبراير,"387,642"
2020,مارس,"304,061"
2020,إبريل,"3,210,843"
2020,مايو,"3,617,037"
2020,يونيو,"15,071,090"
2020,يوليو,"12,121,453"
2020,أغسطس,"421,386"
2020,سبتمبر,"894,093"
2020,أكتوبر,"544,889"
2020,نوفمبر,"704,411"
2020,ديسمبر,"42,999,399"
2021,يناير,"36,039,957"
2021,فبراير,"13,231,486"
2021,مارس,"68,629,162"
2021,إبريل,"1,771,365"
2021,مايو,"2,962,178"
2021,يونيو,"2,614,509"
2021,يوليو,"34,773,936"
2021,أغسطس,"539,400"
2021,سبتمبر,"765,317"
2021,أكتوبر,"659,584"
2021,نوفمبر,"93,686,250"
2021,ديسمبر,"1,044,993"
2022,يناير,"529,588"
2022,فبراير,"475,627"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
