Item,Amount,Value
محضرات واصناف صيدليه اخر,1.7,مليون دولار
غيرها من منشات واجزاوءها من حديد او صلب,1.7,مليون دولار
سكر بنجر مكرر,1.1,مليون دولار
راتنجات الكيديه,696.7,ألف دولار
,521.2,ألف دولار
اجزاء كهربائية للالات او الاجهزة غير مذكورة او داخلة فى مكان اخر من الفصل 85,285.5,ألف دولار
جلوكوز و عسل الجلوكوز,276.4,ألف دولار
بوليمرات أكليريك ? سيورنقل الحركه ? علب البلاستيك لشرائط الكاسيت,267.9,ألف دولار
سقالات معدنيه,265.2,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,231.5,ألف دولار
فاصل تيار كهربى يزيد عن 1000 فولت,210.1,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),197.0,ألف دولار
كربونات عضويه مركبه,183.7,ألف دولار
مخلوط P.V.C,182.6,ألف دولار
بودره بولي فنيل كلوريد  P.V.S,168.0,ألف دولار
بوليمرات اسيتات الفينيل (محلول مائى),144.5,ألف دولار
حقن طبيه من بلاستيك (سرنجه),139.4,ألف دولار
اسمنت فوندو ..... الخ,137.3,ألف دولار
ومحافظ من ورق وورق مقوى غير مضلع قابله للطى,136.5,ألف دولار
تنر (تنر عضوى عادى او مخصوص),131.4,ألف دولار
اثاث اخر من الخشب ? حجره سفره من خشب,121.2,ألف دولار
لوحات توزيع كهرباء بدون تحديد,117.6,ألف دولار
أغطية أرضيات نسجيه أخرى,104.7,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,86.3,ألف دولار
كروت ذكية,85.0,ألف دولار
شمع برافين,68.2,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",67.8,ألف دولار
كحول الميثيل,60.2,ألف دولار
مسحوق كاكاو مضاف الى محتواه سكر,58.1,ألف دولار
لعزل الحراره ?  الصوت,57.1,ألف دولار
ورنيشات قاعدتها P.V.A,54.3,ألف دولار
اعلاف حيوانيه غير تقليديه,53.3,ألف دولار
عجائن طباعه شفافه,53.0,ألف دولار
بوليستر أولى,47.2,ألف دولار
حبات  (P.P) بولي بروبلين,44.4,ألف دولار
بيكربونات كالسيوم,36.6,ألف دولار
اجزاء ولوازم سيارات اخرى,29.6,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,27.9,ألف دولار
"غيرها من اقمشة نصف شفافه , نسيج ومماسح ارجل وحشايا والواح من الفيبر جلاس",25.4,ألف دولار
بروفيتامينات وفيتامينات مركبه,24.0,ألف دولار
اصناف مماثله غير مزخرفه اساسها الجبس,17.7,ألف دولار
أحجار طبيعيه للمبانى مصقوله,14.2,ألف دولار
سجاد من ألياف صناعيه أخرى,14.0,ألف دولار
نشا ذره,13.3,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,12.9,ألف دولار
خيوط,12.0,ألف دولار
ادوات واجهزه لقياس او فحص الجريان او المنسوب للسوائل,8.0,ألف دولار
مجففات محضره,7.8,ألف دولار
كتيبات فى صفحات متفرقة .. وان كانت مطوية .اجزاء دون تحديد..,7.8,ألف دولار
ابراج وصوارى شبكيه ? ابراج معدنيه من حديد اوصلب,6.2,ألف دولار
محضرات غذائيه اخرى,6.2,ألف دولار
اثاث من لدائن اصطناعيه,4.0,ألف دولار
كتب و كتيبات مطبوعه وان كانت مصوره,3.0,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,2.9,ألف دولار
أجزاء مصابيح كهربيه,2.0,ألف دولار
عوازل كهربائيه من خزف,1.4,ألف دولار
شبك ممدد من   الصاج,1.0,ألف دولار
احجار صقل أو شحذ أو سن من أحجار طبيعيه,0.8,ألف دولار
كورنيد بيف بقرى,0.8,ألف دولار
انواع جبنه اخرى,0.4,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.2,ألف دولار
مفروشات من أنسجه أخرى مصنره,0.1,ألف دولار
