Year,Month,Export Amount
2012,يناير,"1,666,129"
2012,فبراير,"3,156,842"
2012,مارس,"3,473,978"
2012,إبريل,"4,466,137"
2012,مايو,"2,998,067"
2012,يونيو,"2,557,665"
2012,يوليو,"2,601,078"
2012,أغسطس,"3,009,118"
2012,سبتمبر,"3,142,473"
2012,أكتوبر,"1,822,937"
2012,نوفمبر,"4,760,348"
2012,ديسمبر,"18,310,177"
2013,يناير,"3,052,164"
2013,فبراير,"821,253"
2013,مارس,"5,858,707"
2013,إبريل,"3,639,575"
2013,مايو,"1,940,779"
2013,يونيو,"2,097,784"
2013,يوليو,"2,392,697"
2013,أغسطس,"3,051,468"
2013,سبتمبر,"3,796,386"
2013,أكتوبر,"3,004,605"
2013,نوفمبر,"2,259,947"
2013,ديسمبر,"1,915,947"
2014,يناير,"1,573,739"
2014,فبراير,"1,738,627"
2014,مارس,"1,516,318"
2014,إبريل,"1,850,766"
2014,مايو,"2,374,338"
2014,يونيو,"1,326,385"
2014,يوليو,"2,761,944"
2014,أغسطس,"2,896,995"
2014,سبتمبر,"4,080,483"
2014,أكتوبر,"4,980,197"
2014,نوفمبر,"2,233,319"
2014,ديسمبر,"3,435,666"
2015,يناير,"1,543,586"
2015,فبراير,"2,116,646"
2015,مارس,"2,209,287"
2015,إبريل,"4,057,009"
2015,مايو,"1,703,317"
2015,يونيو,"1,110,316"
2015,يوليو,"508,566"
2015,أغسطس,"2,824,309"
2015,سبتمبر,"2,794,041"
2015,أكتوبر,"2,862,529"
2015,نوفمبر,"1,801,401"
2015,ديسمبر,"1,404,610"
2016,يناير,"1,136,591"
2016,فبراير,"1,614,284"
2016,مارس,"3,405,282"
2016,إبريل,"2,304,938"
2016,مايو,"7,036,796"
2016,يونيو,"1,975,168"
2016,يوليو,"1,941,517"
2016,أغسطس,"2,510,435"
2016,سبتمبر,"1,508,572"
2016,أكتوبر,"2,536,278"
2016,نوفمبر,"1,741,455"
2016,ديسمبر,"2,546,074"
2017,يناير,"10,091,802"
2017,فبراير,"1,880,859"
2017,مارس,"1,697,738"
2017,إبريل,"2,560,328"
2017,مايو,"2,779,093"
2017,يونيو,"852,819"
2017,يوليو,"1,341,167"
2017,أغسطس,"1,360,755"
2017,سبتمبر,"1,988,514"
2017,أكتوبر,"1,232,601"
2017,نوفمبر,"1,707,818"
2017,ديسمبر,"1,558,901"
2018,يناير,"2,968,981"
2018,فبراير,"1,844,609"
2018,مارس,"2,504,712"
2018,إبريل,"2,982,467"
2018,مايو,"2,096,957"
2018,يونيو,"2,538,663"
2018,يوليو,"3,447,067"
2018,أغسطس,"3,682,886"
2018,سبتمبر,"2,309,332"
2018,أكتوبر,"3,127,055"
2018,نوفمبر,"2,300,506"
2018,ديسمبر,"2,798,636"
2019,يناير,"1,511,135"
2019,فبراير,"2,381,311"
2019,مارس,"1,907,614"
2019,إبريل,"2,572,438"
2019,مايو,"1,515,289"
2019,يونيو,"2,584,799"
2019,يوليو,"3,261,325"
2019,أغسطس,"2,322,763"
2019,سبتمبر,"3,144,129"
2019,أكتوبر,"2,496,789"
2019,نوفمبر,"2,407,850"
2019,ديسمبر,"2,592,903"
2020,يناير,"1,692,400"
2020,فبراير,"2,102,818"
2020,مارس,"1,644,529"
2020,إبريل,"1,144,289"
2020,مايو,"954,794"
2020,يونيو,"1,817,652"
2020,يوليو,"1,767,807"
2020,أغسطس,"3,020,054"
2020,سبتمبر,"10,762,312"
2020,أكتوبر,"2,331,561"
2020,نوفمبر,"3,664,733"
2020,ديسمبر,"5,388,650"
2021,يناير,"4,189,874"
2021,فبراير,"3,381,540"
2021,مارس,"5,141,640"
2021,إبريل,"5,538,974"
2021,مايو,"3,101,334"
2021,يونيو,"3,176,436"
2021,يوليو,"4,054,168"
2021,أغسطس,"4,624,326"
2021,سبتمبر,"2,931,471"
2021,أكتوبر,"2,900,145"
2021,نوفمبر,"760,670"
2021,ديسمبر,"5,662,435"
2022,يناير,"5,332,578"
2022,فبراير,"6,582,628"
2022,مارس,0
2022,إبريل,0
2022,مايو,0
2022,يونيو,0
2022,يوليو,0
2022,أغسطس,0
2022,سبتمبر,0
2022,أكتوبر,0
2022,نوفمبر,0
2022,ديسمبر,0
