Item,Amount,Value
,3.9,مليون دولار
عجائن اخرى غير محتويه على بيض,1.7,مليون دولار
بوليمرات أكليريك ? سيورنقل الحركه ? علب البلاستيك لشرائط الكاسيت,890.6,ألف دولار
اعلاف حيوانيه غير تقليديه,842.8,ألف دولار
سكر بنجر مكرر,729.8,ألف دولار
راتنجات الكيديه,725.9,ألف دولار
,553.7,ألف دولار
محضرات واصناف صيدليه اخر,513.2,ألف دولار
اسمنت فوندو ..... الخ,449.9,ألف دولار
محضرات منظفة .. وان احتوت عل معامل نشط,445.6,ألف دولار
البوليمرات الطبيعيه و المعدله,419.0,ألف دولار
"الواح , افرخ , رقائق , شرائط ,شرائح,غير خلوية وغير مقواه بوليمييرات البروبيلين",399.5,ألف دولار
اصناف من الورق المعد للاغراض الصحية بضلع يتجاوز 36 سم فى حالة غير مطويه/بكر,399.0,ألف دولار
بوليستر أولى,242.7,ألف دولار
راتنجات يوريا,236.5,ألف دولار
جلوكوز و عسل الجلوكوز,183.6,ألف دولار
بوليمرات اسيتات الفينيل (محلول مائى),183.3,ألف دولار
"انابيب,مواسير وخراطيم صلبة,غير قابلة للثنى من بوليميرات كلوريدالفينيل",168.8,ألف دولار
ألواح حديد زنك مسحوبه على الساخن فى رولات بعرض أكبر من 600 مم أخرى,164.6,ألف دولار
برتقال طازج أو مجفف,155.7,ألف دولار
محول كهربائى 650 وات,133.0,ألف دولار
الواح/افرخ/رقائق/شرائط/شرائح/اشكال مسطحه من البوليستر,104.5,ألف دولار
غساله لاتزيد عن 10 كجم منزليه (1/2 اتوماتيك),100.7,ألف دولار
لعزل الحراره ?  الصوت,99.1,ألف دولار
فوليه),94.6,ألف دولار
صابون فى شكل عيدان لاستعمالات غير الزينة مثل(صابون خام),87.3,ألف دولار
صابون معطر تواليت,74.8,ألف دولار
عربات أطفال و زجاجات برطمانات من أنواع البلاستيك الأخرى,69.0,ألف دولار
مخاليط وعجائن لتحضير منتجات المخابز الداخلة فى صناعة الخبز,67.4,ألف دولار
ورق ناسخ ذاتيا مطبوع .. على هيئة لفات او افرخ,66.1,ألف دولار
انهدريت (كبريتات كالسيوم لامائى),65.4,ألف دولار
سجاد وغيره من اغطية الارضيات النسجية من حرير أو قطن أو ألياف صناعيه عقدى,62.6,ألف دولار
أغطية أرضيات نسجيه أخرى,60.1,ألف دولار
نشا ذره,54.5,ألف دولار
غيرها من مصنوعات من اسفلت او من مواد مماثله,53.4,ألف دولار
بوليستر  متنوع,52.8,ألف دولار
اجهزه طبخ واجهزه تسخين تعمل بالغاز او تعمل بالغاز ونوع اخر من الوقود,50.8,ألف دولار
قوالب شيكولاته,50.1,ألف دولار
كحول الميثيل,48.0,ألف دولار
معجون بلاستيك لأعمال الطلاء الماستيكى,47.9,ألف دولار
بويات و ورنيش من قاعده  بوليمرات,45.6,ألف دولار
زيت صويا منقى و غير معالج كيمائيا,45.3,ألف دولار
اغذيه متحصل عليها من نفش اوتحميص الغلال,43.9,ألف دولار
زيت النخيل بحاله اخرى,43.6,ألف دولار
مصنوعات اخري من بورسلين او صيني للزينه,43.0,ألف دولار
مسحوق كاكاو مضاف الى محتواه سكر,42.5,ألف دولار
حقن طبيه من بلاستيك (سرنجه),41.7,ألف دولار
بيكربونات كالسيوم,39.6,ألف دولار
"غيرها من ضفائر واصناف مماثله من مواد ضفر,وان كانت مجمعه فى شكل اشرطه",37.0,ألف دولار
بولىفينيل اسيتات سائل,34.8,ألف دولار
اثاث معدنى اخر,33.8,ألف دولار
بولياستيل ? قوالب لصناعة الاحذيه من راتنجات ولدائن اصطناعية,31.6,ألف دولار
شمع برافين,31.2,ألف دولار
استياتيت طبيعى مجروش او مطحون,30.7,ألف دولار
منتجات ورقيه أخرى,30.3,ألف دولار
شامبو لغسيل الشعر  (دون تحديد),25.5,ألف دولار
ورق صحى( تواليت) بكر/ تشيو بكر / ورق خفيف,20.4,ألف دولار
يوسفى طازج أو مجفف,19.8,ألف دولار
وصلات و كيعان و فلانشات لمواسير,18.4,ألف دولار
مستلزمات أخرى من أنواع البلاستيك الأخرى,17.3,ألف دولار
كاكاو مسحوق غير محلى,15.0,ألف دولار
غيرها من مصنوعات اخرى من حديد او صلب,14.0,ألف دولار
فواكه وثمار اخرى ذات قشره صلبه فى محلول سكرى,14.0,ألف دولار
مكسبات طعم ورائحه,13.7,ألف دولار
قار واسفلت طبيعيان ?  صخر اسفلتى ورمال قطرانيه,11.9,ألف دولار
أحجار طبيعيه للمبانى مشقوقه,8.8,ألف دولار
زلط متوسط,7.8,ألف دولار
بسكويت صيدلى,6.1,ألف دولار
فراوله طازجه,4.6,ألف دولار
حبر طباعة الوان متنوعة,4.0,ألف دولار
"غيرها من الواح , افرخ , رقائق,شرائط,شرائح من بوليمرات الإستيرين",3.3,ألف دولار
جريب فروت طازج أو مجفف,3.1,ألف دولار
آلات تشغيل المواد برؤوس متعدده,3.0,ألف دولار
فاكهه أخرى طازجه,2.5,ألف دولار
ذرة صفـراء,1.2,ألف دولار
ملابس أخرى من أقمشه صناعيه رجالى,0.5,ألف دولار
غيرها من الاحذيه الوجه جلد صناعى والنعل جلد,0.2,ألف دولار
روب حريمى من الالياف النسجية الأخرى غير مصنره,0.2,ألف دولار
أشجار و شجيرات ذات ثمار أو بدون ثمار,0.1,ألف دولار
أجزاء معدات بناء أوتوماتيكيه,0.1,ألف دولار
غراء بوجه عام,0.1,ألف دولار
